batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,1.0,0.064516
0,auc,0,0.075,1.0,0.064516
0,auc,0,0.1,1.0,0.064516
0,auc,0,0.15,1.0,0.032258
0,accuracy,0,0.05,0.875,0.96875
0,accuracy,0,0.075,0.84375,0.96875
0,accuracy,0,0.1,0.625,0.96875
0,accuracy,0,0.15,0.625,0.96875
0,cross_entropy,0,0.05,0.365384,0.184541
0,cross_entropy,0,0.075,0.457067,0.193475
0,cross_entropy,0,0.1,0.542264,0.208251
0,cross_entropy,0,0.15,0.668355,0.228389
0,auc,1,0.05,0.612903,1.0
0,auc,1,0.075,0.322581,1.0
0,auc,1,0.1,0.193548,1.0
0,auc,1,0.15,0.129032,1.0
0,accuracy,1,0.05,0.96875,0.9375
0,accuracy,1,0.075,0.96875,0.875
0,accuracy,1,0.1,0.96875,0.71875
0,accuracy,1,0.15,0.96875,0.6875
0,cross_entropy,1,0.05,0.142429,0.289883
0,cross_entropy,1,0.075,0.157402,0.384364
0,cross_entropy,1,0.1,0.174482,0.472213
0,cross_entropy,1,0.15,0.195694,0.613414
1,auc,0,0.05,0.0,0.0
1,auc,0,0.075,0.0,0.0
1,auc,0,0.1,0.0,0.0
1,auc,0,0.15,0.0,0.0
1,accuracy,0,0.05,0.8125,1.0
1,accuracy,0,0.075,0.71875,1.0
1,accuracy,0,0.1,0.6875,1.0
1,accuracy,0,0.15,0.59375,1.0
1,cross_entropy,0,0.05,0.588133,0.014865
1,cross_entropy,0,0.075,0.750574,0.011172
1,cross_entropy,0,0.1,0.882789,0.008872
1,cross_entropy,0,0.15,1.084247,0.00629
1,auc,1,0.05,0.0,0.0
1,auc,1,0.075,0.0,0.0
1,auc,1,0.1,0.0,0.0
1,auc,1,0.15,0.0,0.0
1,accuracy,1,0.05,1.0,0.875
1,accuracy,1,0.075,1.0,0.8125
1,accuracy,1,0.1,1.0,0.65625
1,accuracy,1,0.15,1.0,0.5625
1,cross_entropy,1,0.05,0.016868,0.599765
1,cross_entropy,1,0.075,0.012016,0.763536
1,cross_entropy,1,0.1,0.009662,0.887883
1,cross_entropy,1,0.15,0.006967,1.094176
2,auc,0,0.05,1.0,0.483871
2,auc,0,0.075,1.0,0.419355
2,auc,0,0.1,1.0,0.419355
2,auc,0,0.15,1.0,0.387097
2,accuracy,0,0.05,0.9375,0.96875
2,accuracy,0,0.075,0.90625,0.96875
2,accuracy,0,0.1,0.875,0.96875
2,accuracy,0,0.15,0.78125,0.96875
2,cross_entropy,0,0.05,0.249676,0.149477
2,cross_entropy,0,0.075,0.315448,0.157105
2,cross_entropy,0,0.1,0.368038,0.158451
2,cross_entropy,0,0.15,0.482058,0.165576
2,auc,1,0.05,1.0,1.0
2,auc,1,0.075,1.0,1.0
2,auc,1,0.1,0.935484,1.0
2,auc,1,0.15,0.83871,1.0
2,accuracy,1,0.05,0.96875,1.0
2,accuracy,1,0.075,0.96875,0.90625
2,accuracy,1,0.1,0.96875,0.84375
2,accuracy,1,0.15,0.96875,0.75
2,cross_entropy,1,0.05,0.090439,0.251144
2,cross_entropy,1,0.075,0.107577,0.322324
2,cross_entropy,1,0.1,0.123008,0.385607
2,cross_entropy,1,0.15,0.145704,0.499335
3,auc,0,0.05,0.967742,0.193548
3,auc,0,0.075,0.967742,0.354839
3,auc,0,0.1,0.967742,0.290323
3,auc,0,0.15,0.967742,0.290323
3,accuracy,0,0.05,0.96875,0.96875
3,accuracy,0,0.075,0.9375,0.96875
3,accuracy,0,0.1,0.875,0.96875
3,accuracy,0,0.15,0.8125,0.96875
3,cross_entropy,0,0.05,0.348633,0.164005
3,cross_entropy,0,0.075,0.473165,0.163708
3,cross_entropy,0,0.1,0.56106,0.170734
3,cross_entropy,0,0.15,0.686532,0.177958
3,auc,1,0.05,0.967742,0.903226
3,auc,1,0.075,0.741935,0.935484
3,auc,1,0.1,0.709677,0.967742
3,auc,1,0.15,0.580645,0.967742
3,accuracy,1,0.05,0.96875,0.90625
3,accuracy,1,0.075,0.96875,0.90625
3,accuracy,1,0.1,0.96875,0.875
3,accuracy,1,0.15,0.96875,0.84375
3,cross_entropy,1,0.05,0.109617,0.505467
3,cross_entropy,1,0.075,0.13451,0.597774
3,cross_entropy,1,0.1,0.146055,0.678508
3,cross_entropy,1,0.15,0.160213,0.760792
4,auc,0,0.05,0.0,0.0
4,auc,0,0.075,0.0,0.0
4,auc,0,0.1,0.0,0.0
4,auc,0,0.15,0.0,0.0
4,accuracy,0,0.05,0.90625,1.0
4,accuracy,0,0.075,0.84375,1.0
4,accuracy,0,0.1,0.84375,1.0
4,accuracy,0,0.15,0.75,1.0
4,cross_entropy,0,0.05,0.260838,0.018532
4,cross_entropy,0,0.075,0.343019,0.013639
4,cross_entropy,0,0.1,0.41153,0.010913
4,cross_entropy,0,0.15,0.529915,0.007719
4,auc,1,0.05,0.0,0.0
4,auc,1,0.075,0.0,0.0
4,auc,1,0.1,0.0,0.0
4,auc,1,0.15,0.0,0.0
4,accuracy,1,0.05,1.0,1.0
4,accuracy,1,0.075,1.0,0.96875
4,accuracy,1,0.1,1.0,0.75
4,accuracy,1,0.15,1.0,0.71875
4,cross_entropy,1,0.05,0.013419,0.285901
4,cross_entropy,1,0.075,0.010076,0.372248
4,cross_entropy,1,0.1,0.008418,0.447105
4,cross_entropy,1,0.15,0.006628,0.559822
5,auc,0,0.05,0.0,0.0
5,auc,0,0.075,0.0,0.0
5,auc,0,0.1,0.0,0.0
5,auc,0,0.15,0.0,0.0
5,accuracy,0,0.05,0.84375,1.0
5,accuracy,0,0.075,0.78125,1.0
5,accuracy,0,0.1,0.71875,1.0
5,accuracy,0,0.15,0.6875,1.0
5,cross_entropy,0,0.05,0.331029,0.020568
5,cross_entropy,0,0.075,0.405631,0.0165
5,cross_entropy,0,0.1,0.478493,0.013485
5,cross_entropy,0,0.15,0.588923,0.010834
5,auc,1,0.05,0.0,0.0
5,auc,1,0.075,0.0,0.0
5,auc,1,0.1,0.0,0.0
5,auc,1,0.15,0.0,0.0
5,accuracy,1,0.05,1.0,0.96875
5,accuracy,1,0.075,1.0,0.9375
5,accuracy,1,0.1,1.0,0.8125
5,accuracy,1,0.15,1.0,0.71875
5,cross_entropy,1,0.05,0.023645,0.269185
5,cross_entropy,1,0.075,0.018522,0.350635
5,cross_entropy,1,0.1,0.01559,0.425037
5,cross_entropy,1,0.15,0.011765,0.566964
6,auc,0,0.05,0.967742,0.322581
6,auc,0,0.075,0.967742,0.322581
6,auc,0,0.1,0.967742,0.258065
6,auc,0,0.15,0.967742,0.322581
6,accuracy,0,0.05,0.8125,0.96875
6,accuracy,0,0.075,0.75,0.96875
6,accuracy,0,0.1,0.75,0.96875
6,accuracy,0,0.15,0.71875,0.96875
6,cross_entropy,0,0.05,0.541401,0.160482
6,cross_entropy,0,0.075,0.65178,0.165632
6,cross_entropy,0,0.1,0.743368,0.169363
6,cross_entropy,0,0.15,0.88296,0.171731
6,auc,1,0.05,0.967742,0.967742
6,auc,1,0.075,0.967742,0.967742
6,auc,1,0.1,0.870968,0.967742
6,auc,1,0.15,0.774194,0.967742
6,accuracy,1,0.05,0.96875,0.84375
6,accuracy,1,0.075,0.96875,0.84375
6,accuracy,1,0.1,0.96875,0.84375
6,accuracy,1,0.15,0.96875,0.71875
6,cross_entropy,1,0.05,0.110098,0.466603
6,cross_entropy,1,0.075,0.117611,0.592081
6,cross_entropy,1,0.1,0.131509,0.705646
6,cross_entropy,1,0.15,0.145731,0.876061
7,auc,0,0.05,0.966667,0.316667
7,auc,0,0.075,0.966667,0.366667
7,auc,0,0.1,0.95,0.35
7,auc,0,0.15,0.95,0.3
7,accuracy,0,0.05,0.90625,0.9375
7,accuracy,0,0.075,0.875,0.9375
7,accuracy,0,0.1,0.8125,0.9375
7,accuracy,0,0.15,0.71875,0.9375
7,cross_entropy,0,0.05,0.597153,0.307707
7,cross_entropy,0,0.075,0.746612,0.331663
7,cross_entropy,0,0.1,0.854216,0.346785
7,cross_entropy,0,0.15,0.996307,0.372914
7,auc,1,0.05,0.65,0.95
7,auc,1,0.075,0.533333,0.95
7,auc,1,0.1,0.516667,0.95
7,auc,1,0.15,0.483333,0.95
7,accuracy,1,0.05,0.9375,0.9375
7,accuracy,1,0.075,0.9375,0.90625
7,accuracy,1,0.1,0.9375,0.875
7,accuracy,1,0.15,0.9375,0.65625
7,cross_entropy,1,0.05,0.238376,0.622316
7,cross_entropy,1,0.075,0.27592,0.743793
7,cross_entropy,1,0.1,0.29732,0.836559
7,cross_entropy,1,0.15,0.331701,1.008003
8,auc,0,0.05,0.0,0.0
8,auc,0,0.075,0.0,0.0
8,auc,0,0.1,0.0,0.0
8,auc,0,0.15,0.0,0.0
8,accuracy,0,0.05,0.90625,1.0
8,accuracy,0,0.075,0.84375,1.0
8,accuracy,0,0.1,0.84375,1.0
8,accuracy,0,0.15,0.71875,1.0
8,cross_entropy,0,0.05,0.308114,0.019379
8,cross_entropy,0,0.075,0.382416,0.014888
8,cross_entropy,0,0.1,0.45439,0.012115
8,cross_entropy,0,0.15,0.580463,0.008808
8,auc,1,0.05,0.0,0.0
8,auc,1,0.075,0.0,0.0
8,auc,1,0.1,0.0,0.0
8,auc,1,0.15,0.0,0.0
8,accuracy,1,0.05,1.0,0.96875
8,accuracy,1,0.075,1.0,0.96875
8,accuracy,1,0.1,1.0,0.96875
8,accuracy,1,0.15,1.0,0.78125
8,cross_entropy,1,0.05,0.019668,0.263364
8,cross_entropy,1,0.075,0.014592,0.34571
8,cross_entropy,1,0.1,0.011856,0.414726
8,cross_entropy,1,0.15,0.008703,0.533335
9,auc,0,0.05,0.967742,0.612903
9,auc,0,0.075,0.967742,0.516129
9,auc,0,0.1,0.967742,0.483871
9,auc,0,0.15,0.967742,0.483871
9,accuracy,0,0.05,0.9375,0.96875
9,accuracy,0,0.075,0.90625,0.96875
9,accuracy,0,0.1,0.875,0.96875
9,accuracy,0,0.15,0.71875,0.96875
9,cross_entropy,0,0.05,0.483554,0.141442
9,cross_entropy,0,0.075,0.571337,0.157054
9,cross_entropy,0,0.1,0.656068,0.161834
9,cross_entropy,0,0.15,0.7919,0.173997
9,auc,1,0.05,0.967742,0.967742
9,auc,1,0.075,0.83871,0.967742
9,auc,1,0.1,0.709677,0.967742
9,auc,1,0.15,0.548387,0.967742
9,accuracy,1,0.05,0.96875,0.9375
9,accuracy,1,0.075,0.96875,0.78125
9,accuracy,1,0.1,0.96875,0.78125
9,accuracy,1,0.15,0.96875,0.6875
9,cross_entropy,1,0.05,0.11239,0.483869
9,cross_entropy,1,0.075,0.129286,0.592653
9,cross_entropy,1,0.1,0.146866,0.674999
9,cross_entropy,1,0.15,0.169982,0.803335
10,auc,0,0.05,1.0,0.290323
10,auc,0,0.075,1.0,0.290323
10,auc,0,0.1,1.0,0.322581
10,auc,0,0.15,1.0,0.290323
10,accuracy,0,0.05,0.96875,0.96875
10,accuracy,0,0.075,0.9375,0.96875
10,accuracy,0,0.1,0.90625,0.96875
10,accuracy,0,0.15,0.78125,0.96875
10,cross_entropy,0,0.05,0.199365,0.160508
10,cross_entropy,0,0.075,0.262692,0.165192
10,cross_entropy,0,0.1,0.312807,0.164477
10,cross_entropy,0,0.15,0.408844,0.172789
10,auc,1,0.05,1.0,1.0
10,auc,1,0.075,0.870968,1.0
10,auc,1,0.1,0.83871,1.0
10,auc,1,0.15,0.83871,1.0
10,accuracy,1,0.05,0.96875,1.0
10,accuracy,1,0.075,0.96875,0.96875
10,accuracy,1,0.1,0.96875,0.90625
10,accuracy,1,0.15,0.96875,0.84375
10,cross_entropy,1,0.05,0.100543,0.241686
10,cross_entropy,1,0.075,0.122041,0.301959
10,cross_entropy,1,0.1,0.133898,0.357768
10,cross_entropy,1,0.15,0.146278,0.447564
11,auc,0,0.05,0.967742,0.967742
11,auc,0,0.075,0.967742,0.967742
11,auc,0,0.1,0.967742,0.967742
11,auc,0,0.15,0.967742,1.0
11,accuracy,0,0.05,0.90625,0.96875
11,accuracy,0,0.075,0.84375,0.96875
11,accuracy,0,0.1,0.78125,0.96875
11,accuracy,0,0.15,0.625,0.96875
11,cross_entropy,0,0.05,0.301934,0.116047
11,cross_entropy,0,0.075,0.394835,0.11439
11,cross_entropy,0,0.1,0.47531,0.113271
11,cross_entropy,0,0.15,0.585082,0.110254
11,auc,1,0.05,1.0,0.903226
11,auc,1,0.075,1.0,0.870968
11,auc,1,0.1,1.0,0.903226
11,auc,1,0.15,1.0,0.903226
11,accuracy,1,0.05,0.96875,0.875
11,accuracy,1,0.075,0.96875,0.84375
11,accuracy,1,0.1,0.96875,0.78125
11,accuracy,1,0.15,0.96875,0.6875
11,cross_entropy,1,0.05,0.071592,0.353682
11,cross_entropy,1,0.075,0.076405,0.442704
11,cross_entropy,1,0.1,0.083812,0.495289
11,cross_entropy,1,0.15,0.091352,0.584427
12,auc,0,0.05,1.0,0.083333
12,auc,0,0.075,1.0,0.033333
12,auc,0,0.1,1.0,0.05
12,auc,0,0.15,1.0,0.05
12,accuracy,0,0.05,0.90625,0.9375
12,accuracy,0,0.075,0.875,0.9375
12,accuracy,0,0.1,0.875,0.9375
12,accuracy,0,0.15,0.8125,0.9375
12,cross_entropy,0,0.05,0.237575,0.365842
12,cross_entropy,0,0.075,0.297427,0.396906
12,cross_entropy,0,0.1,0.352843,0.411888
12,cross_entropy,0,0.15,0.440576,0.438591
12,auc,1,0.05,0.7,1.0
12,auc,1,0.075,0.533333,1.0
12,auc,1,0.1,0.483333,1.0
12,auc,1,0.15,0.4,1.0
12,accuracy,1,0.05,0.9375,0.96875
12,accuracy,1,0.075,0.9375,0.9375
12,accuracy,1,0.1,0.9375,0.875
12,accuracy,1,0.15,0.9375,0.84375
12,cross_entropy,1,0.05,0.24243,0.268383
12,cross_entropy,1,0.075,0.285031,0.336342
12,cross_entropy,1,0.1,0.319759,0.387321
12,cross_entropy,1,0.15,0.373884,0.485743
13,auc,0,0.05,0.966667,0.716667
13,auc,0,0.075,0.933333,0.833333
13,auc,0,0.1,0.9,0.816667
13,auc,0,0.15,0.883333,0.7
13,accuracy,0,0.05,0.8125,0.9375
13,accuracy,0,0.075,0.71875,0.9375
13,accuracy,0,0.1,0.6875,0.9375
13,accuracy,0,0.15,0.65625,0.9375
13,cross_entropy,0,0.05,0.368845,0.241359
13,cross_entropy,0,0.075,0.461251,0.236723
13,cross_entropy,0,0.1,0.5569,0.251646
13,cross_entropy,0,0.15,0.695446,0.271869
13,auc,1,0.05,0.966667,0.716667
13,auc,1,0.075,0.95,0.766667
13,auc,1,0.1,0.933333,0.8
13,auc,1,0.15,0.933333,0.783333
13,accuracy,1,0.05,0.9375,0.78125
13,accuracy,1,0.075,0.9375,0.6875
13,accuracy,1,0.1,0.9375,0.6875
13,accuracy,1,0.15,0.9375,0.5625
13,cross_entropy,1,0.05,0.163517,0.433619
13,cross_entropy,1,0.075,0.187295,0.525498
13,cross_entropy,1,0.1,0.205013,0.61128
13,cross_entropy,1,0.15,0.223374,0.743819
14,auc,0,0.05,0.0,0.0
14,auc,0,0.075,0.0,0.0
14,auc,0,0.1,0.0,0.0
14,auc,0,0.15,0.0,0.0
14,accuracy,0,0.05,0.875,1.0
14,accuracy,0,0.075,0.84375,1.0
14,accuracy,0,0.1,0.84375,1.0
14,accuracy,0,0.15,0.8125,1.0
14,cross_entropy,0,0.05,0.254406,0.020139
14,cross_entropy,0,0.075,0.327079,0.01547
14,cross_entropy,0,0.1,0.381302,0.013136
14,cross_entropy,0,0.15,0.494794,0.009773
14,auc,1,0.05,0.0,0.0
14,auc,1,0.075,0.0,0.0
14,auc,1,0.1,0.0,0.0
14,auc,1,0.15,0.0,0.0
14,accuracy,1,0.05,1.0,0.96875
14,accuracy,1,0.075,1.0,0.8125
14,accuracy,1,0.1,1.0,0.78125
14,accuracy,1,0.15,1.0,0.71875
14,cross_entropy,1,0.05,0.016576,0.286124
14,cross_entropy,1,0.075,0.012288,0.370599
14,cross_entropy,1,0.1,0.009676,0.455991
14,cross_entropy,1,0.15,0.00771,0.560582
15,auc,0,0.05,0.0,0.0
15,auc,0,0.075,0.0,0.0
15,auc,0,0.1,0.0,0.0
15,auc,0,0.15,0.0,0.0
15,accuracy,0,0.05,0.875,1.0
15,accuracy,0,0.075,0.875,1.0
15,accuracy,0,0.1,0.8125,1.0
15,accuracy,0,0.15,0.75,1.0
15,cross_entropy,0,0.05,0.363393,0.020985
15,cross_entropy,0,0.075,0.454749,0.015841
15,cross_entropy,0,0.1,0.531193,0.012687
15,cross_entropy,0,0.15,0.674412,0.009639
15,auc,1,0.05,0.0,0.0
15,auc,1,0.075,0.0,0.0
15,auc,1,0.1,0.0,0.0
15,auc,1,0.15,0.0,0.0
15,accuracy,1,0.05,1.0,0.90625
15,accuracy,1,0.075,1.0,0.8125
15,accuracy,1,0.1,1.0,0.75
15,accuracy,1,0.15,1.0,0.6875
15,cross_entropy,1,0.05,0.020877,0.374356
15,cross_entropy,1,0.075,0.0151,0.483551
15,cross_entropy,1,0.1,0.012224,0.571762
15,cross_entropy,1,0.15,0.008746,0.719797
16,auc,0,0.05,0.977012,0.310345
16,auc,0,0.075,0.977012,0.321839
16,auc,0,0.1,0.977012,0.275862
16,auc,0,0.15,0.977012,0.241379
16,accuracy,0,0.05,0.84375,0.90625
16,accuracy,0,0.075,0.78125,0.90625
16,accuracy,0,0.1,0.75,0.90625
16,accuracy,0,0.15,0.65625,0.90625
16,cross_entropy,0,0.05,0.385365,0.476367
16,cross_entropy,0,0.075,0.490381,0.502944
16,cross_entropy,0,0.1,0.564738,0.527027
16,cross_entropy,0,0.15,0.68237,0.581656
16,auc,1,0.05,0.505747,0.977012
16,auc,1,0.075,0.505747,0.977012
16,auc,1,0.1,0.436782,0.965517
16,auc,1,0.15,0.390805,0.977012
16,accuracy,1,0.05,0.90625,0.90625
