batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,0.0,0.0
0,auc,0,0.075,0.0,0.0
0,auc,0,0.1,0.0,0.0
0,auc,0,0.15,0.0,0.0
0,accuracy,0,0.05,0.375,1.0
0,accuracy,0,0.075,0.15625,1.0
0,accuracy,0,0.1,0.0,1.0
0,accuracy,0,0.15,0.0,1.0
0,cross_entropy,0,0.05,0.929075,0.002854
0,cross_entropy,0,0.075,1.402595,0.001366
0,cross_entropy,0,0.1,1.830916,0.000787
0,cross_entropy,0,0.15,2.565682,0.000341
0,auc,1,0.05,0.0,0.0
0,auc,1,0.075,0.0,0.0
0,auc,1,0.1,0.0,0.0
0,auc,1,0.15,0.0,0.0
0,accuracy,1,0.05,1.0,0.1875
0,accuracy,1,0.075,1.0,0.0
0,accuracy,1,0.1,1.0,0.0
0,accuracy,1,0.15,1.0,0.0
0,cross_entropy,1,0.05,0.002885,1.006482
0,cross_entropy,1,0.075,0.001357,1.500092
0,cross_entropy,1,0.1,0.000763,1.945385
0,cross_entropy,1,0.15,0.000332,2.667382
1,auc,0,0.05,1.0,0.612903
1,auc,0,0.075,1.0,0.548387
1,auc,0,0.1,1.0,0.548387
1,auc,0,0.15,1.0,0.548387
1,accuracy,0,0.05,0.40625,0.96875
1,accuracy,0,0.075,0.125,0.96875
1,accuracy,0,0.1,0.03125,0.96875
1,accuracy,0,0.15,0.03125,0.96875
1,cross_entropy,0,0.05,1.011552,0.179644
1,cross_entropy,0,0.075,1.473465,0.201729
1,cross_entropy,0,0.1,1.899863,0.218876
1,cross_entropy,0,0.15,2.582802,0.246845
1,auc,1,0.05,1.0,0.967742
1,auc,1,0.075,1.0,1.0
1,auc,1,0.1,1.0,1.0
1,auc,1,0.15,0.967742,1.0
1,accuracy,1,0.05,0.96875,0.25
1,accuracy,1,0.075,0.96875,0.0625
1,accuracy,1,0.1,0.96875,0.03125
1,accuracy,1,0.15,0.96875,0.03125
1,cross_entropy,1,0.05,0.119977,1.011541
1,cross_entropy,1,0.075,0.15242,1.499405
1,cross_entropy,1,0.1,0.180459,1.936917
1,cross_entropy,1,0.15,0.222146,2.645602
2,auc,0,0.05,0.967742,0.419355
2,auc,0,0.075,0.967742,0.419355
2,auc,0,0.1,0.967742,0.387097
2,auc,0,0.15,0.967742,0.516129
2,accuracy,0,0.05,0.34375,0.96875
2,accuracy,0,0.075,0.0625,0.96875
2,accuracy,0,0.1,0.03125,0.96875
2,accuracy,0,0.15,0.03125,0.96875
