batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,1.0,0.870968
0,auc,0,0.075,0.967742,0.935484
0,auc,0,0.1,0.806452,0.967742
0,auc,0,0.15,0.774194,0.935484
0,accuracy,0,0.05,0.96875,0.9375
0,accuracy,0,0.075,0.96875,0.9375
0,accuracy,0,0.1,0.96875,0.9375
0,accuracy,0,0.15,0.96875,0.9375
0,cross_entropy,0,0.05,0.120322,0.174208
0,cross_entropy,0,0.075,0.127585,0.176183
0,cross_entropy,0,0.1,0.141532,0.166909
0,cross_entropy,0,0.15,0.144892,0.160011
0,auc,1,0.05,0.967742,0.935484
0,auc,1,0.075,0.870968,0.967742
0,auc,1,0.1,0.774194,0.967742
0,auc,1,0.15,0.709677,0.967742
0,accuracy,1,0.05,0.96875,0.9375
0,accuracy,1,0.075,0.96875,0.9375
0,accuracy,1,0.1,0.96875,0.9375
0,accuracy,1,0.15,0.96875,0.9375
0,cross_entropy,1,0.05,0.133666,0.170709
0,cross_entropy,1,0.075,0.142663,0.158485
0,cross_entropy,1,0.1,0.150161,0.156482
0,cross_entropy,1,0.15,0.154639,0.144082
1,auc,0,0.05,0.967742,1.0
1,auc,0,0.075,0.903226,1.0
1,auc,0,0.1,0.935484,1.0
1,auc,0,0.15,0.83871,1.0
1,accuracy,0,0.05,0.96875,0.96875
1,accuracy,0,0.075,0.96875,0.96875
1,accuracy,0,0.1,0.96875,0.96875
1,accuracy,0,0.15,0.96875,0.96875
1,cross_entropy,0,0.05,0.129712,0.10143
1,cross_entropy,0,0.075,0.134872,0.101802
1,cross_entropy,0,0.1,0.137689,0.09927
1,cross_entropy,0,0.15,0.14321,0.101857
1,auc,1,0.05,0.967742,1.0
1,auc,1,0.075,0.935484,1.0
1,auc,1,0.1,0.870968,1.0
1,auc,1,0.15,0.806452,1.0
1,accuracy,1,0.05,0.96875,0.96875
1,accuracy,1,0.075,0.96875,0.96875
1,accuracy,1,0.1,0.96875,0.96875
1,accuracy,1,0.15,0.96875,1.0
1,cross_entropy,1,0.05,0.128551,0.106991
1,cross_entropy,1,0.075,0.13174,0.103808
1,cross_entropy,1,0.1,0.138705,0.099788
1,cross_entropy,1,0.15,0.144367,0.098963
2,auc,0,0.05,1.0,0.967742
2,auc,0,0.075,1.0,0.967742
2,auc,0,0.1,0.967742,0.967742
2,auc,0,0.15,0.967742,0.967742
2,accuracy,0,0.05,0.96875,0.96875
2,accuracy,0,0.075,0.96875,0.96875
2,accuracy,0,0.1,0.96875,0.96875
2,accuracy,0,0.15,0.96875,0.96875
2,cross_entropy,0,0.05,0.115602,0.132865
2,cross_entropy,0,0.075,0.113976,0.135108
2,cross_entropy,0,0.1,0.121748,0.130271
2,cross_entropy,0,0.15,0.12319,0.128409
2,auc,1,0.05,1.0,0.967742
2,auc,1,0.075,1.0,0.967742
2,auc,1,0.1,1.0,0.967742
2,auc,1,0.15,0.806452,1.0
2,accuracy,1,0.05,0.96875,0.96875
2,accuracy,1,0.075,0.96875,0.96875
2,accuracy,1,0.1,0.96875,0.96875
2,accuracy,1,0.15,0.96875,1.0
2,cross_entropy,1,0.05,0.118998,0.125058
2,cross_entropy,1,0.075,0.112098,0.13155
2,cross_entropy,1,0.1,0.121964,0.123036
2,cross_entropy,1,0.15,0.139575,0.113881
3,auc,0,0.05,0.83871,0.903226
3,auc,0,0.075,0.806452,0.935484
3,auc,0,0.1,0.645161,0.967742
3,auc,0,0.15,0.419355,1.0
3,accuracy,0,0.05,0.96875,0.96875
3,accuracy,0,0.075,0.96875,0.96875
3,accuracy,0,0.1,0.96875,0.96875
3,accuracy,0,0.15,0.96875,0.96875
3,cross_entropy,0,0.05,0.143525,0.167002
3,cross_entropy,0,0.075,0.151647,0.156657
3,cross_entropy,0,0.1,0.154941,0.157949
3,cross_entropy,0,0.15,0.171457,0.144568
3,auc,1,0.05,0.967742,0.83871
3,auc,1,0.075,0.677419,1.0
3,auc,1,0.1,0.548387,1.0
3,auc,1,0.15,0.483871,0.967742
3,accuracy,1,0.05,0.96875,0.96875
3,accuracy,1,0.075,0.96875,0.96875
3,accuracy,1,0.1,0.96875,0.96875
3,accuracy,1,0.15,0.96875,0.96875
3,cross_entropy,1,0.05,0.138934,0.170415
3,cross_entropy,1,0.075,0.156134,0.150023
3,cross_entropy,1,0.1,0.165665,0.147174
3,cross_entropy,1,0.15,0.166654,0.150616
4,auc,0,0.05,0.0,0.0
4,auc,0,0.075,0.0,0.0
4,auc,0,0.1,0.0,0.0
4,auc,0,0.15,0.0,0.0
4,accuracy,0,0.05,1.0,1.0
4,accuracy,0,0.075,1.0,1.0
4,accuracy,0,0.1,1.0,1.0
4,accuracy,0,0.15,1.0,1.0
4,cross_entropy,0,0.05,0.076154,0.104238
4,cross_entropy,0,0.075,0.075299,0.105577
