batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,0.965517,0.83908
0,auc,0,0.075,0.873563,0.954023
0,auc,0,0.1,0.827586,0.977012
0,auc,0,0.15,0.666667,1.0
0,accuracy,0,0.05,0.9375,0.9375
0,accuracy,0,0.075,0.9375,0.9375
0,accuracy,0,0.1,0.9375,0.9375
0,accuracy,0,0.15,0.9375,0.9375
0,cross_entropy,0,0.05,0.173972,0.240264
0,cross_entropy,0,0.075,0.217038,0.192677
0,cross_entropy,0,0.1,0.23178,0.177187
0,cross_entropy,0,0.15,0.270833,0.137376
0,auc,1,0.05,0.885057,0.873563
0,auc,1,0.075,0.735632,0.965517
0,auc,1,0.1,0.724138,0.977012
0,auc,1,0.15,0.586207,0.988506
0,accuracy,1,0.05,0.9375,0.9375
0,accuracy,1,0.075,0.9375,0.9375
0,accuracy,1,0.1,0.9375,0.9375
0,accuracy,1,0.15,0.90625,0.9375
0,cross_entropy,1,0.05,0.201815,0.223908
0,cross_entropy,1,0.075,0.240511,0.174903
0,cross_entropy,1,0.1,0.252729,0.164975
0,cross_entropy,1,0.15,0.283017,0.131452
1,auc,0,0.05,0.0,0.0
1,auc,0,0.075,0.0,0.0
1,auc,0,0.1,0.0,0.0
1,auc,0,0.15,0.0,0.0
1,accuracy,0,0.05,1.0,1.0
1,accuracy,0,0.075,1.0,1.0
1,accuracy,0,0.1,1.0,1.0
1,accuracy,0,0.15,1.0,1.0
1,cross_entropy,0,0.05,0.112688,0.067621
1,cross_entropy,0,0.075,0.113943,0.070301
1,cross_entropy,0,0.1,0.109079,0.07141
1,cross_entropy,0,0.15,0.105099,0.076527
1,auc,1,0.05,0.0,0.0
1,auc,1,0.075,0.0,0.0
1,auc,1,0.1,0.0,0.0
1,auc,1,0.15,0.0,0.0
1,accuracy,1,0.05,1.0,1.0
1,accuracy,1,0.075,1.0,1.0
1,accuracy,1,0.1,1.0,1.0
1,accuracy,1,0.15,1.0,1.0
1,cross_entropy,1,0.05,0.114363,0.073142
1,cross_entropy,1,0.075,0.110205,0.075588
1,cross_entropy,1,0.1,0.107196,0.076326
1,cross_entropy,1,0.15,0.099278,0.083888
2,auc,0,0.05,1.0,1.0
2,auc,0,0.075,0.967742,1.0
2,auc,0,0.1,0.967742,1.0
2,auc,0,0.15,0.967742,1.0
2,accuracy,0,0.05,1.0,0.96875
2,accuracy,0,0.075,0.96875,0.96875
2,accuracy,0,0.1,0.96875,0.96875
2,accuracy,0,0.15,0.96875,1.0
2,cross_entropy,0,0.05,0.120292,0.107912
2,cross_entropy,0,0.075,0.133113,0.091306
2,cross_entropy,0,0.1,0.132211,0.0904
2,cross_entropy,0,0.15,0.132848,0.090671
2,auc,1,0.05,1.0,1.0
