batch_index,metric,area,comp,suff
0,auc,0.05,1.0,1.0
0,accuracy,0.05,0.96875,0.96875
0,cross_entropy,0.05,0.119377,0.125631
0,auc,0.075,0.935484,1.0
0,accuracy,0.075,0.96875,0.96875
0,cross_entropy,0.075,0.127439,0.117831
0,auc,0.1,0.903226,1.0
0,accuracy,0.1,0.96875,0.96875
0,cross_entropy,0.1,0.134415,0.112312
0,auc,0.15,0.774194,1.0
0,accuracy,0.15,0.96875,0.96875
0,cross_entropy,0.15,0.140759,0.110476
1,auc,0.05,0.0,0.0
1,accuracy,0.05,1.0,1.0
1,cross_entropy,0.05,0.076599,0.081905
1,auc,0.075,0.0,0.0
1,accuracy,0.075,1.0,1.0
1,cross_entropy,0.075,0.075888,0.083804
1,auc,0.1,0.0,0.0
1,accuracy,0.1,1.0,1.0
1,cross_entropy,0.1,0.077445,0.085709
1,auc,0.15,0.0,0.0
1,accuracy,0.15,1.0,1.0
1,cross_entropy,0.15,0.076649,0.089669
2,auc,0.05,0.0,0.0
2,accuracy,0.05,1.0,1.0
2,cross_entropy,0.05,0.07001,0.080172
2,auc,0.075,0.0,0.0
2,accuracy,0.075,1.0,1.0
2,cross_entropy,0.075,0.069977,0.08029
2,auc,0.1,0.0,0.0
2,accuracy,0.1,1.0,1.0
2,cross_entropy,0.1,0.068881,0.081069
2,auc,0.15,0.0,0.0
2,accuracy,0.15,1.0,1.0
2,cross_entropy,0.15,0.06931,0.080624
3,auc,0.05,0.0,0.0
3,accuracy,0.05,1.0,1.0
3,cross_entropy,0.05,0.078344,0.079157
3,auc,0.075,0.0,0.0
3,accuracy,0.075,1.0,1.0
3,cross_entropy,0.075,0.075357,0.082057
3,auc,0.1,0.0,0.0
3,accuracy,0.1,1.0,1.0
3,cross_entropy,0.1,0.071466,0.085967
3,auc,0.15,0.0,0.0
3,accuracy,0.15,1.0,1.0
3,cross_entropy,0.15,0.068499,0.091493
4,auc,0.05,1.0,0.870968
4,accuracy,0.05,0.96875,0.96875
4,cross_entropy,0.05,0.104307,0.143702
4,auc,0.075,1.0,0.967742
4,accuracy,0.075,0.96875,0.96875
4,cross_entropy,0.075,0.107435,0.137379
4,auc,0.1,1.0,0.967742
4,accuracy,0.1,0.96875,0.96875
4,cross_entropy,0.1,0.111868,0.132056
4,auc,0.15,1.0,0.967742
4,accuracy,0.15,0.96875,0.96875
4,cross_entropy,0.15,0.117161,0.129106
5,auc,0.05,0.0,0.0
5,accuracy,0.05,1.0,1.0
5,cross_entropy,0.05,0.081603,0.074849
5,auc,0.075,0.0,0.0
5,accuracy,0.075,1.0,1.0
5,cross_entropy,0.075,0.078006,0.077528
5,auc,0.1,0.0,0.0
5,accuracy,0.1,1.0,1.0
5,cross_entropy,0.1,0.075506,0.07977
5,auc,0.15,0.0,0.0
5,accuracy,0.15,1.0,1.0
5,cross_entropy,0.15,0.07197,0.083774
6,auc,0.05,0.0,0.0
6,accuracy,0.05,1.0,1.0
6,cross_entropy,0.05,0.084417,0.092283
6,auc,0.075,0.0,0.0
6,accuracy,0.075,1.0,1.0
6,cross_entropy,0.075,0.080475,0.095695
6,auc,0.1,0.0,0.0
6,accuracy,0.1,1.0,1.0
6,cross_entropy,0.1,0.078893,0.097463
6,auc,0.15,0.0,0.0
6,accuracy,0.15,1.0,1.0
6,cross_entropy,0.15,0.076482,0.101276
7,auc,0.05,0.0,0.0
7,accuracy,0.05,1.0,1.0
7,cross_entropy,0.05,0.087062,0.085747
7,auc,0.075,0.0,0.0
7,accuracy,0.075,1.0,1.0
7,cross_entropy,0.075,0.081993,0.089446
7,auc,0.1,0.0,0.0
7,accuracy,0.1,1.0,1.0
7,cross_entropy,0.1,0.079777,0.091514
7,auc,0.15,0.0,0.0
7,accuracy,0.15,1.0,1.0
7,cross_entropy,0.15,0.074389,0.097118
8,auc,0.05,0.0,0.0
8,accuracy,0.05,1.0,1.0
8,cross_entropy,0.05,0.079894,0.075903
8,auc,0.075,0.0,0.0
8,accuracy,0.075,1.0,1.0
8,cross_entropy,0.075,0.082743,0.076472
8,auc,0.1,0.0,0.0
8,accuracy,0.1,1.0,1.0
8,cross_entropy,0.1,0.078431,0.077041
8,auc,0.15,0.0,0.0
8,accuracy,0.15,1.0,1.0
8,cross_entropy,0.15,0.075426,0.079989
9,auc,0.05,0.0,0.0
9,accuracy,0.05,1.0,1.0
9,cross_entropy,0.05,0.077473,0.074567
9,auc,0.075,0.0,0.0
9,accuracy,0.075,1.0,1.0
9,cross_entropy,0.075,0.074392,0.076014
9,auc,0.1,0.0,0.0
9,accuracy,0.1,1.0,1.0
9,cross_entropy,0.1,0.071571,0.079108
9,auc,0.15,0.0,0.0
9,accuracy,0.15,1.0,1.0
9,cross_entropy,0.15,0.068279,0.084117
10,auc,0.05,0.0,0.0
10,accuracy,0.05,1.0,1.0
10,cross_entropy,0.05,0.083967,0.077531
10,auc,0.075,0.0,0.0
10,accuracy,0.075,1.0,1.0
10,cross_entropy,0.075,0.07985,0.079767
10,auc,0.1,0.0,0.0
10,accuracy,0.1,1.0,1.0
10,cross_entropy,0.1,0.076347,0.082234
10,auc,0.15,0.0,0.0
10,accuracy,0.15,1.0,1.0
10,cross_entropy,0.15,0.073744,0.085071
11,auc,0.05,1.0,0.677419
11,accuracy,0.05,0.96875,0.96875
11,cross_entropy,0.05,0.120505,0.157823
11,auc,0.075,1.0,0.806452
11,accuracy,0.075,0.96875,0.96875
11,cross_entropy,0.075,0.120181,0.155697
11,auc,0.1,1.0,0.870968
11,accuracy,0.1,0.96875,0.96875
11,cross_entropy,0.1,0.118479,0.156177
11,auc,0.15,1.0,0.903226
11,accuracy,0.15,0.96875,0.96875
11,cross_entropy,0.15,0.128045,0.146694
12,auc,0.05,1.0,0.988506
12,accuracy,0.05,0.90625,0.90625
12,cross_entropy,0.05,0.191774,0.236952
12,auc,0.075,1.0,1.0
12,accuracy,0.075,0.90625,0.90625
12,cross_entropy,0.075,0.206,0.220289
12,auc,0.1,1.0,1.0
12,accuracy,0.1,0.90625,0.90625
12,cross_entropy,0.1,0.217189,0.208608
12,auc,0.15,0.954023,1.0
12,accuracy,0.15,0.90625,0.90625
12,cross_entropy,0.15,0.238379,0.194073
13,auc,0.05,0.0,0.0
13,accuracy,0.05,1.0,1.0
13,cross_entropy,0.05,0.087965,0.081875
13,auc,0.075,0.0,0.0
13,accuracy,0.075,1.0,1.0
13,cross_entropy,0.075,0.083135,0.0867
13,auc,0.1,0.0,0.0
13,accuracy,0.1,1.0,1.0
13,cross_entropy,0.1,0.079941,0.090801
13,auc,0.15,0.0,0.0
13,accuracy,0.15,1.0,1.0
13,cross_entropy,0.15,0.076418,0.097671
14,auc,0.05,0.0,0.0
14,accuracy,0.05,1.0,1.0
14,cross_entropy,0.05,0.084659,0.084952
14,auc,0.075,0.0,0.0
14,accuracy,0.075,1.0,1.0
14,cross_entropy,0.075,0.081989,0.086004
14,auc,0.1,0.0,0.0
14,accuracy,0.1,1.0,1.0
14,cross_entropy,0.1,0.079311,0.088387
14,auc,0.15,0.0,0.0
14,accuracy,0.15,1.0,1.0
14,cross_entropy,0.15,0.075649,0.092127
15,auc,0.05,0.0,0.0
15,accuracy,0.05,1.0,1.0
15,cross_entropy,0.05,0.094179,0.087405
15,auc,0.075,0.0,0.0
15,accuracy,0.075,1.0,1.0
15,cross_entropy,0.075,0.08879,0.090367
15,auc,0.1,0.0,0.0
15,accuracy,0.1,1.0,1.0
15,cross_entropy,0.1,0.086109,0.092573
15,auc,0.15,0.0,0.0
15,accuracy,0.15,1.0,1.0
15,cross_entropy,0.15,0.079802,0.100137
16,auc,0.05,0.0,0.0
16,accuracy,0.05,1.0,1.0
16,cross_entropy,0.05,0.087581,0.08093
16,auc,0.075,0.0,0.0
16,accuracy,0.075,1.0,1.0
16,cross_entropy,0.075,0.083254,0.084175
16,auc,0.1,0.0,0.0
16,accuracy,0.1,1.0,1.0
16,cross_entropy,0.1,0.081994,0.085672
16,auc,0.15,0.0,0.0
16,accuracy,0.15,1.0,1.0
16,cross_entropy,0.15,0.077947,0.090926
17,auc,0.05,0.0,0.0
17,accuracy,0.05,1.0,1.0
17,cross_entropy,0.05,0.077884,0.084934
17,auc,0.075,0.0,0.0
17,accuracy,0.075,1.0,1.0
17,cross_entropy,0.075,0.074118,0.088092
17,auc,0.1,0.0,0.0
17,accuracy,0.1,1.0,1.0
17,cross_entropy,0.1,0.073642,0.088894
17,auc,0.15,0.0,0.0
17,accuracy,0.15,1.0,1.0
17,cross_entropy,0.15,0.07157,0.091091
18,auc,0.05,1.0,1.0
18,accuracy,0.05,0.96875,0.96875
18,cross_entropy,0.05,0.122974,0.128613
18,auc,0.075,1.0,1.0
18,accuracy,0.075,0.96875,0.96875
18,cross_entropy,0.075,0.125381,0.125712
18,auc,0.1,1.0,1.0
18,accuracy,0.1,0.96875,0.96875
18,cross_entropy,0.1,0.127368,0.126152
18,auc,0.15,0.967742,1.0
18,accuracy,0.15,0.96875,0.96875
18,cross_entropy,0.15,0.133076,0.12534
19,auc,0.05,1.0,1.0
19,accuracy,0.05,0.96875,0.96875
19,cross_entropy,0.05,0.107418,0.121473
19,auc,0.075,1.0,1.0
19,accuracy,0.075,0.96875,0.96875
19,cross_entropy,0.075,0.112935,0.11528
19,auc,0.1,1.0,1.0
19,accuracy,0.1,0.96875,0.96875
19,cross_entropy,0.1,0.117373,0.112441
19,auc,0.15,1.0,1.0
19,accuracy,0.15,0.96875,1.0
19,cross_entropy,0.15,0.126465,0.110018
20,auc,0.05,1.0,1.0
20,accuracy,0.05,0.96875,0.96875
20,cross_entropy,0.05,0.099861,0.12417
20,auc,0.075,1.0,1.0
20,accuracy,0.075,0.96875,0.96875
20,cross_entropy,0.075,0.099433,0.125918
20,auc,0.1,1.0,1.0
20,accuracy,0.1,0.96875,0.96875
20,cross_entropy,0.1,0.101403,0.122966
20,auc,0.15,1.0,1.0
20,accuracy,0.15,0.96875,0.96875
20,cross_entropy,0.15,0.103985,0.119595
21,auc,0.05,1.0,0.935484
21,accuracy,0.05,0.96875,0.96875
21,cross_entropy,0.05,0.124809,0.141846
21,auc,0.075,1.0,1.0
21,accuracy,0.075,0.96875,0.96875
21,cross_entropy,0.075,0.124001,0.137795
21,auc,0.1,1.0,1.0
21,accuracy,0.1,0.96875,0.96875
21,cross_entropy,0.1,0.123565,0.136815
21,auc,0.15,1.0,1.0
21,accuracy,0.15,0.96875,0.96875
21,cross_entropy,0.15,0.124185,0.1356
22,auc,0.05,0.967742,1.0
22,accuracy,0.05,0.96875,0.96875
22,cross_entropy,0.05,0.129454,0.123759
22,auc,0.075,0.967742,1.0
22,accuracy,0.075,0.96875,0.96875
22,cross_entropy,0.075,0.128819,0.118755
22,auc,0.1,0.967742,1.0
22,accuracy,0.1,0.96875,0.96875
22,cross_entropy,0.1,0.132062,0.115725
22,auc,0.15,0.967742,1.0
22,accuracy,0.15,0.96875,1.0
22,cross_entropy,0.15,0.135087,0.114854
23,auc,0.05,0.0,0.0
23,accuracy,0.05,1.0,1.0
23,cross_entropy,0.05,0.083201,0.093851
23,auc,0.075,0.0,0.0
23,accuracy,0.075,1.0,1.0
23,cross_entropy,0.075,0.079292,0.096411
23,auc,0.1,0.0,0.0
23,accuracy,0.1,1.0,1.0
23,cross_entropy,0.1,0.0774,0.098769
23,auc,0.15,0.0,0.0
23,accuracy,0.15,1.0,1.0
23,cross_entropy,0.15,0.073584,0.103812
24,auc,0.05,0.0,0.0
24,accuracy,0.05,1.0,1.0
24,cross_entropy,0.05,0.079205,0.088265
24,auc,0.075,0.0,0.0
24,accuracy,0.075,1.0,1.0
24,cross_entropy,0.075,0.076763,0.090737
24,auc,0.1,0.0,0.0
24,accuracy,0.1,1.0,1.0
24,cross_entropy,0.1,0.074276,0.093033
24,auc,0.15,0.0,0.0
24,accuracy,0.15,1.0,1.0
24,cross_entropy,0.15,0.073603,0.094409
25,auc,0.05,1.0,0.967742
25,accuracy,0.05,0.96875,0.96875
25,cross_entropy,0.05,0.098796,0.139135
25,auc,0.075,1.0,0.967742
25,accuracy,0.075,0.96875,0.96875
25,cross_entropy,0.075,0.101737,0.135111
25,auc,0.1,1.0,0.967742
25,accuracy,0.1,0.96875,0.96875
25,cross_entropy,0.1,0.106049,0.131574
25,auc,0.15,1.0,0.967742
25,accuracy,0.15,0.96875,0.96875
25,cross_entropy,0.15,0.113449,0.125633
26,auc,0.05,0.870968,1.0
26,accuracy,0.05,0.96875,1.0
26,cross_entropy,0.05,0.145207,0.085247
26,auc,0.075,0.83871,1.0
26,accuracy,0.075,0.96875,1.0
26,cross_entropy,0.075,0.146724,0.087978
26,auc,0.1,0.83871,1.0
26,accuracy,0.1,0.96875,1.0
26,cross_entropy,0.1,0.145701,0.088552
26,auc,0.15,0.774194,1.0
