metric,area,comp,suff
accuracy,0.05,0.961725,0.958253
accuracy,0.075,0.959555,0.962593
accuracy,0.1,0.957385,0.967368
accuracy,0.15,0.954781,0.974312
accuracy,0.5,0.954781,0.985677
accuracy,0.8,0.954781,0.991753
auc,0.05,0.02294,0.007688
auc,0.075,0.008446,0.014373
auc,0.1,0.0023,0.030924
auc,0.15,0.0,0.052722
auc,0.5,0.0,0.096865
auc,0.8,0.0,0.101769
cross_entropy,0.05,0.116846,0.128046
cross_entropy,0.075,0.130959,0.117316
cross_entropy,0.1,0.143813,0.112617
cross_entropy,0.15,0.165278,0.105976
cross_entropy,0.5,0.200982,0.0908
cross_entropy,0.8,0.197786,0.088691
