metric,area,comp,suff
accuracy,0.05,0.973958,0.954347
accuracy,0.075,0.97092,0.955649
accuracy,0.1,0.969184,0.955215
accuracy,0.15,0.966146,0.956951
accuracy,0.5,0.963027,0.959989
accuracy,0.8,0.958253,0.961725
auc,0.05,0.109732,0.0
auc,0.075,0.103265,0.000587
auc,0.1,0.104953,0.000587
auc,0.15,0.104186,0.000463
auc,0.5,0.08115,0.000911
auc,0.8,0.051643,0.001142
cross_entropy,0.05,0.10755,0.164254
cross_entropy,0.075,0.116264,0.158949
cross_entropy,0.1,0.123216,0.155325
cross_entropy,0.15,0.133176,0.150219
cross_entropy,0.5,0.149061,0.130837
cross_entropy,0.8,0.150271,0.116429
