batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,1.0,0.935484
0,auc,0,0.075,0.967742,1.0
0,auc,0,0.1,0.967742,1.0
0,auc,0,0.15,0.903226,1.0
0,accuracy,0,0.05,0.96875,0.96875
0,accuracy,0,0.075,0.96875,0.96875
0,accuracy,0,0.1,0.96875,0.96875
0,accuracy,0,0.15,0.96875,1.0
0,cross_entropy,0,0.05,0.119755,0.15775
0,cross_entropy,0,0.075,0.12626,0.149175
0,cross_entropy,0,0.1,0.116323,0.14101
0,cross_entropy,0,0.15,0.129793,0.120448
0,auc,1,0.05,0.967742,1.0
0,auc,1,0.075,0.967742,1.0
0,auc,1,0.1,0.935484,1.0
0,auc,1,0.15,0.967742,1.0
0,accuracy,1,0.05,0.96875,0.96875
0,accuracy,1,0.075,0.96875,0.96875
0,accuracy,1,0.1,0.96875,0.96875
0,accuracy,1,0.15,0.96875,0.96875
0,cross_entropy,1,0.05,0.120816,0.146553
0,cross_entropy,1,0.075,0.126449,0.138892
0,cross_entropy,1,0.1,0.130437,0.137985
0,cross_entropy,1,0.15,0.124757,0.145374
1,auc,0,0.05,0.0,0.0
1,auc,0,0.075,0.0,0.0
1,auc,0,0.1,0.0,0.0
1,auc,0,0.15,0.0,0.0
1,accuracy,0,0.05,1.0,1.0
1,accuracy,0,0.075,1.0,1.0
1,accuracy,0,0.1,1.0,1.0
1,accuracy,0,0.15,1.0,1.0
1,cross_entropy,0,0.05,0.063772,0.1039
1,cross_entropy,0,0.075,0.069033,0.098147
1,cross_entropy,0,0.1,0.065591,0.098824
1,cross_entropy,0,0.15,0.060703,0.094467
1,auc,1,0.05,0.0,0.0
1,auc,1,0.075,0.0,0.0
1,auc,1,0.1,0.0,0.0
1,auc,1,0.15,0.0,0.0
1,accuracy,1,0.05,1.0,1.0
1,accuracy,1,0.075,1.0,1.0
1,accuracy,1,0.1,1.0,1.0
1,accuracy,1,0.15,1.0,1.0
1,cross_entropy,1,0.05,0.055227,0.118897
1,cross_entropy,1,0.075,0.05647,0.114698
1,cross_entropy,1,0.1,0.055596,0.111315
1,cross_entropy,1,0.15,0.056247,0.103957
2,auc,0,0.05,0.0,0.0
2,auc,0,0.075,0.0,0.0
2,auc,0,0.1,0.0,0.0
2,auc,0,0.15,0.0,0.0
2,accuracy,0,0.05,0.96875,1.0
2,accuracy,0,0.075,0.96875,1.0
2,accuracy,0,0.1,1.0,1.0
2,accuracy,0,0.15,1.0,1.0
2,cross_entropy,0,0.05,0.171407,0.127657
2,cross_entropy,0,0.075,0.105871,0.142351
2,cross_entropy,0,0.1,0.092026,0.160259
2,cross_entropy,0,0.15,0.083978,0.165608
2,auc,1,0.05,0.0,0.0
2,auc,1,0.075,0.0,0.0
2,auc,1,0.1,0.0,0.0
2,auc,1,0.15,0.0,0.0
2,accuracy,1,0.05,1.0,0.96875
2,accuracy,1,0.075,1.0,1.0
2,accuracy,1,0.1,1.0,1.0
2,accuracy,1,0.15,1.0,1.0
2,cross_entropy,1,0.05,0.094426,0.183255
2,cross_entropy,1,0.075,0.08473,0.154587
2,cross_entropy,1,0.1,0.079146,0.164063
2,cross_entropy,1,0.15,0.070996,0.158964
3,auc,0,0.05,0.0,0.0
3,auc,0,0.075,0.0,0.0
3,auc,0,0.1,0.0,0.0
3,auc,0,0.15,0.0,0.0
3,accuracy,0,0.05,1.0,1.0
3,accuracy,0,0.075,1.0,1.0
3,accuracy,0,0.1,1.0,1.0
3,accuracy,0,0.15,1.0,1.0
3,cross_entropy,0,0.05,0.062484,0.112002
3,cross_entropy,0,0.075,0.065334,0.107257
3,cross_entropy,0,0.1,0.061637,0.110027
3,cross_entropy,0,0.15,0.056934,0.106135
3,auc,1,0.05,0.0,0.0
3,auc,1,0.075,0.0,0.0
3,auc,1,0.1,0.0,0.0
3,auc,1,0.15,0.0,0.0
3,accuracy,1,0.05,1.0,1.0
3,accuracy,1,0.075,1.0,0.96875
3,accuracy,1,0.1,1.0,0.96875
3,accuracy,1,0.15,1.0,1.0
3,cross_entropy,1,0.05,0.062931,0.115505
3,cross_entropy,1,0.075,0.057055,0.124524
3,cross_entropy,1,0.1,0.058908,0.122345
3,cross_entropy,1,0.15,0.057066,0.108725
4,auc,0,0.05,1.0,1.0
4,auc,0,0.075,1.0,1.0
4,auc,0,0.1,1.0,1.0
4,auc,0,0.15,1.0,1.0
4,accuracy,0,0.05,1.0,1.0
4,accuracy,0,0.075,0.96875,1.0
4,accuracy,0,0.1,0.96875,1.0
4,accuracy,0,0.15,0.96875,1.0
4,cross_entropy,0,0.05,0.083049,0.100282
4,cross_entropy,0,0.075,0.080548,0.102489
4,cross_entropy,0,0.1,0.084413,0.099626
4,cross_entropy,0,0.15,0.094221,0.105177
4,auc,1,0.05,1.0,1.0
4,auc,1,0.075,1.0,1.0
4,auc,1,0.1,1.0,1.0
4,auc,1,0.15,1.0,1.0
4,accuracy,1,0.05,1.0,0.96875
4,accuracy,1,0.075,0.96875,1.0
4,accuracy,1,0.1,0.96875,1.0
4,accuracy,1,0.15,0.96875,1.0
4,cross_entropy,1,0.05,0.079785,0.106911
4,cross_entropy,1,0.075,0.085962,0.11062
4,cross_entropy,1,0.1,0.097296,0.112674
4,cross_entropy,1,0.15,0.097652,0.115332
5,auc,0,0.05,0.0,0.0
5,auc,0,0.075,0.0,0.0
5,auc,0,0.1,0.0,0.0
5,auc,0,0.15,0.0,0.0
5,accuracy,0,0.05,1.0,1.0
5,accuracy,0,0.075,1.0,1.0
5,accuracy,0,0.1,1.0,1.0
5,accuracy,0,0.15,1.0,1.0
5,cross_entropy,0,0.05,0.096626,0.123534
5,cross_entropy,0,0.075,0.094939,0.128369
5,cross_entropy,0,0.1,0.089738,0.128618
5,cross_entropy,0,0.15,0.08581,0.11878
5,auc,1,0.05,0.0,0.0
5,auc,1,0.075,0.0,0.0
5,auc,1,0.1,0.0,0.0
5,auc,1,0.15,0.0,0.0
5,accuracy,1,0.05,1.0,1.0
5,accuracy,1,0.075,1.0,1.0
5,accuracy,1,0.1,1.0,1.0
5,accuracy,1,0.15,1.0,1.0
5,cross_entropy,1,0.05,0.090027,0.127343
5,cross_entropy,1,0.075,0.087059,0.128959
5,cross_entropy,1,0.1,0.086503,0.129855
5,cross_entropy,1,0.15,0.083565,0.123271
6,auc,0,0.05,1.0,0.903226
6,auc,0,0.075,1.0,0.935484
6,auc,0,0.1,1.0,0.967742
6,auc,0,0.15,1.0,0.967742
6,accuracy,0,0.05,0.96875,0.9375
6,accuracy,0,0.075,0.96875,0.9375
6,accuracy,0,0.1,0.96875,0.9375
6,accuracy,0,0.15,0.96875,0.9375
6,cross_entropy,0,0.05,0.114363,0.189147
6,cross_entropy,0,0.075,0.116637,0.184117
6,cross_entropy,0,0.1,0.112641,0.177205
6,cross_entropy,0,0.15,0.107367,0.198958
6,auc,1,0.05,1.0,0.870968
6,auc,1,0.075,0.967742,0.935484
6,auc,1,0.1,0.967742,0.935484
6,auc,1,0.15,0.935484,0.935484
6,accuracy,1,0.05,0.96875,0.96875
6,accuracy,1,0.075,0.96875,0.9375
6,accuracy,1,0.1,0.96875,0.9375
6,accuracy,1,0.15,0.96875,0.9375
6,cross_entropy,1,0.05,0.111853,0.185137
6,cross_entropy,1,0.075,0.1215,0.189052
6,cross_entropy,1,0.1,0.119229,0.200992
6,cross_entropy,1,0.15,0.122452,0.206257
7,auc,0,0.05,0.0,0.0
7,auc,0,0.075,0.0,0.0
7,auc,0,0.1,0.0,0.0
7,auc,0,0.15,0.0,0.0
7,accuracy,0,0.05,1.0,0.96875
7,accuracy,0,0.075,1.0,0.96875
7,accuracy,0,0.1,1.0,1.0
7,accuracy,0,0.15,1.0,1.0
7,cross_entropy,0,0.05,0.078084,0.141417
7,cross_entropy,0,0.075,0.082472,0.133876
7,cross_entropy,0,0.1,0.084551,0.123384
7,cross_entropy,0,0.15,0.075507,0.117362
7,auc,1,0.05,0.0,0.0
7,auc,1,0.075,0.0,0.0
7,auc,1,0.1,0.0,0.0
7,auc,1,0.15,0.0,0.0
7,accuracy,1,0.05,1.0,1.0
7,accuracy,1,0.075,1.0,1.0
7,accuracy,1,0.1,1.0,1.0
7,accuracy,1,0.15,1.0,1.0
7,cross_entropy,1,0.05,0.074362,0.129807
7,cross_entropy,1,0.075,0.073744,0.136205
7,cross_entropy,1,0.1,0.082046,0.134397
7,cross_entropy,1,0.15,0.075218,0.123032
8,auc,0,0.05,0.0,0.0
8,auc,0,0.075,0.0,0.0
8,auc,0,0.1,0.0,0.0
8,auc,0,0.15,0.0,0.0
8,accuracy,0,0.05,0.96875,0.96875
8,accuracy,0,0.075,0.96875,0.96875
8,accuracy,0,0.1,1.0,0.96875
8,accuracy,0,0.15,1.0,0.96875
8,cross_entropy,0,0.05,0.113877,0.153545
8,cross_entropy,0,0.075,0.100448,0.151775
8,cross_entropy,0,0.1,0.101198,0.152963
8,cross_entropy,0,0.15,0.075186,0.150169
8,auc,1,0.05,0.0,0.0
