batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,0.0,0.0
0,auc,0,0.075,0.0,0.0
0,auc,0,0.1,0.0,0.0
0,auc,0,0.15,0.0,0.0
0,accuracy,0,0.05,1.0,1.0
0,accuracy,0,0.075,1.0,1.0
0,accuracy,0,0.1,1.0,1.0
0,accuracy,0,0.15,1.0,0.96875
0,cross_entropy,0,0.05,0.097622,0.106759
0,cross_entropy,0,0.075,0.09391,0.110155
0,cross_entropy,0,0.1,0.087625,0.115822
0,cross_entropy,0,0.15,0.086557,0.115195
0,auc,1,0.05,0.0,0.0
0,auc,1,0.075,0.0,0.0
0,auc,1,0.1,0.0,0.0
0,auc,1,0.15,0.0,0.0
0,accuracy,1,0.05,1.0,1.0
0,accuracy,1,0.075,1.0,1.0
0,accuracy,1,0.1,1.0,1.0
0,accuracy,1,0.15,1.0,1.0
0,cross_entropy,1,0.05,0.113694,0.106765
0,cross_entropy,1,0.075,0.112104,0.103167
0,cross_entropy,1,0.1,0.116354,0.102235
0,cross_entropy,1,0.15,0.114981,0.100071
1,auc,0,0.05,0.0,0.0
1,auc,0,0.075,0.0,0.0
1,auc,0,0.1,0.0,0.0
1,auc,0,0.15,0.0,0.0
1,accuracy,0,0.05,1.0,1.0
1,accuracy,0,0.075,1.0,1.0
1,accuracy,0,0.1,1.0,1.0
1,accuracy,0,0.15,1.0,1.0
1,cross_entropy,0,0.05,0.059977,0.120417
1,cross_entropy,0,0.075,0.058648,0.130759
1,cross_entropy,0,0.1,0.060226,0.124662
1,cross_entropy,0,0.15,0.069039,0.115647
1,auc,1,0.05,0.0,0.0
1,auc,1,0.075,0.0,0.0
1,auc,1,0.1,0.0,0.0
1,auc,1,0.15,0.0,0.0
1,accuracy,1,0.05,1.0,1.0
1,accuracy,1,0.075,1.0,1.0
1,accuracy,1,0.1,1.0,1.0
1,accuracy,1,0.15,1.0,1.0
1,cross_entropy,1,0.05,0.061292,0.137388
1,cross_entropy,1,0.075,0.062194,0.141626
1,cross_entropy,1,0.1,0.066393,0.141301
1,cross_entropy,1,0.15,0.064902,0.151117
2,auc,0,0.05,0.0,0.0
2,auc,0,0.075,0.0,0.0
2,auc,0,0.1,0.0,0.0
2,auc,0,0.15,0.0,0.0
2,accuracy,0,0.05,1.0,1.0
2,accuracy,0,0.075,1.0,1.0
2,accuracy,0,0.1,1.0,1.0
2,accuracy,0,0.15,1.0,1.0
2,cross_entropy,0,0.05,0.076563,0.094585
2,cross_entropy,0,0.075,0.07849,0.090879
