batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,0.0,0.0
0,auc,0,0.075,0.0,0.0
0,auc,0,0.1,0.0,0.0
0,auc,0,0.15,0.0,0.0
0,accuracy,0,0.05,1.0,1.0
0,accuracy,0,0.075,1.0,1.0
0,accuracy,0,0.1,1.0,1.0
0,accuracy,0,0.15,1.0,0.96875
0,cross_entropy,0,0.05,0.083923,0.121101
0,cross_entropy,0,0.075,0.084192,0.127566
0,cross_entropy,0,0.1,0.084202,0.126032
0,cross_entropy,0,0.15,0.083278,0.158628
0,auc,1,0.05,0.0,0.0
0,auc,1,0.075,0.0,0.0
0,auc,1,0.1,0.0,0.0
0,auc,1,0.15,0.0,0.0
0,accuracy,1,0.05,1.0,0.96875
0,accuracy,1,0.075,1.0,1.0
0,accuracy,1,0.1,1.0,1.0
0,accuracy,1,0.15,1.0,1.0
0,cross_entropy,1,0.05,0.099414,0.124211
0,cross_entropy,1,0.075,0.100363,0.119456
0,cross_entropy,1,0.1,0.103704,0.111634
0,cross_entropy,1,0.15,0.103361,0.119988
1,auc,0,0.05,0.0,0.0
1,auc,0,0.075,0.0,0.0
1,auc,0,0.1,0.0,0.0
1,auc,0,0.15,0.0,0.0
1,accuracy,0,0.05,1.0,1.0
1,accuracy,0,0.075,1.0,1.0
1,accuracy,0,0.1,1.0,1.0
1,accuracy,0,0.15,1.0,1.0
1,cross_entropy,0,0.05,0.089236,0.108967
1,cross_entropy,0,0.075,0.089005,0.107752
1,cross_entropy,0,0.1,0.085547,0.108178
1,cross_entropy,0,0.15,0.087801,0.112778
1,auc,1,0.05,0.0,0.0
1,auc,1,0.075,0.0,0.0
1,auc,1,0.1,0.0,0.0
1,auc,1,0.15,0.0,0.0
1,accuracy,1,0.05,1.0,1.0
1,accuracy,1,0.075,1.0,1.0
1,accuracy,1,0.1,1.0,1.0
1,accuracy,1,0.15,1.0,1.0
1,cross_entropy,1,0.05,0.081704,0.120294
1,cross_entropy,1,0.075,0.083083,0.128658
1,cross_entropy,1,0.1,0.080288,0.130841
1,cross_entropy,1,0.15,0.076676,0.134862
2,auc,0,0.05,1.0,0.935484
2,auc,0,0.075,1.0,0.935484
2,auc,0,0.1,1.0,0.935484
2,auc,0,0.15,0.967742,0.903226
2,accuracy,0,0.05,1.0,0.96875
2,accuracy,0,0.075,0.96875,0.96875
2,accuracy,0,0.1,1.0,0.9375
2,accuracy,0,0.15,0.9375,0.9375
2,cross_entropy,0,0.05,0.099044,0.150776
