batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,0.0,0.0
0,auc,0,0.075,0.0,0.0
0,auc,0,0.1,0.0,0.0
0,auc,0,0.15,0.0,0.0
0,accuracy,0,0.05,1.0,1.0
0,accuracy,0,0.075,1.0,1.0
0,accuracy,0,0.1,1.0,1.0
0,accuracy,0,0.15,1.0,1.0
0,cross_entropy,0,0.05,0.083311,0.110269
0,cross_entropy,0,0.075,0.085442,0.109463
0,cross_entropy,0,0.1,0.08765,0.1057
0,cross_entropy,0,0.15,0.092181,0.093838
0,auc,1,0.05,0.0,0.0
0,auc,1,0.075,0.0,0.0
0,auc,1,0.1,0.0,0.0
0,auc,1,0.15,0.0,0.0
0,accuracy,1,0.05,1.0,1.0
0,accuracy,1,0.075,1.0,1.0
0,accuracy,1,0.1,1.0,1.0
0,accuracy,1,0.15,1.0,1.0
0,cross_entropy,1,0.05,0.084922,0.108627
0,cross_entropy,1,0.075,0.089062,0.103443
0,cross_entropy,1,0.1,0.091007,0.105094
0,cross_entropy,1,0.15,0.098747,0.09282
1,auc,0,0.05,0.0,0.0
1,auc,0,0.075,0.0,0.0
1,auc,0,0.1,0.0,0.0
1,auc,0,0.15,0.0,0.0
1,accuracy,0,0.05,1.0,0.0
1,accuracy,0,0.075,0.71875,0.0
1,accuracy,0,0.1,0.90625,0.0
1,accuracy,0,0.15,0.875,0.0
1,cross_entropy,0,0.05,0.187594,2.115633
1,cross_entropy,0,0.075,0.434381,2.046536
1,cross_entropy,0,0.1,0.290223,2.090028
1,cross_entropy,0,0.15,0.335276,2.113812
1,auc,1,0.05,0.0,0.0
1,auc,1,0.075,0.0,0.0
1,auc,1,0.1,0.0,0.0
1,auc,1,0.15,0.0,0.0
1,accuracy,1,0.05,0.90625,0.0
1,accuracy,1,0.075,0.96875,0.0
1,accuracy,1,0.1,0.90625,0.0
1,accuracy,1,0.15,1.0,0.0
1,cross_entropy,1,0.05,0.25273,2.311985
1,cross_entropy,1,0.075,0.208381,2.321896
1,cross_entropy,1,0.1,0.210529,2.320557
1,cross_entropy,1,0.15,0.235299,2.382811
2,auc,0,0.05,1.0,0.354839
2,auc,0,0.075,1.0,0.322581
2,auc,0,0.1,1.0,0.935484
2,auc,0,0.15,1.0,0.935484
2,accuracy,0,0.05,1.0,0.96875
2,accuracy,0,0.075,1.0,0.96875
2,accuracy,0,0.1,1.0,0.96875
2,accuracy,0,0.15,1.0,0.96875
2,cross_entropy,0,0.05,0.120026,0.168539
