batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,0.0,0.0
0,auc,0,0.075,0.0,0.0
0,auc,0,0.1,0.0,0.0
0,auc,0,0.15,0.0,0.0
0,accuracy,0,0.05,1.0,1.0
0,accuracy,0,0.075,1.0,1.0
0,accuracy,0,0.1,1.0,1.0
0,accuracy,0,0.15,1.0,1.0
0,cross_entropy,0,0.05,0.077832,0.097672
0,cross_entropy,0,0.075,0.084689,0.088945
0,cross_entropy,0,0.1,0.088192,0.08323
0,cross_entropy,0,0.15,0.102053,0.080932
0,auc,1,0.05,0.0,0.0
0,auc,1,0.075,0.0,0.0
0,auc,1,0.1,0.0,0.0
0,auc,1,0.15,0.0,0.0
0,accuracy,1,0.05,1.0,1.0
0,accuracy,1,0.075,1.0,1.0
0,accuracy,1,0.1,1.0,1.0
0,accuracy,1,0.15,1.0,1.0
0,cross_entropy,1,0.05,0.07141,0.104559
0,cross_entropy,1,0.075,0.076338,0.098835
0,cross_entropy,1,0.1,0.079052,0.095699
0,cross_entropy,1,0.15,0.082184,0.087839
1,auc,0,0.05,0.0,0.0
1,auc,0,0.075,0.0,0.0
1,auc,0,0.1,0.0,0.0
1,auc,0,0.15,0.0,0.0
1,accuracy,0,0.05,1.0,1.0
1,accuracy,0,0.075,1.0,1.0
1,accuracy,0,0.1,1.0,1.0
1,accuracy,0,0.15,1.0,1.0
1,cross_entropy,0,0.05,0.072135,0.102176
1,cross_entropy,0,0.075,0.075128,0.108029
1,cross_entropy,0,0.1,0.082657,0.096002
1,cross_entropy,0,0.15,0.088748,0.078989
1,auc,1,0.05,0.0,0.0
1,auc,1,0.075,0.0,0.0
1,auc,1,0.1,0.0,0.0
1,auc,1,0.15,0.0,0.0
1,accuracy,1,0.05,1.0,1.0
1,accuracy,1,0.075,1.0,1.0
1,accuracy,1,0.1,1.0,1.0
1,accuracy,1,0.15,1.0,1.0
1,cross_entropy,1,0.05,0.065497,0.102016
1,cross_entropy,1,0.075,0.065425,0.104873
1,cross_entropy,1,0.1,0.066265,0.096412
1,cross_entropy,1,0.15,0.073913,0.095205
2,auc,0,0.05,1.0,0.870968
2,auc,0,0.075,1.0,0.870968
2,auc,0,0.1,1.0,0.870968
2,auc,0,0.15,1.0,0.903226
2,accuracy,0,0.05,0.96875,0.96875
2,accuracy,0,0.075,0.96875,0.96875
2,accuracy,0,0.1,0.96875,0.96875
2,accuracy,0,0.15,0.96875,0.9375
2,cross_entropy,0,0.05,0.131169,0.161754
