batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,0.741935,1.0
0,auc,0,0.075,0.935484,1.0
0,auc,0,0.1,1.0,1.0
0,auc,0,0.15,0.967742,1.0
0,accuracy,0,0.05,0.96875,0.96875
0,accuracy,0,0.075,0.96875,1.0
0,accuracy,0,0.1,0.96875,1.0
0,accuracy,0,0.15,0.96875,1.0
0,cross_entropy,0,0.05,0.157643,0.217879
0,cross_entropy,0,0.075,0.142354,0.215017
0,cross_entropy,0,0.1,0.12347,0.220407
0,cross_entropy,0,0.15,0.131726,0.233885
0,auc,1,0.05,0.774194,0.903226
0,auc,1,0.075,0.451613,1.0
0,auc,1,0.1,0.645161,1.0
0,auc,1,0.15,0.419355,1.0
0,accuracy,1,0.05,0.96875,0.9375
0,accuracy,1,0.075,0.96875,0.96875
0,accuracy,1,0.1,0.96875,0.96875
0,accuracy,1,0.15,0.96875,0.90625
0,cross_entropy,1,0.05,0.144602,0.255156
0,cross_entropy,1,0.075,0.162922,0.246033
0,cross_entropy,1,0.1,0.154417,0.262222
0,cross_entropy,1,0.15,0.161301,0.256313
1,auc,0,0.05,1.0,0.193548
1,auc,0,0.075,0.967742,0.193548
1,auc,0,0.1,0.967742,0.290323
1,auc,0,0.15,0.967742,0.903226
1,accuracy,0,0.05,0.96875,0.9375
1,accuracy,0,0.075,0.96875,0.9375
1,accuracy,0,0.1,0.96875,0.96875
1,accuracy,0,0.15,0.96875,0.96875
1,cross_entropy,0,0.05,0.124673,0.241071
1,cross_entropy,0,0.075,0.120873,0.253474
1,cross_entropy,0,0.1,0.115032,0.254004
1,cross_entropy,0,0.15,0.123023,0.202259
1,auc,1,0.05,0.967742,0.806452
1,auc,1,0.075,0.967742,0.741935
1,auc,1,0.1,1.0,0.903226
1,auc,1,0.15,1.0,0.967742
1,accuracy,1,0.05,0.9375,0.9375
1,accuracy,1,0.075,0.96875,0.9375
1,accuracy,1,0.1,0.96875,0.9375
1,accuracy,1,0.15,0.96875,0.96875
1,cross_entropy,1,0.05,0.12552,0.213532
1,cross_entropy,1,0.075,0.123789,0.220995
1,cross_entropy,1,0.1,0.111861,0.217063
1,cross_entropy,1,0.15,0.131981,0.208687
2,auc,0,0.05,0.804598,0.908046
2,auc,0,0.075,0.735632,0.965517
2,auc,0,0.1,0.712644,0.988506
2,auc,0,0.15,0.747126,0.965517
2,accuracy,0,0.05,0.875,0.96875
2,accuracy,0,0.075,0.875,0.96875
2,accuracy,0,0.1,0.875,0.96875
2,accuracy,0,0.15,0.875,0.96875
2,cross_entropy,0,0.05,0.287886,0.223696
2,cross_entropy,0,0.075,0.289803,0.215718
2,cross_entropy,0,0.1,0.299878,0.197761
2,cross_entropy,0,0.15,0.308789,0.19483
2,auc,1,0.05,0.931034,0.908046
2,auc,1,0.075,0.804598,0.931035
2,auc,1,0.1,0.862069,0.954023
2,auc,1,0.15,0.850575,0.977012
2,accuracy,1,0.05,0.875,0.96875
2,accuracy,1,0.075,0.875,0.9375
2,accuracy,1,0.1,0.875,0.96875
2,accuracy,1,0.15,0.875,0.96875
2,cross_entropy,1,0.05,0.28182,0.238682
2,cross_entropy,1,0.075,0.296662,0.224079
2,cross_entropy,1,0.1,0.272678,0.21082
2,cross_entropy,1,0.15,0.292681,0.210849
3,auc,0,0.05,0.0,0.0
3,auc,0,0.075,0.0,0.0
3,auc,0,0.1,0.0,0.0
3,auc,0,0.15,0.0,0.0
3,accuracy,0,0.05,1.0,1.0
3,accuracy,0,0.075,1.0,1.0
3,accuracy,0,0.1,1.0,0.96875
3,accuracy,0,0.15,1.0,0.96875
3,cross_entropy,0,0.05,0.074991,0.192638
3,cross_entropy,0,0.075,0.071654,0.201512
3,cross_entropy,0,0.1,0.068902,0.208939
3,cross_entropy,0,0.15,0.072675,0.219503
3,auc,1,0.05,0.0,0.0
3,auc,1,0.075,0.0,0.0
3,auc,1,0.1,0.0,0.0
3,auc,1,0.15,0.0,0.0
3,accuracy,1,0.05,1.0,0.96875
3,accuracy,1,0.075,1.0,0.96875
3,accuracy,1,0.1,1.0,0.96875
3,accuracy,1,0.15,1.0,0.9375
3,cross_entropy,1,0.05,0.060728,0.20424
3,cross_entropy,1,0.075,0.063849,0.225834
3,cross_entropy,1,0.1,0.06015,0.227679
3,cross_entropy,1,0.15,0.059851,0.225766
4,auc,0,0.05,0.0,0.0
4,auc,0,0.075,0.0,0.0
4,auc,0,0.1,0.0,0.0
4,auc,0,0.15,0.0,0.0
4,accuracy,0,0.05,1.0,1.0
4,accuracy,0,0.075,1.0,1.0
4,accuracy,0,0.1,1.0,0.96875
4,accuracy,0,0.15,1.0,0.9375
4,cross_entropy,0,0.05,0.095668,0.159015
4,cross_entropy,0,0.075,0.083891,0.17817
4,cross_entropy,0,0.1,0.082929,0.19102
4,cross_entropy,0,0.15,0.07694,0.214964
4,auc,1,0.05,0.0,0.0
4,auc,1,0.075,0.0,0.0
4,auc,1,0.1,0.0,0.0
4,auc,1,0.15,0.0,0.0
4,accuracy,1,0.05,1.0,1.0
4,accuracy,1,0.075,1.0,0.96875
4,accuracy,1,0.1,1.0,0.96875
4,accuracy,1,0.15,1.0,0.9375
4,cross_entropy,1,0.05,0.081118,0.179921
4,cross_entropy,1,0.075,0.075755,0.194827
4,cross_entropy,1,0.1,0.07545,0.199651
4,cross_entropy,1,0.15,0.067851,0.204116
5,auc,0,0.05,1.0,0.903226
5,auc,0,0.075,0.83871,1.0
5,auc,0,0.1,0.870968,0.967742
5,auc,0,0.15,0.903226,0.967742
5,accuracy,0,0.05,0.96875,0.9375
5,accuracy,0,0.075,0.96875,0.96875
5,accuracy,0,0.1,0.96875,0.9375
5,accuracy,0,0.15,0.96875,0.96875
5,cross_entropy,0,0.05,0.120502,0.248814
5,cross_entropy,0,0.075,0.135654,0.218735
5,cross_entropy,0,0.1,0.134245,0.228796
5,cross_entropy,0,0.15,0.129736,0.228108
5,auc,1,0.05,0.774194,0.677419
5,auc,1,0.075,0.741935,0.709677
5,auc,1,0.1,0.83871,0.83871
5,auc,1,0.15,0.870968,0.935484
5,accuracy,1,0.05,0.96875,0.9375
5,accuracy,1,0.075,0.96875,0.90625
5,accuracy,1,0.1,0.96875,0.90625
5,accuracy,1,0.15,0.96875,0.90625
5,cross_entropy,1,0.05,0.14916,0.278823
5,cross_entropy,1,0.075,0.159089,0.293227
5,cross_entropy,1,0.1,0.155033,0.274252
5,cross_entropy,1,0.15,0.146029,0.251678
6,auc,0,0.05,0.0,0.0
6,auc,0,0.075,0.0,0.0
6,auc,0,0.1,0.0,0.0
6,auc,0,0.15,0.0,0.0
6,accuracy,0,0.05,1.0,0.96875
6,accuracy,0,0.075,1.0,0.96875
6,accuracy,0,0.1,1.0,0.96875
6,accuracy,0,0.15,0.96875,1.0
6,cross_entropy,0,0.05,0.07425,0.189369
6,cross_entropy,0,0.075,0.075221,0.219883
6,cross_entropy,0,0.1,0.084335,0.214158
6,cross_entropy,0,0.15,0.107337,0.204619
6,auc,1,0.05,0.0,0.0
6,auc,1,0.075,0.0,0.0
6,auc,1,0.1,0.0,0.0
6,auc,1,0.15,0.0,0.0
6,accuracy,1,0.05,1.0,1.0
6,accuracy,1,0.075,0.96875,1.0
6,accuracy,1,0.1,0.96875,1.0
6,accuracy,1,0.15,0.96875,1.0
6,cross_entropy,1,0.05,0.081696,0.188491
6,cross_entropy,1,0.075,0.1243,0.18601
6,cross_entropy,1,0.1,0.133769,0.206332
6,cross_entropy,1,0.15,0.122132,0.206057
7,auc,0,0.05,0.883333,0.883333
7,auc,0,0.075,0.833333,0.95
7,auc,0,0.1,0.933333,0.966667
7,auc,0,0.15,0.933333,1.0
7,accuracy,0,0.05,0.9375,0.9375
7,accuracy,0,0.075,0.9375,0.9375
7,accuracy,0,0.1,0.9375,0.96875
7,accuracy,0,0.15,0.9375,1.0
7,cross_entropy,0,0.05,0.192993,0.244508
7,cross_entropy,0,0.075,0.199079,0.247001
7,cross_entropy,0,0.1,0.190514,0.243663
7,cross_entropy,0,0.15,0.190326,0.253829
7,auc,1,0.05,0.95,0.85
7,auc,1,0.075,0.95,0.883333
7,auc,1,0.1,0.766667,0.933333
7,auc,1,0.15,0.783333,1.0
7,accuracy,1,0.05,0.9375,0.96875
7,accuracy,1,0.075,0.9375,0.90625
7,accuracy,1,0.1,0.9375,0.96875
7,accuracy,1,0.15,0.9375,0.96875
7,cross_entropy,1,0.05,0.179717,0.266298
7,cross_entropy,1,0.075,0.198524,0.270975
7,cross_entropy,1,0.1,0.208834,0.257654
7,cross_entropy,1,0.15,0.210118,0.257758
8,auc,0,0.05,1.0,0.935484
8,auc,0,0.075,0.967742,1.0
8,auc,0,0.1,0.935484,1.0
8,auc,0,0.15,0.806452,1.0
8,accuracy,0,0.05,0.96875,0.9375
8,accuracy,0,0.075,0.96875,0.96875
8,accuracy,0,0.1,0.96875,0.9375
8,accuracy,0,0.15,0.96875,0.96875
8,cross_entropy,0,0.05,0.126632,0.236233
8,cross_entropy,0,0.075,0.122507,0.235161
8,cross_entropy,0,0.1,0.130125,0.246106
8,cross_entropy,0,0.15,0.152422,0.246234
8,auc,1,0.05,1.0,1.0
8,auc,1,0.075,1.0,1.0
8,auc,1,0.1,1.0,1.0
8,auc,1,0.15,0.935484,1.0
8,accuracy,1,0.05,0.96875,1.0
8,accuracy,1,0.075,0.96875,0.96875
8,accuracy,1,0.1,0.96875,1.0
8,accuracy,1,0.15,0.96875,0.9375
8,cross_entropy,1,0.05,0.108137,0.220713
8,cross_entropy,1,0.075,0.110348,0.244725
8,cross_entropy,1,0.1,0.110694,0.248915
8,cross_entropy,1,0.15,0.129332,0.287928
9,auc,0,0.05,0.0,0.0
9,auc,0,0.075,0.0,0.0
9,auc,0,0.1,0.0,0.0
9,auc,0,0.15,0.0,0.0
9,accuracy,0,0.05,1.0,0.90625
9,accuracy,0,0.075,1.0,0.9375
9,accuracy,0,0.1,1.0,0.9375
9,accuracy,0,0.15,1.0,0.96875
9,cross_entropy,0,0.05,0.105828,0.246117
9,cross_entropy,0,0.075,0.098132,0.237906
9,cross_entropy,0,0.1,0.087711,0.252734
9,cross_entropy,0,0.15,0.083928,0.238735
9,auc,1,0.05,0.0,0.0
9,auc,1,0.075,0.0,0.0
9,auc,1,0.1,0.0,0.0
9,auc,1,0.15,0.0,0.0
9,accuracy,1,0.05,1.0,0.9375
9,accuracy,1,0.075,1.0,0.90625
9,accuracy,1,0.1,1.0,0.9375
9,accuracy,1,0.15,1.0,0.96875
9,cross_entropy,1,0.05,0.08094,0.273326
9,cross_entropy,1,0.075,0.076862,0.282336
9,cross_entropy,1,0.1,0.073629,0.273711
9,cross_entropy,1,0.15,0.066077,0.279045
10,auc,0,0.05,0.0,0.0
10,auc,0,0.075,0.0,0.0
10,auc,0,0.1,0.0,0.0
10,auc,0,0.15,0.0,0.0
10,accuracy,0,0.05,1.0,1.0
10,accuracy,0,0.075,1.0,1.0
10,accuracy,0,0.1,1.0,1.0
10,accuracy,0,0.15,1.0,1.0
10,cross_entropy,0,0.05,0.084014,0.184801
10,cross_entropy,0,0.075,0.08141,0.18821
10,cross_entropy,0,0.1,0.073558,0.209704
10,cross_entropy,0,0.15,0.072519,0.209766
10,auc,1,0.05,0.0,0.0
10,auc,1,0.075,0.0,0.0
10,auc,1,0.1,0.0,0.0
10,auc,1,0.15,0.0,0.0
10,accuracy,1,0.05,1.0,1.0
10,accuracy,1,0.075,1.0,0.9375
10,accuracy,1,0.1,1.0,0.96875
10,accuracy,1,0.15,1.0,0.96875
10,cross_entropy,1,0.05,0.067804,0.214239
10,cross_entropy,1,0.075,0.07062,0.235824
10,cross_entropy,1,0.1,0.06985,0.215386
10,cross_entropy,1,0.15,0.066925,0.19882
11,auc,0,0.05,0.903226,0.935484
11,auc,0,0.075,1.0,1.0
11,auc,0,0.1,1.0,1.0
11,auc,0,0.15,0.806452,1.0
11,accuracy,0,0.05,0.96875,0.9375
11,accuracy,0,0.075,0.96875,0.96875
11,accuracy,0,0.1,0.96875,0.96875
11,accuracy,0,0.15,0.96875,0.9375
11,cross_entropy,0,0.05,0.136845,0.210442
11,cross_entropy,0,0.075,0.129019,0.193764
11,cross_entropy,0,0.1,0.131647,0.202089
11,cross_entropy,0,0.15,0.139635,0.208304
11,auc,1,0.05,0.870968,0.967742
11,auc,1,0.075,0.870968,0.967742
11,auc,1,0.1,0.935484,0.967742
11,auc,1,0.15,0.903226,0.967742
11,accuracy,1,0.05,0.96875,0.9375
11,accuracy,1,0.075,0.96875,0.9375
11,accuracy,1,0.1,0.96875,0.96875
11,accuracy,1,0.15,0.96875,0.9375
11,cross_entropy,1,0.05,0.141652,0.207479
11,cross_entropy,1,0.075,0.138968,0.202406
11,cross_entropy,1,0.1,0.138253,0.194836
11,cross_entropy,1,0.15,0.135063,0.215639
12,auc,0,0.05,0.967742,0.548387
12,auc,0,0.075,1.0,0.677419
12,auc,0,0.1,1.0,0.806452
12,auc,0,0.15,1.0,0.967742
12,accuracy,0,0.05,0.96875,0.96875
12,accuracy,0,0.075,0.96875,0.9375
12,accuracy,0,0.1,0.96875,0.9375
12,accuracy,0,0.15,0.96875,0.96875
12,cross_entropy,0,0.05,0.13051,0.24898
12,cross_entropy,0,0.075,0.108136,0.289186
12,cross_entropy,0,0.1,0.102332,0.287582
12,cross_entropy,0,0.15,0.117573,0.267893
12,auc,1,0.05,0.967742,0.967742
12,auc,1,0.075,1.0,0.903226
12,auc,1,0.1,0.967742,0.741935
12,auc,1,0.15,1.0,0.967742
12,accuracy,1,0.05,0.96875,0.9375
12,accuracy,1,0.075,0.96875,0.96875
12,accuracy,1,0.1,0.96875,0.96875
12,accuracy,1,0.15,0.96875,0.96875
12,cross_entropy,1,0.05,0.11868,0.27127
12,cross_entropy,1,0.075,0.109597,0.27186
12,cross_entropy,1,0.1,0.11389,0.274796
12,cross_entropy,1,0.15,0.120248,0.261421
13,auc,0,0.05,0.903226,0.967742
13,auc,0,0.075,0.870968,0.967742
13,auc,0,0.1,0.774194,0.967742
13,auc,0,0.15,0.483871,0.967742
13,accuracy,0,0.05,0.96875,0.96875
13,accuracy,0,0.075,0.96875,0.96875
13,accuracy,0,0.1,0.96875,0.875
13,accuracy,0,0.15,0.96875,0.9375
13,cross_entropy,0,0.05,0.135424,0.24218
13,cross_entropy,0,0.075,0.134945,0.259119
13,cross_entropy,0,0.1,0.146369,0.280906
13,cross_entropy,0,0.15,0.163434,0.259271
13,auc,1,0.05,0.709677,1.0
13,auc,1,0.075,0.677419,1.0
13,auc,1,0.1,0.83871,1.0
13,auc,1,0.15,0.870968,1.0
13,accuracy,1,0.05,0.96875,0.96875
13,accuracy,1,0.075,0.96875,0.9375
13,accuracy,1,0.1,0.96875,0.9375
13,accuracy,1,0.15,0.96875,0.9375
13,cross_entropy,1,0.05,0.164478,0.261965
13,cross_entropy,1,0.075,0.168844,0.248387
13,cross_entropy,1,0.1,0.15304,0.258979
13,cross_entropy,1,0.15,0.140363,0.282687
14,auc,0,0.05,0.225806,1.0
14,auc,0,0.075,0.064516,1.0
14,auc,0,0.1,0.096774,1.0
14,auc,0,0.15,0.516129,1.0
14,accuracy,0,0.05,0.96875,0.96875
14,accuracy,0,0.075,0.96875,0.96875
14,accuracy,0,0.1,0.96875,1.0
14,accuracy,0,0.15,0.96875,0.96875
14,cross_entropy,0,0.05,0.212599,0.206321
14,cross_entropy,0,0.075,0.224092,0.229645
14,cross_entropy,0,0.1,0.210334,0.232989
14,cross_entropy,0,0.15,0.177878,0.274448
14,auc,1,0.05,0.774194,1.0
14,auc,1,0.075,0.967742,1.0
14,auc,1,0.1,1.0,1.0
14,auc,1,0.15,1.0,1.0
14,accuracy,1,0.05,0.96875,0.96875
14,accuracy,1,0.075,0.96875,0.875
14,accuracy,1,0.1,0.96875,0.9375
14,accuracy,1,0.15,0.96875,0.9375
14,cross_entropy,1,0.05,0.160022,0.26471
