batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,0.967742,1.0
0,auc,0,0.075,0.967742,1.0
0,auc,0,0.1,0.935484,1.0
0,auc,0,0.15,0.870968,1.0
0,accuracy,0,0.05,0.9375,0.96875
0,accuracy,0,0.075,0.9375,0.96875
0,accuracy,0,0.1,0.9375,0.96875
0,accuracy,0,0.15,0.9375,1.0
0,cross_entropy,0,0.05,0.191263,0.172649
0,cross_entropy,0,0.075,0.191596,0.155494
0,cross_entropy,0,0.1,0.210897,0.153666
0,cross_entropy,0,0.15,0.211812,0.134556
0,auc,1,0.05,0.709677,1.0
0,auc,1,0.075,0.83871,1.0
0,auc,1,0.1,0.903226,1.0
0,auc,1,0.15,0.806452,1.0
0,accuracy,1,0.05,0.96875,0.96875
0,accuracy,1,0.075,0.96875,0.96875
0,accuracy,1,0.1,0.96875,1.0
0,accuracy,1,0.15,0.96875,1.0
0,cross_entropy,1,0.05,0.196088,0.182109
0,cross_entropy,1,0.075,0.180461,0.171507
0,cross_entropy,1,0.1,0.182534,0.165523
0,cross_entropy,1,0.15,0.195457,0.164873
1,auc,0,0.05,1.0,0.903226
1,auc,0,0.075,0.806452,0.806452
1,auc,0,0.1,0.903226,0.870968
1,auc,0,0.15,0.935484,1.0
1,accuracy,0,0.05,0.96875,0.96875
1,accuracy,0,0.075,0.9375,0.96875
1,accuracy,0,0.1,0.9375,0.96875
1,accuracy,0,0.15,0.9375,0.96875
1,cross_entropy,0,0.05,0.205815,0.162046
1,cross_entropy,0,0.075,0.229698,0.162656
1,cross_entropy,0,0.1,0.21605,0.154239
1,cross_entropy,0,0.15,0.212654,0.144082
1,auc,1,0.05,0.870968,1.0
1,auc,1,0.075,0.741935,1.0
1,auc,1,0.1,0.709677,1.0
1,auc,1,0.15,0.806452,1.0
1,accuracy,1,0.05,0.9375,0.96875
1,accuracy,1,0.075,0.9375,0.96875
1,accuracy,1,0.1,0.9375,0.96875
1,accuracy,1,0.15,0.96875,0.96875
1,cross_entropy,1,0.05,0.211611,0.152742
1,cross_entropy,1,0.075,0.233291,0.144501
1,cross_entropy,1,0.1,0.228961,0.151123
1,cross_entropy,1,0.15,0.210493,0.144682
2,auc,0,0.05,0.827586,0.770115
2,auc,0,0.075,0.781609,0.850575
2,auc,0,0.1,0.643678,0.942529
2,auc,0,0.15,0.758621,0.908046
2,accuracy,0,0.05,0.875,0.9375
2,accuracy,0,0.075,0.875,0.96875
2,accuracy,0,0.1,0.875,0.96875
2,accuracy,0,0.15,0.875,0.96875
2,cross_entropy,0,0.05,0.29044,0.237605
2,cross_entropy,0,0.075,0.322818,0.231209
2,cross_entropy,0,0.1,0.36391,0.196236
2,cross_entropy,0,0.15,0.383382,0.199438
2,auc,1,0.05,0.850575,0.793103
2,auc,1,0.075,0.816092,0.91954
2,auc,1,0.1,0.735632,0.954023
2,auc,1,0.15,0.609195,0.977012
2,accuracy,1,0.05,0.875,0.96875
2,accuracy,1,0.075,0.875,0.96875
2,accuracy,1,0.1,0.875,0.96875
2,accuracy,1,0.15,0.875,0.96875
2,cross_entropy,1,0.05,0.325105,0.226712
2,cross_entropy,1,0.075,0.318865,0.20307
2,cross_entropy,1,0.1,0.340503,0.195037
2,cross_entropy,1,0.15,0.358318,0.165889
3,auc,0,0.05,0.0,0.0
3,auc,0,0.075,0.0,0.0
3,auc,0,0.1,0.0,0.0
3,auc,0,0.15,0.0,0.0
3,accuracy,0,0.05,1.0,1.0
3,accuracy,0,0.075,1.0,1.0
3,accuracy,0,0.1,1.0,1.0
3,accuracy,0,0.15,1.0,1.0
3,cross_entropy,0,0.05,0.121632,0.121383
3,cross_entropy,0,0.075,0.116848,0.117772
3,cross_entropy,0,0.1,0.11569,0.124034
3,cross_entropy,0,0.15,0.126259,0.1193
3,auc,1,0.05,0.0,0.0
3,auc,1,0.075,0.0,0.0
3,auc,1,0.1,0.0,0.0
3,auc,1,0.15,0.0,0.0
3,accuracy,1,0.05,1.0,1.0
3,accuracy,1,0.075,1.0,1.0
3,accuracy,1,0.1,1.0,1.0
3,accuracy,1,0.15,1.0,1.0
3,cross_entropy,1,0.05,0.098275,0.135875
3,cross_entropy,1,0.075,0.113636,0.129713
3,cross_entropy,1,0.1,0.106441,0.12681
3,cross_entropy,1,0.15,0.107284,0.126755
4,auc,0,0.05,0.0,0.0
4,auc,0,0.075,0.0,0.0
4,auc,0,0.1,0.0,0.0
4,auc,0,0.15,0.0,0.0
4,accuracy,0,0.05,1.0,1.0
4,accuracy,0,0.075,1.0,1.0
4,accuracy,0,0.1,1.0,1.0
4,accuracy,0,0.15,1.0,0.96875
4,cross_entropy,0,0.05,0.132405,0.122454
4,cross_entropy,0,0.075,0.138704,0.12559
4,cross_entropy,0,0.1,0.140836,0.128089
4,cross_entropy,0,0.15,0.142884,0.133923
4,auc,1,0.05,0.0,0.0
4,auc,1,0.075,0.0,0.0
