batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,0.0,0.0
0,auc,0,0.075,0.0,0.0
0,auc,0,0.1,0.0,0.0
0,auc,0,0.15,0.0,0.0
0,accuracy,0,0.05,1.0,1.0
0,accuracy,0,0.075,1.0,0.96875
0,accuracy,0,0.1,1.0,0.96875
0,accuracy,0,0.15,1.0,1.0
0,cross_entropy,0,0.05,0.08042,0.165902
0,cross_entropy,0,0.075,0.079955,0.181751
0,cross_entropy,0,0.1,0.077875,0.179597
0,cross_entropy,0,0.15,0.070511,0.15764
0,auc,1,0.05,0.0,0.0
0,auc,1,0.075,0.0,0.0
0,auc,1,0.1,0.0,0.0
0,auc,1,0.15,0.0,0.0
0,accuracy,1,0.05,1.0,1.0
0,accuracy,1,0.075,1.0,1.0
0,accuracy,1,0.1,1.0,0.96875
0,accuracy,1,0.15,1.0,1.0
0,cross_entropy,1,0.05,0.078544,0.161175
0,cross_entropy,1,0.075,0.07542,0.175325
0,cross_entropy,1,0.1,0.072573,0.179332
0,cross_entropy,1,0.15,0.073385,0.178212
1,auc,0,0.05,0.935484,1.0
1,auc,0,0.075,0.709677,1.0
1,auc,0,0.1,0.548387,1.0
1,auc,0,0.15,0.354839,1.0
1,accuracy,0,0.05,0.9375,0.96875
1,accuracy,0,0.075,0.9375,0.96875
1,accuracy,0,0.1,0.96875,0.96875
1,accuracy,0,0.15,0.9375,1.0
1,cross_entropy,0,0.05,0.196292,0.163712
1,cross_entropy,0,0.075,0.204806,0.150552
1,cross_entropy,0,0.1,0.174035,0.139987
1,cross_entropy,0,0.15,0.196113,0.135414
1,auc,1,0.05,0.709677,1.0
1,auc,1,0.075,0.741935,1.0
1,auc,1,0.1,0.741935,1.0
1,auc,1,0.15,0.677419,1.0
1,accuracy,1,0.05,0.9375,0.96875
1,accuracy,1,0.075,0.9375,0.96875
1,accuracy,1,0.1,0.96875,0.96875
1,accuracy,1,0.15,0.96875,1.0
1,cross_entropy,1,0.05,0.244702,0.157878
1,cross_entropy,1,0.075,0.205141,0.144667
1,cross_entropy,1,0.1,0.168047,0.130719
1,cross_entropy,1,0.15,0.177168,0.125185
2,auc,0,0.05,1.0,0.677419
2,auc,0,0.075,1.0,0.967742
2,auc,0,0.1,0.903226,1.0
2,auc,0,0.15,0.806452,1.0
2,accuracy,0,0.05,0.96875,0.96875
2,accuracy,0,0.075,0.96875,0.96875
2,accuracy,0,0.1,0.96875,0.96875
2,accuracy,0,0.15,0.96875,0.96875
