batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,1.0,0.5
0,auc,0,0.075,1.0,0.5
0,auc,0,0.1,1.0,0.416667
0,auc,0,0.15,1.0,0.483333
0,accuracy,0,0.05,0.9375,0.9375
0,accuracy,0,0.075,0.9375,0.9375
0,accuracy,0,0.1,0.9375,0.9375
0,accuracy,0,0.15,0.875,0.9375
0,cross_entropy,0,0.05,0.25761,0.245462
0,cross_entropy,0,0.075,0.285214,0.241973
0,cross_entropy,0,0.1,0.309288,0.250765
0,cross_entropy,0,0.15,0.364707,0.245681
0,auc,1,0.05,0.966667,1.0
0,auc,1,0.075,0.866667,1.0
0,auc,1,0.1,0.816667,0.983333
0,auc,1,0.15,0.716667,0.983333
0,accuracy,1,0.05,0.9375,1.0
0,accuracy,1,0.075,0.9375,0.90625
0,accuracy,1,0.1,0.9375,0.875
0,accuracy,1,0.15,0.9375,0.84375
0,cross_entropy,1,0.05,0.170492,0.302745
0,cross_entropy,1,0.075,0.194036,0.341487
0,cross_entropy,1,0.1,0.206303,0.372972
0,cross_entropy,1,0.15,0.224465,0.427764
1,auc,0,0.05,0.0,0.0
1,auc,0,0.075,0.0,0.0
1,auc,0,0.1,0.0,0.0
1,auc,0,0.15,0.0,0.0
1,accuracy,0,0.05,0.84375,1.0
1,accuracy,0,0.075,0.84375,1.0
1,accuracy,0,0.1,0.8125,1.0
1,accuracy,0,0.15,0.8125,1.0
1,cross_entropy,0,0.05,0.356356,0.092277
1,cross_entropy,0,0.075,0.415843,0.079793
1,cross_entropy,0,0.1,0.462933,0.070876
1,cross_entropy,0,0.15,0.51894,0.060949
1,auc,1,0.05,0.0,0.0
1,auc,1,0.075,0.0,0.0
1,auc,1,0.1,0.0,0.0
1,auc,1,0.15,0.0,0.0
1,accuracy,1,0.05,1.0,0.9375
1,accuracy,1,0.075,1.0,0.875
1,accuracy,1,0.1,1.0,0.8125
1,accuracy,1,0.15,1.0,0.78125
1,cross_entropy,1,0.05,0.038452,0.337358
1,cross_entropy,1,0.075,0.033046,0.40195
1,cross_entropy,1,0.1,0.030891,0.439633
1,cross_entropy,1,0.15,0.027785,0.50925
2,auc,0,0.05,1.0,0.064516
2,auc,0,0.075,1.0,0.032258
2,auc,0,0.1,1.0,0.032258
2,auc,0,0.15,1.0,0.032258
2,accuracy,0,0.05,0.90625,0.96875
2,accuracy,0,0.075,0.875,0.96875
2,accuracy,0,0.1,0.875,0.96875
2,accuracy,0,0.15,0.875,0.96875
2,cross_entropy,0,0.05,0.270149,0.186287
2,cross_entropy,0,0.075,0.310128,0.188051
2,cross_entropy,0,0.1,0.345822,0.179959
2,cross_entropy,0,0.15,0.386003,0.177548
2,auc,1,0.05,0.903226,1.0
2,auc,1,0.075,0.806452,1.0
2,auc,1,0.1,0.548387,1.0
2,auc,1,0.15,0.516129,1.0
2,accuracy,1,0.05,0.96875,0.96875
2,accuracy,1,0.075,0.96875,0.9375
2,accuracy,1,0.1,0.96875,0.90625
2,accuracy,1,0.15,0.96875,0.875
2,cross_entropy,1,0.05,0.122498,0.290155
2,cross_entropy,1,0.075,0.131839,0.330957
2,cross_entropy,1,0.1,0.141492,0.365613
2,cross_entropy,1,0.15,0.144041,0.423801
3,auc,0,0.05,0.0,0.0
3,auc,0,0.075,0.0,0.0
3,auc,0,0.1,0.0,0.0
3,auc,0,0.15,0.0,0.0
3,accuracy,0,0.05,0.9375,1.0
3,accuracy,0,0.075,0.875,1.0
3,accuracy,0,0.1,0.875,1.0
3,accuracy,0,0.15,0.84375,1.0
3,cross_entropy,0,0.05,0.330876,0.080513
3,cross_entropy,0,0.075,0.378145,0.071008
3,cross_entropy,0,0.1,0.417685,0.063162
3,cross_entropy,0,0.15,0.461057,0.056959
3,auc,1,0.05,0.0,0.0
3,auc,1,0.075,0.0,0.0
3,auc,1,0.1,0.0,0.0
3,auc,1,0.15,0.0,0.0
3,accuracy,1,0.05,1.0,0.9375
3,accuracy,1,0.075,1.0,0.9375
3,accuracy,1,0.1,1.0,0.90625
3,accuracy,1,0.15,1.0,0.8125
3,cross_entropy,1,0.05,0.038762,0.305368
3,cross_entropy,1,0.075,0.033347,0.361069
3,cross_entropy,1,0.1,0.030022,0.412027
3,cross_entropy,1,0.15,0.027989,0.470274
4,auc,0,0.05,1.0,0.516667
4,auc,0,0.075,1.0,0.633333
4,auc,0,0.1,1.0,0.583333
4,auc,0,0.15,1.0,0.65
4,accuracy,0,0.05,0.96875,0.9375
4,accuracy,0,0.075,0.96875,0.9375
4,accuracy,0,0.1,0.9375,0.9375
4,accuracy,0,0.15,0.875,0.9375
4,cross_entropy,0,0.05,0.260094,0.239107
4,cross_entropy,0,0.075,0.307193,0.22861
4,cross_entropy,0,0.1,0.346171,0.230677
4,cross_entropy,0,0.15,0.376916,0.225424
4,auc,1,0.05,0.95,0.983333
4,auc,1,0.075,0.866667,0.983333
4,auc,1,0.1,0.75,0.983333
4,auc,1,0.15,0.633333,1.0
4,accuracy,1,0.05,0.9375,0.9375
4,accuracy,1,0.075,0.9375,0.96875
4,accuracy,1,0.1,0.9375,0.96875
4,accuracy,1,0.15,0.9375,0.9375
4,cross_entropy,1,0.05,0.181209,0.271184
4,cross_entropy,1,0.075,0.202565,0.302493
4,cross_entropy,1,0.1,0.216425,0.331162
4,cross_entropy,1,0.15,0.244035,0.379315
5,auc,0,0.05,0.0,0.0
5,auc,0,0.075,0.0,0.0
5,auc,0,0.1,0.0,0.0
5,auc,0,0.15,0.0,0.0
5,accuracy,0,0.05,0.8125,1.0
5,accuracy,0,0.075,0.78125,1.0
5,accuracy,0,0.1,0.78125,1.0
5,accuracy,0,0.15,0.78125,1.0
5,cross_entropy,0,0.05,0.333797,0.085225
5,cross_entropy,0,0.075,0.387056,0.076194
5,cross_entropy,0,0.1,0.424178,0.070093
5,cross_entropy,0,0.15,0.476825,0.056538
5,auc,1,0.05,0.0,0.0
5,auc,1,0.075,0.0,0.0
5,auc,1,0.1,0.0,0.0
5,auc,1,0.15,0.0,0.0
5,accuracy,1,0.05,1.0,0.90625
5,accuracy,1,0.075,1.0,0.78125
5,accuracy,1,0.1,1.0,0.75
5,accuracy,1,0.15,1.0,0.75
5,cross_entropy,1,0.05,0.036503,0.334134
5,cross_entropy,1,0.075,0.032068,0.389561
5,cross_entropy,1,0.1,0.02963,0.444926
5,cross_entropy,1,0.15,0.027091,0.510379
6,auc,0,0.05,1.0,0.290323
6,auc,0,0.075,1.0,0.290323
6,auc,0,0.1,1.0,0.258065
6,auc,0,0.15,1.0,0.290323
6,accuracy,0,0.05,0.8125,0.96875
6,accuracy,0,0.075,0.8125,0.96875
6,accuracy,0,0.1,0.8125,0.96875
6,accuracy,0,0.15,0.8125,0.96875
6,cross_entropy,0,0.05,0.358004,0.173457
6,cross_entropy,0,0.075,0.39765,0.170548
6,cross_entropy,0,0.1,0.419606,0.169173
6,cross_entropy,0,0.15,0.474495,0.160862
6,auc,1,0.05,0.774194,0.967742
6,auc,1,0.075,0.483871,0.967742
6,auc,1,0.1,0.387097,0.967742
6,auc,1,0.15,0.612903,1.0
6,accuracy,1,0.05,0.96875,0.9375
6,accuracy,1,0.075,0.96875,0.9375
6,accuracy,1,0.1,0.96875,0.875
6,accuracy,1,0.15,0.96875,0.84375
6,cross_entropy,1,0.05,0.129488,0.360869
6,cross_entropy,1,0.075,0.148851,0.405286
6,cross_entropy,1,0.1,0.148866,0.452317
6,cross_entropy,1,0.15,0.139835,0.503264
7,auc,0,0.05,0.966667,0.816667
7,auc,0,0.075,0.966667,0.733333
7,auc,0,0.1,0.966667,0.666667
7,auc,0,0.15,0.966667,0.7
7,accuracy,0,0.05,0.90625,0.9375
7,accuracy,0,0.075,0.90625,0.9375
7,accuracy,0,0.1,0.90625,0.9375
7,accuracy,0,0.15,0.875,0.9375
7,cross_entropy,0,0.05,0.368777,0.214851
7,cross_entropy,0,0.075,0.406088,0.213543
7,cross_entropy,0,0.1,0.432793,0.215442
7,cross_entropy,0,0.15,0.471317,0.216909
7,auc,1,0.05,0.883333,1.0
7,auc,1,0.075,0.833333,1.0
7,auc,1,0.1,0.816667,1.0
7,auc,1,0.15,0.816667,1.0
7,accuracy,1,0.05,0.9375,1.0
7,accuracy,1,0.075,0.9375,0.9375
7,accuracy,1,0.1,0.9375,0.875
7,accuracy,1,0.15,0.9375,0.8125
7,cross_entropy,1,0.05,0.1945,0.33127
7,cross_entropy,1,0.075,0.209477,0.375976
7,cross_entropy,1,0.1,0.215189,0.416099
7,cross_entropy,1,0.15,0.220705,0.472254
8,auc,0,0.05,1.0,0.967742
8,auc,0,0.075,1.0,0.903226
8,auc,0,0.1,1.0,0.870968
8,auc,0,0.15,1.0,0.935484
8,accuracy,0,0.05,0.875,0.96875
8,accuracy,0,0.075,0.84375,0.96875
8,accuracy,0,0.1,0.84375,0.96875
8,accuracy,0,0.15,0.8125,0.96875
8,cross_entropy,0,0.05,0.287682,0.151056
8,cross_entropy,0,0.075,0.321613,0.145258
8,cross_entropy,0,0.1,0.346984,0.144942
8,cross_entropy,0,0.15,0.412751,0.133801
8,auc,1,0.05,1.0,1.0
8,auc,1,0.075,1.0,1.0
8,auc,1,0.1,1.0,1.0
8,auc,1,0.15,0.967742,1.0
8,accuracy,1,0.05,0.96875,0.9375
8,accuracy,1,0.075,0.96875,0.90625
8,accuracy,1,0.1,0.96875,0.875
8,accuracy,1,0.15,0.96875,0.84375
8,cross_entropy,1,0.05,0.082957,0.301637
8,cross_entropy,1,0.075,0.087511,0.335308
8,cross_entropy,1,0.1,0.098421,0.365191
8,cross_entropy,1,0.15,0.109296,0.422179
9,auc,0,0.05,0.99359,0.641026
9,auc,0,0.075,0.987179,0.647436
9,auc,0,0.1,0.99359,0.653846
9,auc,0,0.15,0.99359,0.615385
9,accuracy,0,0.05,0.9375,0.8125
9,accuracy,0,0.075,0.9375,0.8125
9,accuracy,0,0.1,0.9375,0.8125
9,accuracy,0,0.15,0.90625,0.8125
