batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,0.0,0.0
0,auc,0,0.075,0.0,0.0
0,auc,0,0.1,0.0,0.0
0,auc,0,0.15,0.0,0.0
0,accuracy,0,0.05,0.90625,1.0
0,accuracy,0,0.075,0.90625,1.0
0,accuracy,0,0.1,0.90625,1.0
0,accuracy,0,0.15,0.84375,1.0
0,cross_entropy,0,0.05,0.285803,0.070655
0,cross_entropy,0,0.075,0.340621,0.060018
0,cross_entropy,0,0.1,0.381031,0.053837
0,cross_entropy,0,0.15,0.466143,0.044186
0,auc,1,0.05,0.0,0.0
0,auc,1,0.075,0.0,0.0
0,auc,1,0.1,0.0,0.0
0,auc,1,0.15,0.0,0.0
0,accuracy,1,0.05,1.0,0.96875
0,accuracy,1,0.075,1.0,0.90625
0,accuracy,1,0.1,1.0,0.875
0,accuracy,1,0.15,1.0,0.84375
0,cross_entropy,1,0.05,0.0324,0.350139
0,cross_entropy,1,0.075,0.02821,0.407176
0,cross_entropy,1,0.1,0.026274,0.456761
0,cross_entropy,1,0.15,0.024636,0.536911
1,auc,0,0.05,0.0,0.0
1,auc,0,0.075,0.0,0.0
1,auc,0,0.1,0.0,0.0
1,auc,0,0.15,0.0,0.0
1,accuracy,0,0.05,0.875,1.0
1,accuracy,0,0.075,0.84375,1.0
1,accuracy,0,0.1,0.84375,1.0
1,accuracy,0,0.15,0.78125,1.0
1,cross_entropy,0,0.05,0.381112,0.069906
1,cross_entropy,0,0.075,0.452379,0.059868
1,cross_entropy,0,0.1,0.494926,0.053792
1,cross_entropy,0,0.15,0.585787,0.045403
1,auc,1,0.05,0.0,0.0
1,auc,1,0.075,0.0,0.0
1,auc,1,0.1,0.0,0.0
1,auc,1,0.15,0.0,0.0
1,accuracy,1,0.05,1.0,0.9375
1,accuracy,1,0.075,1.0,0.84375
1,accuracy,1,0.1,1.0,0.84375
1,accuracy,1,0.15,1.0,0.71875
1,cross_entropy,1,0.05,0.044471,0.362039
1,cross_entropy,1,0.075,0.035804,0.42877
1,cross_entropy,1,0.1,0.031945,0.486154
1,cross_entropy,1,0.15,0.027234,0.589631
2,auc,0,0.05,1.0,0.354839
2,auc,0,0.075,1.0,0.387097
2,auc,0,0.1,1.0,0.387097
2,auc,0,0.15,1.0,0.354839
2,accuracy,0,0.05,0.84375,0.96875
2,accuracy,0,0.075,0.75,0.96875
2,accuracy,0,0.1,0.65625,0.96875
2,accuracy,0,0.15,0.5625,0.96875
2,cross_entropy,0,0.05,0.406106,0.158222
