batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,1.0,0.774194
0,auc,0,0.075,1.0,0.709677
0,auc,0,0.1,1.0,0.83871
0,auc,0,0.15,1.0,0.741935
0,accuracy,0,0.05,0.5,0.96875
0,accuracy,0,0.075,0.34375,0.96875
0,accuracy,0,0.1,0.1875,0.96875
0,accuracy,0,0.15,0.0625,0.96875
0,cross_entropy,0,0.05,0.723753,0.13168
0,cross_entropy,0,0.075,0.908962,0.1377
0,cross_entropy,0,0.1,1.048973,0.133374
0,cross_entropy,0,0.15,1.26263,0.138796
0,auc,1,0.05,0.967742,0.870968
0,auc,1,0.075,0.774194,1.0
0,auc,1,0.1,0.677419,1.0
0,auc,1,0.15,0.322581,1.0
0,accuracy,1,0.05,0.96875,0.59375
0,accuracy,1,0.075,0.96875,0.375
0,accuracy,1,0.1,0.96875,0.21875
0,accuracy,1,0.15,0.96875,0.0625
0,cross_entropy,1,0.05,0.116024,0.675191
0,cross_entropy,1,0.075,0.133589,0.846181
0,cross_entropy,1,0.1,0.140728,0.991483
0,cross_entropy,1,0.15,0.158845,1.210771
1,auc,0,0.05,0.966667,0.516667
1,auc,0,0.075,0.966667,0.533333
1,auc,0,0.1,0.966667,0.533333
1,auc,0,0.15,0.983333,0.55
1,accuracy,0,0.05,0.75,0.9375
1,accuracy,0,0.075,0.5625,0.9375
1,accuracy,0,0.1,0.34375,0.9375
1,accuracy,0,0.15,0.21875,0.9375
1,cross_entropy,0,0.05,0.611529,0.235342
1,cross_entropy,0,0.075,0.790353,0.24238
1,cross_entropy,0,0.1,0.945375,0.245204
1,cross_entropy,0,0.15,1.166663,0.260689
1,auc,1,0.05,0.616667,1.0
1,auc,1,0.075,0.516667,1.0
1,auc,1,0.1,0.483333,0.966667
1,auc,1,0.15,0.433333,0.966667
1,accuracy,1,0.05,0.9375,0.59375
1,accuracy,1,0.075,0.9375,0.34375
1,accuracy,1,0.1,0.9375,0.25
1,accuracy,1,0.15,0.9375,0.15625
1,cross_entropy,1,0.05,0.249463,0.697407
1,cross_entropy,1,0.075,0.285017,0.862117
1,cross_entropy,1,0.1,0.307366,1.000006
1,cross_entropy,1,0.15,0.3222,1.195503
2,auc,0,0.05,0.966667,0.65
2,auc,0,0.075,0.966667,0.45
2,auc,0,0.1,0.966667,0.4
2,auc,0,0.15,0.966667,0.366667
2,accuracy,0,0.05,0.71875,0.9375
2,accuracy,0,0.075,0.5,0.9375
2,accuracy,0,0.1,0.375,0.9375
2,accuracy,0,0.15,0.15625,0.9375
2,cross_entropy,0,0.05,0.675742,0.248841
2,cross_entropy,0,0.075,0.861145,0.265733
2,cross_entropy,0,0.1,0.996854,0.278044
2,cross_entropy,0,0.15,1.221649,0.293211
2,auc,1,0.05,0.766667,0.966667
2,auc,1,0.075,0.55,0.966667
2,auc,1,0.1,0.35,0.966667
2,auc,1,0.15,0.183333,0.966667
2,accuracy,1,0.05,0.9375,0.6875
2,accuracy,1,0.075,0.9375,0.34375
2,accuracy,1,0.1,0.9375,0.21875
2,accuracy,1,0.15,0.9375,0.09375
2,cross_entropy,1,0.05,0.248662,0.700111
2,cross_entropy,1,0.075,0.276482,0.872024
2,cross_entropy,1,0.1,0.301839,1.02992
2,cross_entropy,1,0.15,0.322531,1.230296
3,auc,0,0.05,0.0,0.0
3,auc,0,0.075,0.0,0.0
3,auc,0,0.1,0.0,0.0
3,auc,0,0.15,0.0,0.0
3,accuracy,0,0.05,0.59375,1.0
3,accuracy,0,0.075,0.375,1.0
3,accuracy,0,0.1,0.21875,1.0
3,accuracy,0,0.15,0.09375,1.0
3,cross_entropy,0,0.05,0.762699,0.028534
3,cross_entropy,0,0.075,1.002044,0.021977
3,cross_entropy,0,0.1,1.18965,0.018159
3,cross_entropy,0,0.15,1.450331,0.013848
3,auc,1,0.05,0.0,0.0
3,auc,1,0.075,0.0,0.0
3,auc,1,0.1,0.0,0.0
3,auc,1,0.15,0.0,0.0
3,accuracy,1,0.05,1.0,0.5625
3,accuracy,1,0.075,1.0,0.28125
3,accuracy,1,0.1,1.0,0.15625
3,accuracy,1,0.15,1.0,0.0625
3,cross_entropy,1,0.05,0.023504,0.804006
3,cross_entropy,1,0.075,0.017805,1.007694
3,cross_entropy,1,0.1,0.01542,1.181063
3,cross_entropy,1,0.15,0.013467,1.419529
4,auc,0,0.05,1.0,0.683333
4,auc,0,0.075,1.0,0.733333
4,auc,0,0.1,1.0,0.7
4,auc,0,0.15,1.0,0.7
4,accuracy,0,0.05,0.65625,0.9375
4,accuracy,0,0.075,0.46875,0.9375
4,accuracy,0,0.1,0.28125,0.9375
4,accuracy,0,0.15,0.21875,0.9375
4,cross_entropy,0,0.05,0.657803,0.239022
4,cross_entropy,0,0.075,0.822755,0.243696
4,cross_entropy,0,0.1,0.966685,0.253119
4,cross_entropy,0,0.15,1.171763,0.263572
4,auc,1,0.05,0.983333,0.966667
4,auc,1,0.075,0.933333,0.983333
4,auc,1,0.1,0.95,0.983333
4,auc,1,0.15,0.883333,0.983333
4,accuracy,1,0.05,0.9375,0.6875
4,accuracy,1,0.075,0.9375,0.375
4,accuracy,1,0.1,0.9375,0.1875
4,accuracy,1,0.15,0.9375,0.09375
4,cross_entropy,1,0.05,0.162779,0.659596
4,cross_entropy,1,0.075,0.189796,0.808703
4,cross_entropy,1,0.1,0.202796,0.938165
4,cross_entropy,1,0.15,0.24216,1.139527
5,auc,0,0.05,0.0,0.0
5,auc,0,0.075,0.0,0.0
5,auc,0,0.1,0.0,0.0
5,auc,0,0.15,0.0,0.0
5,accuracy,0,0.05,0.65625,1.0
5,accuracy,0,0.075,0.3125,1.0
5,accuracy,0,0.1,0.1875,1.0
5,accuracy,0,0.15,0.0625,1.0
5,cross_entropy,0,0.05,0.759985,0.026496
5,cross_entropy,0,0.075,0.974858,0.020849
5,cross_entropy,0,0.1,1.148971,0.017532
5,cross_entropy,0,0.15,1.390915,0.014034
5,auc,1,0.05,0.0,0.0
5,auc,1,0.075,0.0,0.0
5,auc,1,0.1,0.0,0.0
5,auc,1,0.15,0.0,0.0
5,accuracy,1,0.05,1.0,0.53125
5,accuracy,1,0.075,1.0,0.3125
5,accuracy,1,0.1,1.0,0.125
5,accuracy,1,0.15,1.0,0.03125
5,cross_entropy,1,0.05,0.020982,0.761979
5,cross_entropy,1,0.075,0.016308,0.949514
5,cross_entropy,1,0.1,0.014129,1.097687
5,cross_entropy,1,0.15,0.011731,1.360623
6,auc,0,0.05,1.0,0.7
6,auc,0,0.075,1.0,0.75
6,auc,0,0.1,1.0,0.766667
6,auc,0,0.15,1.0,0.8
6,accuracy,0,0.05,0.65625,0.9375
6,accuracy,0,0.075,0.46875,0.9375
6,accuracy,0,0.1,0.375,0.9375
6,accuracy,0,0.15,0.21875,0.9375
6,cross_entropy,0,0.05,0.685454,0.228137
6,cross_entropy,0,0.075,0.868781,0.228595
6,cross_entropy,0,0.1,0.999653,0.23367
6,cross_entropy,0,0.15,1.208356,0.239837
6,auc,1,0.05,0.933333,0.983333
6,auc,1,0.075,0.816667,0.983333
6,auc,1,0.1,0.783333,0.983333
6,auc,1,0.15,0.8,0.983333
6,accuracy,1,0.05,0.9375,0.59375
6,accuracy,1,0.075,0.9375,0.4375
6,accuracy,1,0.1,0.9375,0.21875
6,accuracy,1,0.15,0.9375,0.15625
6,cross_entropy,1,0.05,0.185597,0.682462
6,cross_entropy,1,0.075,0.208157,0.85894
6,cross_entropy,1,0.1,0.226567,0.99512
6,cross_entropy,1,0.15,0.241986,1.199607
7,auc,0,0.05,0.0,0.0
7,auc,0,0.075,0.0,0.0
7,auc,0,0.1,0.0,0.0
7,auc,0,0.15,0.0,0.0
7,accuracy,0,0.05,0.625,1.0
7,accuracy,0,0.075,0.4375,1.0
7,accuracy,0,0.1,0.25,1.0
7,accuracy,0,0.15,0.1875,1.0
7,cross_entropy,0,0.05,0.645145,0.02352
7,cross_entropy,0,0.075,0.846529,0.018775
7,cross_entropy,0,0.1,1.016953,0.01549
7,cross_entropy,0,0.15,1.248307,0.012603
7,auc,1,0.05,0.0,0.0
7,auc,1,0.075,0.0,0.0
7,auc,1,0.1,0.0,0.0
7,auc,1,0.15,0.0,0.0
7,accuracy,1,0.05,1.0,0.5
7,accuracy,1,0.075,1.0,0.28125
7,accuracy,1,0.1,1.0,0.125
7,accuracy,1,0.15,1.0,0.03125
7,cross_entropy,1,0.05,0.01783,0.694516
7,cross_entropy,1,0.075,0.013845,0.902736
7,cross_entropy,1,0.1,0.011978,1.065421
7,cross_entropy,1,0.15,0.00995,1.305714
8,auc,0,0.05,1.0,1.0
8,auc,0,0.075,1.0,1.0
8,auc,0,0.1,1.0,0.967742
8,auc,0,0.15,1.0,1.0
8,accuracy,0,0.05,0.65625,0.96875
8,accuracy,0,0.075,0.28125,0.96875
8,accuracy,0,0.1,0.1875,0.96875
8,accuracy,0,0.15,0.0625,0.96875
8,cross_entropy,0,0.05,0.771479,0.12356
8,cross_entropy,0,0.075,0.987293,0.119157
8,cross_entropy,0,0.1,1.139259,0.121098
8,cross_entropy,0,0.15,1.327166,0.118588
8,auc,1,0.05,1.0,1.0
8,auc,1,0.075,1.0,1.0
8,auc,1,0.1,1.0,1.0
8,auc,1,0.15,1.0,1.0
8,accuracy,1,0.05,0.96875,0.625
8,accuracy,1,0.075,0.96875,0.3125
8,accuracy,1,0.1,0.96875,0.125
8,accuracy,1,0.15,0.96875,0.09375
8,cross_entropy,1,0.05,0.080599,0.673262
8,cross_entropy,1,0.075,0.094775,0.833057
8,cross_entropy,1,0.1,0.100887,0.976416
8,cross_entropy,1,0.15,0.117426,1.163787
9,auc,0,0.05,0.977012,0.873563
9,auc,0,0.075,0.977012,0.896552
9,auc,0,0.1,0.965517,0.83908
9,auc,0,0.15,0.965517,0.793103
9,accuracy,0,0.05,0.71875,0.90625
9,accuracy,0,0.075,0.59375,0.90625
9,accuracy,0,0.1,0.34375,0.90625
9,accuracy,0,0.15,0.21875,0.90625
9,cross_entropy,0,0.05,0.619126,0.315211
9,cross_entropy,0,0.075,0.786613,0.336557
9,cross_entropy,0,0.1,0.931148,0.349511
9,cross_entropy,0,0.15,1.120291,0.368303
9,auc,1,0.05,0.988506,0.954023
9,auc,1,0.075,0.896552,0.965517
9,auc,1,0.1,0.850575,0.965517
9,auc,1,0.15,0.850575,0.942529
9,accuracy,1,0.05,0.90625,0.65625
9,accuracy,1,0.075,0.90625,0.4375
9,accuracy,1,0.1,0.90625,0.28125
9,accuracy,1,0.15,0.90625,0.15625
9,cross_entropy,1,0.05,0.271646,0.611491
9,cross_entropy,1,0.075,0.330523,0.762871
9,cross_entropy,1,0.1,0.352614,0.894259
9,cross_entropy,1,0.15,0.372694,1.092142
10,auc,0,0.05,0.988506,0.862069
10,auc,0,0.075,0.965517,0.850575
10,auc,0,0.1,0.965517,0.850575
10,auc,0,0.15,0.965517,0.873563
10,accuracy,0,0.05,0.59375,0.90625
10,accuracy,0,0.075,0.46875,0.90625
10,accuracy,0,0.1,0.28125,0.90625
10,accuracy,0,0.15,0.15625,0.90625
10,cross_entropy,0,0.05,0.672764,0.329994
10,cross_entropy,0,0.075,0.846439,0.339034
10,cross_entropy,0,0.1,0.998413,0.347614
10,cross_entropy,0,0.15,1.233156,0.358059
10,auc,1,0.05,0.931035,1.0
10,auc,1,0.075,0.908046,1.0
10,auc,1,0.1,0.850575,0.977012
10,auc,1,0.15,0.804598,0.977012
10,accuracy,1,0.05,0.90625,0.65625
10,accuracy,1,0.075,0.90625,0.46875
10,accuracy,1,0.1,0.90625,0.3125
10,accuracy,1,0.15,0.90625,0.125
10,cross_entropy,1,0.05,0.258637,0.6313
10,cross_entropy,1,0.075,0.299049,0.80872
10,cross_entropy,1,0.1,0.316781,0.947389
10,cross_entropy,1,0.15,0.335575,1.150859
11,auc,0,0.05,0.0,0.0
