batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,0.0,0.0
0,auc,0,0.075,0.0,0.0
0,auc,0,0.1,0.0,0.0
0,auc,0,0.15,0.0,0.0
0,accuracy,0,0.05,1.0,0.9375
0,accuracy,0,0.075,0.96875,0.9375
0,accuracy,0,0.1,0.96875,0.9375
0,accuracy,0,0.15,0.9375,0.90625
0,cross_entropy,0,0.05,0.079542,0.212798
0,cross_entropy,0,0.075,0.085947,0.222923
0,cross_entropy,0,0.1,0.111306,0.224077
0,cross_entropy,0,0.15,0.130977,0.20673
0,auc,1,0.05,0.0,0.0
0,auc,1,0.075,0.0,0.0
0,auc,1,0.1,0.0,0.0
0,auc,1,0.15,0.0,0.0
0,accuracy,1,0.05,1.0,0.96875
0,accuracy,1,0.075,0.96875,0.96875
0,accuracy,1,0.1,0.96875,0.96875
0,accuracy,1,0.15,0.96875,0.90625
0,cross_entropy,1,0.05,0.118141,0.190884
0,cross_entropy,1,0.075,0.118706,0.202793
0,cross_entropy,1,0.1,0.119141,0.208747
0,cross_entropy,1,0.15,0.118651,0.210836
1,auc,0,0.05,1.0,0.741935
1,auc,0,0.075,1.0,0.806452
1,auc,0,0.1,1.0,1.0
1,auc,0,0.15,1.0,1.0
1,accuracy,0,0.05,1.0,0.96875
1,accuracy,0,0.075,1.0,0.96875
1,accuracy,0,0.1,1.0,1.0
1,accuracy,0,0.15,1.0,1.0
1,cross_entropy,0,0.05,0.062383,0.178119
1,cross_entropy,0,0.075,0.068416,0.177293
1,cross_entropy,0,0.1,0.076709,0.154062
1,cross_entropy,0,0.15,0.093614,0.128332
1,auc,1,0.05,1.0,0.580645
1,auc,1,0.075,1.0,0.451613
1,auc,1,0.1,1.0,0.806452
1,auc,1,0.15,1.0,1.0
1,accuracy,1,0.05,1.0,0.96875
1,accuracy,1,0.075,1.0,0.96875
1,accuracy,1,0.1,1.0,0.96875
1,accuracy,1,0.15,1.0,0.96875
1,cross_entropy,1,0.05,0.071493,0.201295
1,cross_entropy,1,0.075,0.079889,0.214512
1,cross_entropy,1,0.1,0.079618,0.172967
1,cross_entropy,1,0.15,0.085543,0.149639
2,auc,0,0.05,0.0,0.0
2,auc,0,0.075,0.0,0.0
2,auc,0,0.1,0.0,0.0
2,auc,0,0.15,0.0,0.0
2,accuracy,0,0.05,0.96875,0.9375
2,accuracy,0,0.075,0.96875,0.875
2,accuracy,0,0.1,0.96875,0.875
2,accuracy,0,0.15,0.90625,0.96875
2,cross_entropy,0,0.05,0.135251,0.276874
