batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,0.0,0.0
0,auc,0,0.075,0.0,0.0
0,auc,0,0.1,0.0,0.0
0,auc,0,0.15,0.0,0.0
0,accuracy,0,0.05,0.96875,0.875
0,accuracy,0,0.075,0.96875,0.875
0,accuracy,0,0.1,0.9375,0.875
0,accuracy,0,0.15,0.96875,0.8125
0,cross_entropy,0,0.05,0.197804,0.282366
0,cross_entropy,0,0.075,0.204386,0.322047
0,cross_entropy,0,0.1,0.197047,0.321235
0,cross_entropy,0,0.15,0.193068,0.313798
0,auc,1,0.05,0.0,0.0
0,auc,1,0.075,0.0,0.0
0,auc,1,0.1,0.0,0.0
0,auc,1,0.15,0.0,0.0
0,accuracy,1,0.05,0.9375,0.8125
0,accuracy,1,0.075,0.9375,0.78125
0,accuracy,1,0.1,0.96875,0.78125
0,accuracy,1,0.15,0.9375,0.84375
0,cross_entropy,1,0.05,0.214654,0.352604
0,cross_entropy,1,0.075,0.196652,0.358331
0,cross_entropy,1,0.1,0.203026,0.35282
0,cross_entropy,1,0.15,0.199965,0.312198
1,auc,0,0.05,0.0,0.0
1,auc,0,0.075,0.0,0.0
1,auc,0,0.1,0.0,0.0
1,auc,0,0.15,0.0,0.0
1,accuracy,0,0.05,0.9375,0.96875
1,accuracy,0,0.075,0.96875,0.96875
1,accuracy,0,0.1,0.96875,0.9375
1,accuracy,0,0.15,0.9375,0.90625
1,cross_entropy,0,0.05,0.139741,0.253523
1,cross_entropy,0,0.075,0.164782,0.238284
1,cross_entropy,0,0.1,0.17904,0.256947
1,cross_entropy,0,0.15,0.183102,0.261493
1,auc,1,0.05,0.0,0.0
1,auc,1,0.075,0.0,0.0
1,auc,1,0.1,0.0,0.0
1,auc,1,0.15,0.0,0.0
1,accuracy,1,0.05,0.9375,0.84375
1,accuracy,1,0.075,0.9375,0.9375
1,accuracy,1,0.1,0.9375,0.90625
1,accuracy,1,0.15,0.9375,0.9375
1,cross_entropy,1,0.05,0.151175,0.295945
1,cross_entropy,1,0.075,0.16318,0.284727
1,cross_entropy,1,0.1,0.175936,0.266536
1,cross_entropy,1,0.15,0.199566,0.238704
2,auc,0,0.05,0.16129,1.0
2,auc,0,0.075,0.193548,1.0
2,auc,0,0.1,0.225806,1.0
2,auc,0,0.15,0.387097,1.0
2,accuracy,0,0.05,0.9375,0.90625
2,accuracy,0,0.075,0.90625,0.90625
2,accuracy,0,0.1,0.9375,0.90625
2,accuracy,0,0.15,0.9375,0.90625
