batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,1.0,0.35
0,auc,0,0.075,1.0,0.366667
0,auc,0,0.1,1.0,0.433333
0,auc,0,0.15,1.0,0.416667
0,accuracy,0,0.05,0.75,0.9375
0,accuracy,0,0.075,0.71875,0.9375
0,accuracy,0,0.1,0.6875,0.9375
0,accuracy,0,0.15,0.53125,0.9375
0,cross_entropy,0,0.05,0.414417,0.317229
0,cross_entropy,0,0.075,0.521872,0.322449
0,cross_entropy,0,0.1,0.613088,0.32237
0,cross_entropy,0,0.15,0.75397,0.29585
0,auc,1,0.05,0.416667,1.0
0,auc,1,0.075,0.4,1.0
0,auc,1,0.1,0.416667,1.0
0,auc,1,0.15,0.366667,1.0
0,accuracy,1,0.05,0.9375,0.78125
0,accuracy,1,0.075,0.9375,0.65625
0,accuracy,1,0.1,0.9375,0.625
0,accuracy,1,0.15,0.9375,0.5625
0,cross_entropy,1,0.05,0.435197,0.461505
0,cross_entropy,1,0.075,0.442606,0.519495
0,cross_entropy,1,0.1,0.435585,0.592103
0,cross_entropy,1,0.15,0.446202,0.685731
1,auc,0,0.05,0.0,0.0
1,auc,0,0.075,0.0,0.0
1,auc,0,0.1,0.0,0.0
1,auc,0,0.15,0.0,0.0
1,accuracy,0,0.05,0.625,0.96875
1,accuracy,0,0.075,0.625,0.96875
1,accuracy,0,0.1,0.59375,1.0
1,accuracy,0,0.15,0.46875,1.0
1,cross_entropy,0,0.05,0.614238,0.12362
1,cross_entropy,0,0.075,0.720751,0.103502
1,cross_entropy,0,0.1,0.814781,0.081176
1,cross_entropy,0,0.15,0.976441,0.058546
1,auc,1,0.05,0.0,0.0
1,auc,1,0.075,0.0,0.0
1,auc,1,0.1,0.0,0.0
1,auc,1,0.15,0.0,0.0
1,accuracy,1,0.05,1.0,0.65625
1,accuracy,1,0.075,1.0,0.5
1,accuracy,1,0.1,1.0,0.46875
1,accuracy,1,0.15,1.0,0.40625
1,cross_entropy,1,0.05,0.014656,0.699593
1,cross_entropy,1,0.075,0.011751,0.816014
1,cross_entropy,1,0.1,0.010553,0.887689
1,cross_entropy,1,0.15,0.009369,1.04316
2,auc,0,0.05,1.0,0.677419
2,auc,0,0.075,0.967742,0.677419
2,auc,0,0.1,0.967742,0.677419
2,auc,0,0.15,0.967742,0.774194
2,accuracy,0,0.05,0.78125,0.96875
2,accuracy,0,0.075,0.6875,0.96875
2,accuracy,0,0.1,0.625,0.96875
2,accuracy,0,0.15,0.53125,0.96875
2,cross_entropy,0,0.05,0.474505,0.164282
2,cross_entropy,0,0.075,0.631421,0.142614
2,cross_entropy,0,0.1,0.791331,0.13586
2,cross_entropy,0,0.15,0.961774,0.129631
2,auc,1,0.05,1.0,0.935484
2,auc,1,0.075,1.0,0.967742
2,auc,1,0.1,0.967742,0.967742
2,auc,1,0.15,0.967742,0.967742
2,accuracy,1,0.05,0.96875,0.59375
2,accuracy,1,0.075,0.96875,0.59375
2,accuracy,1,0.1,0.96875,0.5625
2,accuracy,1,0.15,0.96875,0.5625
2,cross_entropy,1,0.05,0.065702,0.736228
2,cross_entropy,1,0.075,0.080408,0.851909
2,cross_entropy,1,0.1,0.087091,0.941771
2,cross_entropy,1,0.15,0.095248,1.02698
3,auc,0,0.05,0.965517,0.62069
3,auc,0,0.075,0.931035,0.62069
3,auc,0,0.1,0.91954,0.666667
3,auc,0,0.15,0.908046,0.666667
3,accuracy,0,0.05,0.65625,0.90625
3,accuracy,0,0.075,0.625,0.90625
3,accuracy,0,0.1,0.53125,0.90625
3,accuracy,0,0.15,0.53125,0.90625
3,cross_entropy,0,0.05,0.589388,0.324156
3,cross_entropy,0,0.075,0.736435,0.312844
3,cross_entropy,0,0.1,0.865617,0.309441
3,cross_entropy,0,0.15,0.993973,0.329246
3,auc,1,0.05,0.597701,1.0
