batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,0.883333,1.0
0,auc,0,0.075,0.866667,1.0
0,auc,0,0.1,0.833333,1.0
0,auc,0,0.15,0.783333,1.0
0,accuracy,0,0.05,0.96875,1.0
0,accuracy,0,0.075,0.9375,1.0
0,accuracy,0,0.1,0.90625,1.0
0,accuracy,0,0.15,0.875,1.0
0,cross_entropy,0,0.05,0.242974,0.072014
0,cross_entropy,0,0.075,0.273928,0.058466
0,cross_entropy,0,0.1,0.310178,0.04957
0,cross_entropy,0,0.15,0.357428,0.041333
0,auc,1,0.05,0.966667,1.0
0,auc,1,0.075,0.966667,1.0
0,auc,1,0.1,0.9,1.0
0,auc,1,0.15,0.866667,1.0
0,accuracy,1,0.05,0.9375,0.96875
0,accuracy,1,0.075,0.9375,1.0
0,accuracy,1,0.1,0.90625,1.0
0,accuracy,1,0.15,0.90625,1.0
0,cross_entropy,1,0.05,0.204899,0.123743
0,cross_entropy,1,0.075,0.241836,0.092213
0,cross_entropy,1,0.1,0.288026,0.070089
0,cross_entropy,1,0.15,0.302866,0.055526
1,auc,0,0.05,0.666667,1.0
1,auc,0,0.075,0.433333,1.0
1,auc,0,0.1,0.55,0.983333
1,auc,0,0.15,0.516667,1.0
1,accuracy,0,0.05,0.875,0.9375
1,accuracy,0,0.075,0.90625,0.9375
1,accuracy,0,0.1,0.875,0.96875
1,accuracy,0,0.15,0.90625,0.96875
1,cross_entropy,0,0.05,0.391225,0.178229
1,cross_entropy,0,0.075,0.429563,0.160016
1,cross_entropy,0,0.1,0.431515,0.162211
1,cross_entropy,0,0.15,0.42754,0.136379
1,auc,1,0.05,0.5,1.0
1,auc,1,0.075,0.533333,1.0
1,auc,1,0.1,0.6,1.0
1,auc,1,0.15,0.566667,0.983333
1,accuracy,1,0.05,0.875,0.9375
1,accuracy,1,0.075,0.84375,0.9375
1,accuracy,1,0.1,0.84375,0.96875
1,accuracy,1,0.15,0.84375,0.96875
1,cross_entropy,1,0.05,0.388299,0.218296
1,cross_entropy,1,0.075,0.385142,0.168881
1,cross_entropy,1,0.1,0.392236,0.148375
1,cross_entropy,1,0.15,0.384803,0.135942
2,auc,0,0.05,0.612903,0.967742
2,auc,0,0.075,0.677419,0.935484
2,auc,0,0.1,0.645161,0.967742
2,auc,0,0.15,0.645161,0.967742
2,accuracy,0,0.05,0.84375,0.96875
2,accuracy,0,0.075,0.84375,0.90625
2,accuracy,0,0.1,0.78125,0.96875
2,accuracy,0,0.15,0.78125,0.96875
2,cross_entropy,0,0.05,0.377039,0.129303
2,cross_entropy,0,0.075,0.370469,0.138173
2,cross_entropy,0,0.1,0.383006,0.114444
2,cross_entropy,0,0.15,0.400593,0.104726
2,auc,1,0.05,0.387097,0.967742
2,auc,1,0.075,0.451613,1.0
2,auc,1,0.1,0.387097,1.0
2,auc,1,0.15,0.483871,1.0
2,accuracy,1,0.05,0.84375,0.9375
2,accuracy,1,0.075,0.84375,0.96875
2,accuracy,1,0.1,0.875,0.9375
2,accuracy,1,0.15,0.8125,1.0
2,cross_entropy,1,0.05,0.343701,0.154977
2,cross_entropy,1,0.075,0.3462,0.127355
2,cross_entropy,1,0.1,0.383124,0.105491
2,cross_entropy,1,0.15,0.396545,0.092517
3,auc,0,0.05,0.129032,1.0
3,auc,0,0.075,0.096774,1.0
3,auc,0,0.1,0.0,1.0
3,auc,0,0.15,0.032258,1.0
3,accuracy,0,0.05,0.875,0.96875
3,accuracy,0,0.075,0.90625,0.96875
3,accuracy,0,0.1,0.90625,1.0
3,accuracy,0,0.15,0.875,1.0
3,cross_entropy,0,0.05,0.308206,0.113617
3,cross_entropy,0,0.075,0.303488,0.116598
3,cross_entropy,0,0.1,0.366651,0.098442
3,cross_entropy,0,0.15,0.356736,0.086467
3,auc,1,0.05,0.0,1.0
3,auc,1,0.075,0.0,1.0
3,auc,1,0.1,0.0,1.0
3,auc,1,0.15,0.0,1.0
3,accuracy,1,0.05,0.9375,1.0
3,accuracy,1,0.075,0.90625,1.0
3,accuracy,1,0.1,0.90625,1.0
3,accuracy,1,0.15,0.90625,1.0
3,cross_entropy,1,0.05,0.280002,0.143466
3,cross_entropy,1,0.075,0.312014,0.103044
3,cross_entropy,1,0.1,0.333805,0.088724
3,cross_entropy,1,0.15,0.348022,0.080725
4,auc,0,0.05,0.0,0.0
4,auc,0,0.075,0.0,0.0
4,auc,0,0.1,0.0,0.0
4,auc,0,0.15,0.0,0.0
4,accuracy,0,0.05,0.875,1.0
4,accuracy,0,0.075,0.90625,1.0
4,accuracy,0,0.1,0.90625,1.0
4,accuracy,0,0.15,0.875,1.0
4,cross_entropy,0,0.05,0.287626,0.074356
4,cross_entropy,0,0.075,0.280325,0.066987
4,cross_entropy,0,0.1,0.290183,0.057351
4,cross_entropy,0,0.15,0.319765,0.048236
4,auc,1,0.05,0.0,0.0
4,auc,1,0.075,0.0,0.0
4,auc,1,0.1,0.0,0.0
4,auc,1,0.15,0.0,0.0
4,accuracy,1,0.05,0.90625,1.0
4,accuracy,1,0.075,0.84375,1.0
4,accuracy,1,0.1,0.84375,1.0
4,accuracy,1,0.15,0.8125,1.0
4,cross_entropy,1,0.05,0.264231,0.105446
4,cross_entropy,1,0.075,0.288354,0.0843
4,cross_entropy,1,0.1,0.307216,0.068645
4,cross_entropy,1,0.15,0.352259,0.053409
5,auc,0,0.05,0.064516,1.0
5,auc,0,0.075,0.096774,1.0
5,auc,0,0.1,0.16129,1.0
5,auc,0,0.15,0.193548,1.0
5,accuracy,0,0.05,0.84375,0.9375
5,accuracy,0,0.075,0.8125,0.96875
5,accuracy,0,0.1,0.78125,0.96875
5,accuracy,0,0.15,0.8125,0.96875
5,cross_entropy,0,0.05,0.449063,0.165259
5,cross_entropy,0,0.075,0.453509,0.162789
5,cross_entropy,0,0.1,0.455296,0.130489
5,cross_entropy,0,0.15,0.440977,0.128616
5,auc,1,0.05,0.483871,1.0
5,auc,1,0.075,0.483871,1.0
5,auc,1,0.1,0.419355,1.0
5,auc,1,0.15,0.451613,1.0
5,accuracy,1,0.05,0.875,0.9375
5,accuracy,1,0.075,0.84375,0.9375
5,accuracy,1,0.1,0.78125,0.96875
5,accuracy,1,0.15,0.8125,0.96875
5,cross_entropy,1,0.05,0.341091,0.228543
5,cross_entropy,1,0.075,0.382855,0.196495
5,cross_entropy,1,0.1,0.416708,0.169887
5,cross_entropy,1,0.15,0.435291,0.131544
6,auc,0,0.05,0.7,0.933333
6,auc,0,0.075,0.683333,0.966667
6,auc,0,0.1,0.633333,0.95
6,auc,0,0.15,0.6,0.983333
6,accuracy,0,0.05,0.90625,0.9375
6,accuracy,0,0.075,0.875,0.9375
6,accuracy,0,0.1,0.84375,0.9375
6,accuracy,0,0.15,0.84375,0.96875
6,cross_entropy,0,0.05,0.30192,0.161066
6,cross_entropy,0,0.075,0.334585,0.136532
6,cross_entropy,0,0.1,0.356137,0.13544
6,cross_entropy,0,0.15,0.363337,0.107802
6,auc,1,0.05,0.8,0.95
6,auc,1,0.075,0.683333,0.966667
6,auc,1,0.1,0.7,0.95
6,auc,1,0.15,0.683333,0.966667
6,accuracy,1,0.05,0.875,0.90625
6,accuracy,1,0.075,0.84375,0.90625
6,accuracy,1,0.1,0.8125,0.96875
6,accuracy,1,0.15,0.84375,0.96875
6,cross_entropy,1,0.05,0.254973,0.200653
6,cross_entropy,1,0.075,0.313358,0.156911
6,cross_entropy,1,0.1,0.338463,0.141283
6,cross_entropy,1,0.15,0.361796,0.121946
7,auc,0,0.05,0.827586,0.91954
7,auc,0,0.075,0.758621,0.942529
7,auc,0,0.1,0.712644,0.965517
7,auc,0,0.15,0.701149,1.0
7,accuracy,0,0.05,0.8125,0.9375
7,accuracy,0,0.075,0.8125,0.9375
7,accuracy,0,0.1,0.78125,0.9375
7,accuracy,0,0.15,0.8125,0.96875
7,cross_entropy,0,0.05,0.359025,0.199265
7,cross_entropy,0,0.075,0.374401,0.165468
7,cross_entropy,0,0.1,0.39579,0.150954
7,cross_entropy,0,0.15,0.414477,0.125142
7,auc,1,0.05,0.712644,0.977012
7,auc,1,0.075,0.701149,0.942529
7,auc,1,0.1,0.724138,0.965517
7,auc,1,0.15,0.689655,1.0
7,accuracy,1,0.05,0.8125,0.9375
7,accuracy,1,0.075,0.8125,0.9375
7,accuracy,1,0.1,0.8125,0.9375
7,accuracy,1,0.15,0.84375,0.96875
7,cross_entropy,1,0.05,0.346821,0.19335
7,cross_entropy,1,0.075,0.360536,0.184043
7,cross_entropy,1,0.1,0.372494,0.170445
7,cross_entropy,1,0.15,0.397117,0.129636
8,auc,0,0.05,0.55,1.0
8,auc,0,0.075,0.583333,1.0
8,auc,0,0.1,0.616667,1.0
8,auc,0,0.15,0.533333,1.0
8,accuracy,0,0.05,0.84375,1.0
8,accuracy,0,0.075,0.84375,1.0
8,accuracy,0,0.1,0.84375,1.0
8,accuracy,0,0.15,0.84375,1.0
8,cross_entropy,0,0.05,0.350583,0.076255
8,cross_entropy,0,0.075,0.368462,0.083036
8,cross_entropy,0,0.1,0.372226,0.08189
8,cross_entropy,0,0.15,0.401336,0.068075
8,auc,1,0.05,0.6,0.983333
8,auc,1,0.075,0.65,0.983333
8,auc,1,0.1,0.616667,0.983333
8,auc,1,0.15,0.55,1.0
8,accuracy,1,0.05,0.875,0.96875
