batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,0.0,0.0
0,auc,0,0.075,0.0,0.0
0,auc,0,0.1,0.0,0.0
0,auc,0,0.15,0.0,0.0
0,accuracy,0,0.05,0.96875,0.8125
0,accuracy,0,0.075,0.96875,0.875
0,accuracy,0,0.1,0.96875,0.90625
0,accuracy,0,0.15,0.96875,0.875
0,cross_entropy,0,0.05,0.160467,0.356442
0,cross_entropy,0,0.075,0.169993,0.355267
0,cross_entropy,0,0.1,0.16944,0.351058
0,cross_entropy,0,0.15,0.184808,0.345494
0,auc,1,0.05,0.0,0.0
0,auc,1,0.075,0.0,0.0
0,auc,1,0.1,0.0,0.0
0,auc,1,0.15,0.0,0.0
0,accuracy,1,0.05,0.9375,0.90625
0,accuracy,1,0.075,0.9375,0.90625
0,accuracy,1,0.1,0.96875,0.90625
0,accuracy,1,0.15,0.96875,0.96875
0,cross_entropy,1,0.05,0.171758,0.394782
0,cross_entropy,1,0.075,0.1968,0.330432
0,cross_entropy,1,0.1,0.194032,0.315827
0,cross_entropy,1,0.15,0.229447,0.263018
1,auc,0,0.05,0.0,0.0
1,auc,0,0.075,0.0,0.0
1,auc,0,0.1,0.0,0.0
1,auc,0,0.15,0.0,0.0
1,accuracy,0,0.05,1.0,0.8125
1,accuracy,0,0.075,1.0,0.84375
1,accuracy,0,0.1,1.0,0.84375
1,accuracy,0,0.15,0.96875,0.875
1,cross_entropy,0,0.05,0.116993,0.387442
1,cross_entropy,0,0.075,0.11923,0.384626
1,cross_entropy,0,0.1,0.113852,0.379252
1,cross_entropy,0,0.15,0.157651,0.331883
1,auc,1,0.05,0.0,0.0
1,auc,1,0.075,0.0,0.0
1,auc,1,0.1,0.0,0.0
1,auc,1,0.15,0.0,0.0
1,accuracy,1,0.05,1.0,0.8125
1,accuracy,1,0.075,1.0,0.84375
1,accuracy,1,0.1,1.0,0.84375
1,accuracy,1,0.15,1.0,0.875
1,cross_entropy,1,0.05,0.111748,0.36865
1,cross_entropy,1,0.075,0.133836,0.355818
1,cross_entropy,1,0.1,0.142502,0.340493
1,cross_entropy,1,0.15,0.194277,0.263187
2,auc,0,0.05,0.0,0.0
2,auc,0,0.075,0.0,0.0
2,auc,0,0.1,0.0,0.0
2,auc,0,0.15,0.0,0.0
2,accuracy,0,0.05,1.0,0.9375
2,accuracy,0,0.075,1.0,0.9375
2,accuracy,0,0.1,1.0,0.9375
2,accuracy,0,0.15,0.96875,1.0
2,cross_entropy,0,0.05,0.113387,0.302539
