batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,0.0,0.0
0,auc,0,0.075,0.0,0.0
0,auc,0,0.1,0.0,0.0
0,auc,0,0.15,0.0,0.0
0,accuracy,0,0.05,1.0,0.96875
0,accuracy,0,0.075,1.0,0.96875
0,accuracy,0,0.1,1.0,0.96875
0,accuracy,0,0.15,1.0,1.0
0,cross_entropy,0,0.05,0.090159,0.228549
0,cross_entropy,0,0.075,0.096159,0.231744
0,cross_entropy,0,0.1,0.100521,0.223266
0,cross_entropy,0,0.15,0.108516,0.190009
0,auc,1,0.05,0.0,0.0
0,auc,1,0.075,0.0,0.0
0,auc,1,0.1,0.0,0.0
0,auc,1,0.15,0.0,0.0
0,accuracy,1,0.05,1.0,0.9375
0,accuracy,1,0.075,1.0,0.96875
0,accuracy,1,0.1,1.0,0.96875
0,accuracy,1,0.15,1.0,0.96875
0,cross_entropy,1,0.05,0.083951,0.250051
0,cross_entropy,1,0.075,0.08577,0.242965
0,cross_entropy,1,0.1,0.090747,0.244239
0,cross_entropy,1,0.15,0.10034,0.23629
1,auc,0,0.05,0.0,0.0
1,auc,0,0.075,0.0,0.0
1,auc,0,0.1,0.0,0.0
1,auc,0,0.15,0.0,0.0
1,accuracy,0,0.05,1.0,0.96875
1,accuracy,0,0.075,1.0,0.90625
1,accuracy,0,0.1,0.96875,0.90625
1,accuracy,0,0.15,0.9375,0.90625
1,cross_entropy,0,0.05,0.101443,0.240441
1,cross_entropy,0,0.075,0.096546,0.262074
1,cross_entropy,0,0.1,0.110439,0.265023
1,cross_entropy,0,0.15,0.147994,0.265806
1,auc,1,0.05,0.0,0.0
1,auc,1,0.075,0.0,0.0
1,auc,1,0.1,0.0,0.0
1,auc,1,0.15,0.0,0.0
1,accuracy,1,0.05,0.9375,0.96875
1,accuracy,1,0.075,0.9375,0.96875
1,accuracy,1,0.1,0.9375,0.96875
1,accuracy,1,0.15,0.9375,0.96875
1,cross_entropy,1,0.05,0.144654,0.185326
1,cross_entropy,1,0.075,0.152963,0.194346
1,cross_entropy,1,0.1,0.16473,0.202288
1,cross_entropy,1,0.15,0.182444,0.215229
2,auc,0,0.05,1.0,0.709677
2,auc,0,0.075,1.0,0.677419
2,auc,0,0.1,1.0,0.677419
2,auc,0,0.15,1.0,0.612903
2,accuracy,0,0.05,1.0,0.875
2,accuracy,0,0.075,1.0,0.90625
2,accuracy,0,0.1,1.0,0.90625
2,accuracy,0,0.15,0.96875,0.90625
2,cross_entropy,0,0.05,0.099345,0.283014
