batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,0.0,0.0
0,auc,0,0.075,0.0,0.0
0,auc,0,0.1,0.0,0.0
0,auc,0,0.15,0.0,0.0
0,accuracy,0,0.05,0.875,0.875
0,accuracy,0,0.075,0.875,0.875
0,accuracy,0,0.1,0.90625,0.90625
0,accuracy,0,0.15,0.875,0.90625
0,cross_entropy,0,0.05,0.266387,0.270966
0,cross_entropy,0,0.075,0.282232,0.255464
0,cross_entropy,0,0.1,0.298469,0.230554
0,cross_entropy,0,0.15,0.339699,0.21199
0,auc,1,0.05,0.0,0.0
0,auc,1,0.075,0.0,0.0
0,auc,1,0.1,0.0,0.0
0,auc,1,0.15,0.0,0.0
0,accuracy,1,0.05,0.84375,1.0
0,accuracy,1,0.075,0.8125,0.96875
0,accuracy,1,0.1,0.75,0.96875
0,accuracy,1,0.15,0.78125,0.96875
0,cross_entropy,1,0.05,0.329908,0.195623
0,cross_entropy,1,0.075,0.365487,0.202027
0,cross_entropy,1,0.1,0.394408,0.187552
0,cross_entropy,1,0.15,0.44869,0.157472
1,auc,0,0.05,0.806452,1.0
1,auc,0,0.075,0.967742,1.0
1,auc,0,0.1,1.0,1.0
1,auc,0,0.15,1.0,1.0
1,accuracy,0,0.05,0.84375,1.0
1,accuracy,0,0.075,0.84375,1.0
1,accuracy,0,0.1,0.84375,1.0
1,accuracy,0,0.15,0.8125,1.0
1,cross_entropy,0,0.05,0.306586,0.183636
1,cross_entropy,0,0.075,0.309306,0.170762
1,cross_entropy,0,0.1,0.309394,0.157551
1,cross_entropy,0,0.15,0.330885,0.148108
1,auc,1,0.05,0.709677,1.0
1,auc,1,0.075,0.709677,1.0
1,auc,1,0.1,0.935484,1.0
1,auc,1,0.15,0.967742,1.0
1,accuracy,1,0.05,0.84375,1.0
1,accuracy,1,0.075,0.75,1.0
1,accuracy,1,0.1,0.78125,1.0
1,accuracy,1,0.15,0.78125,1.0
1,cross_entropy,1,0.05,0.402863,0.151939
1,cross_entropy,1,0.075,0.438193,0.13866
1,cross_entropy,1,0.1,0.420458,0.132808
1,cross_entropy,1,0.15,0.435876,0.116663
2,auc,0,0.05,0.766667,0.983333
2,auc,0,0.075,0.883333,0.983333
2,auc,0,0.1,0.816667,0.983333
2,auc,0,0.15,0.733333,0.983333
2,accuracy,0,0.05,0.8125,0.9375
2,accuracy,0,0.075,0.84375,0.90625
2,accuracy,0,0.1,0.8125,0.9375
2,accuracy,0,0.15,0.78125,0.9375
