batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,0.0,0.0
0,auc,0,0.075,0.0,0.0
0,auc,0,0.1,0.0,0.0
0,auc,0,0.15,0.0,0.0
0,accuracy,0,0.05,1.0,0.96875
0,accuracy,0,0.075,1.0,0.96875
0,accuracy,0,0.1,1.0,0.96875
0,accuracy,0,0.15,1.0,0.96875
0,cross_entropy,0,0.05,0.191747,0.162963
0,cross_entropy,0,0.075,0.199976,0.164487
0,cross_entropy,0,0.1,0.20228,0.154318
0,cross_entropy,0,0.15,0.205815,0.142717
0,auc,1,0.05,0.0,0.0
0,auc,1,0.075,0.0,0.0
0,auc,1,0.1,0.0,0.0
0,auc,1,0.15,0.0,0.0
0,accuracy,1,0.05,0.875,1.0
0,accuracy,1,0.075,0.9375,1.0
0,accuracy,1,0.1,1.0,1.0
0,accuracy,1,0.15,1.0,1.0
0,cross_entropy,1,0.05,0.241684,0.129057
0,cross_entropy,1,0.075,0.249971,0.122142
0,cross_entropy,1,0.1,0.241509,0.124391
0,cross_entropy,1,0.15,0.232557,0.115487
1,auc,0,0.05,0.632184,0.954023
1,auc,0,0.075,0.655172,0.977012
1,auc,0,0.1,0.643678,0.977012
1,auc,0,0.15,0.62069,0.954023
1,accuracy,0,0.05,0.8125,0.9375
1,accuracy,0,0.075,0.84375,0.9375
1,accuracy,0,0.1,0.84375,0.90625
1,accuracy,0,0.15,0.84375,0.9375
1,cross_entropy,0,0.05,0.438723,0.229487
1,cross_entropy,0,0.075,0.422399,0.225346
1,cross_entropy,0,0.1,0.424559,0.21874
1,cross_entropy,0,0.15,0.419743,0.225456
1,auc,1,0.05,0.54023,0.954023
1,auc,1,0.075,0.505747,0.954023
1,auc,1,0.1,0.402299,0.954023
1,auc,1,0.15,0.597701,0.942529
1,accuracy,1,0.05,0.78125,0.90625
1,accuracy,1,0.075,0.78125,0.90625
1,accuracy,1,0.1,0.75,0.90625
1,accuracy,1,0.15,0.78125,0.90625
1,cross_entropy,1,0.05,0.479718,0.20331
1,cross_entropy,1,0.075,0.495098,0.192162
1,cross_entropy,1,0.1,0.50839,0.187046
1,cross_entropy,1,0.15,0.445295,0.19431
2,auc,0,0.05,0.712644,0.965517
2,auc,0,0.075,0.724138,0.977012
2,auc,0,0.1,0.655172,1.0
2,auc,0,0.15,0.643678,1.0
2,accuracy,0,0.05,0.875,0.90625
2,accuracy,0,0.075,0.8125,0.96875
2,accuracy,0,0.1,0.84375,0.96875
2,accuracy,0,0.15,0.8125,1.0
