batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,0.983333,0.85
0,auc,0,0.075,0.983333,0.816667
0,auc,0,0.1,0.966667,0.883333
0,auc,0,0.15,0.966667,0.9
0,accuracy,0,0.05,0.9375,0.90625
0,accuracy,0,0.075,0.9375,0.90625
0,accuracy,0,0.1,0.9375,0.90625
0,accuracy,0,0.15,0.9375,0.9375
0,cross_entropy,0,0.05,0.19494,0.227096
0,cross_entropy,0,0.075,0.246815,0.220695
0,cross_entropy,0,0.1,0.289833,0.205471
0,cross_entropy,0,0.15,0.370687,0.187072
0,auc,1,0.05,0.983333,0.85
0,auc,1,0.075,0.983333,0.9
0,auc,1,0.1,0.966667,0.95
0,auc,1,0.15,0.933333,0.966667
0,accuracy,1,0.05,0.9375,0.84375
0,accuracy,1,0.075,0.9375,0.84375
0,accuracy,1,0.1,0.9375,0.875
0,accuracy,1,0.15,0.9375,0.8125
0,cross_entropy,1,0.05,0.122087,0.344176
0,cross_entropy,1,0.075,0.136745,0.371124
0,cross_entropy,1,0.1,0.164219,0.386417
0,cross_entropy,1,0.15,0.182778,0.446574
1,auc,0,0.05,0.982143,0.705357
1,auc,0,0.075,0.973214,0.696429
1,auc,0,0.1,0.964286,0.848214
1,auc,0,0.15,0.946429,0.821429
1,accuracy,0,0.05,0.875,0.875
1,accuracy,0,0.075,0.8125,0.875
1,accuracy,0,0.1,0.78125,0.9375
1,accuracy,0,0.15,0.78125,0.90625
1,cross_entropy,0,0.05,0.282228,0.348223
1,cross_entropy,0,0.075,0.325121,0.35339
1,cross_entropy,0,0.1,0.409705,0.274084
1,cross_entropy,0,0.15,0.484241,0.270441
1,auc,1,0.05,1.0,0.714286
1,auc,1,0.075,1.0,0.732143
1,auc,1,0.1,1.0,0.723214
1,auc,1,0.15,0.991071,0.839286
1,accuracy,1,0.05,0.9375,0.8125
1,accuracy,1,0.075,0.9375,0.8125
1,accuracy,1,0.1,0.9375,0.78125
1,accuracy,1,0.15,0.90625,0.78125
1,cross_entropy,1,0.05,0.109979,0.404697
1,cross_entropy,1,0.075,0.136587,0.414781
1,cross_entropy,1,0.1,0.15065,0.44061
1,cross_entropy,1,0.15,0.207512,0.470933
2,auc,0,0.05,0.983333,0.2
2,auc,0,0.075,0.95,0.183333
2,auc,0,0.1,0.966667,0.166667
2,auc,0,0.15,0.966667,0.166667
2,accuracy,0,0.05,0.90625,0.9375
2,accuracy,0,0.075,0.84375,0.9375
2,accuracy,0,0.1,0.6875,0.9375
2,accuracy,0,0.15,0.6875,0.9375
2,cross_entropy,0,0.05,0.318931,0.327224
2,cross_entropy,0,0.075,0.402889,0.324656
2,cross_entropy,0,0.1,0.500414,0.316522
2,cross_entropy,0,0.15,0.606743,0.31496
2,auc,1,0.05,1.0,0.3
2,auc,1,0.075,0.983333,0.383333
2,auc,1,0.1,1.0,0.416667
2,auc,1,0.15,0.983333,0.433333
2,accuracy,1,0.05,0.9375,0.8125
2,accuracy,1,0.075,0.9375,0.8125
2,accuracy,1,0.1,0.9375,0.75
2,accuracy,1,0.15,0.9375,0.71875
2,cross_entropy,1,0.05,0.12914,0.45038
2,cross_entropy,1,0.075,0.141297,0.482684
2,cross_entropy,1,0.1,0.137132,0.519001
2,cross_entropy,1,0.15,0.146977,0.761753
3,auc,0,0.05,1.0,0.6
3,auc,0,0.075,0.992593,0.548148
3,auc,0,0.1,0.985185,0.562963
3,auc,0,0.15,0.97037,0.622222
3,accuracy,0,0.05,0.90625,0.84375
3,accuracy,0,0.075,0.90625,0.84375
3,accuracy,0,0.1,0.90625,0.84375
3,accuracy,0,0.15,0.78125,0.84375
3,cross_entropy,0,0.05,0.24237,0.464524
3,cross_entropy,0,0.075,0.272328,0.484637
3,cross_entropy,0,0.1,0.311967,0.489048
3,cross_entropy,0,0.15,0.413357,0.476224
3,auc,1,0.05,1.0,0.562963
3,auc,1,0.075,0.992593,0.696296
3,auc,1,0.1,0.918519,0.822222
3,auc,1,0.15,0.918519,0.8
3,accuracy,1,0.05,0.84375,0.8125
3,accuracy,1,0.075,0.84375,0.84375
3,accuracy,1,0.1,0.84375,0.8125
3,accuracy,1,0.15,0.84375,0.75
3,cross_entropy,1,0.05,0.24337,0.451652
3,cross_entropy,1,0.075,0.297062,0.441705
3,cross_entropy,1,0.1,0.379915,0.419079
3,cross_entropy,1,0.15,0.406462,0.466607
4,auc,0,0.05,1.0,0.562963
4,auc,0,0.075,1.0,0.718518
4,auc,0,0.1,1.0,0.740741
4,auc,0,0.15,0.992593,0.785185
4,accuracy,0,0.05,0.90625,0.8125
4,accuracy,0,0.075,0.875,0.8125
4,accuracy,0,0.1,0.8125,0.84375
4,accuracy,0,0.15,0.78125,0.84375
4,cross_entropy,0,0.05,0.266225,0.459235
4,cross_entropy,0,0.075,0.324598,0.412324
4,cross_entropy,0,0.1,0.368505,0.396067
4,cross_entropy,0,0.15,0.461551,0.373961
4,auc,1,0.05,1.0,0.77037
4,auc,1,0.075,1.0,0.792593
4,auc,1,0.1,1.0,0.82963
4,auc,1,0.15,1.0,0.851852
4,accuracy,1,0.05,0.96875,0.71875
4,accuracy,1,0.075,0.96875,0.6875
4,accuracy,1,0.1,0.90625,0.75
4,accuracy,1,0.15,0.875,0.75
4,cross_entropy,1,0.05,0.10796,0.473715
4,cross_entropy,1,0.075,0.119519,0.506446
4,cross_entropy,1,0.1,0.14072,0.525503
4,cross_entropy,1,0.15,0.198327,0.569713
5,auc,0,0.05,1.0,0.419355
5,auc,0,0.075,1.0,0.322581
5,auc,0,0.1,1.0,0.354839
5,auc,0,0.15,1.0,0.258065
5,accuracy,0,0.05,0.96875,0.90625
5,accuracy,0,0.075,0.9375,0.9375
5,accuracy,0,0.1,0.9375,0.90625
5,accuracy,0,0.15,0.90625,0.9375
5,cross_entropy,0,0.05,0.156236,0.267367
5,cross_entropy,0,0.075,0.200854,0.263483
5,cross_entropy,0,0.1,0.239505,0.254596
5,cross_entropy,0,0.15,0.314746,0.233495
5,auc,1,0.05,1.0,0.548387
5,auc,1,0.075,1.0,0.612903
5,auc,1,0.1,1.0,0.645161
5,auc,1,0.15,1.0,0.612903
5,accuracy,1,0.05,0.96875,0.78125
5,accuracy,1,0.075,0.96875,0.75
5,accuracy,1,0.1,0.96875,0.71875
5,accuracy,1,0.15,0.96875,0.625
5,cross_entropy,1,0.05,0.056825,0.478931
5,cross_entropy,1,0.075,0.064052,0.526311
5,cross_entropy,1,0.1,0.064641,0.575389
5,cross_entropy,1,0.15,0.067675,0.688911
6,auc,0,0.05,0.983333,0.666667
6,auc,0,0.075,0.983333,0.583333
6,auc,0,0.1,1.0,0.5
6,auc,0,0.15,1.0,0.65
6,accuracy,0,0.05,0.96875,0.9375
6,accuracy,0,0.075,0.875,0.9375
6,accuracy,0,0.1,0.875,0.9375
6,accuracy,0,0.15,0.84375,0.9375
6,cross_entropy,0,0.05,0.248553,0.244215
6,cross_entropy,0,0.075,0.312755,0.250393
6,cross_entropy,0,0.1,0.347761,0.256552
6,cross_entropy,0,0.15,0.432458,0.244533
6,auc,1,0.05,1.0,0.833333
6,auc,1,0.075,1.0,0.833333
6,auc,1,0.1,1.0,0.85
6,auc,1,0.15,1.0,0.8
6,accuracy,1,0.05,0.96875,0.84375
6,accuracy,1,0.075,0.96875,0.875
6,accuracy,1,0.1,0.96875,0.84375
6,accuracy,1,0.15,0.96875,0.8125
6,cross_entropy,1,0.05,0.067077,0.381197
6,cross_entropy,1,0.075,0.068912,0.4202
6,cross_entropy,1,0.1,0.07208,0.426209
6,cross_entropy,1,0.15,0.062602,0.502014
7,auc,0,0.05,0.0,0.0
7,auc,0,0.075,0.0,0.0
7,auc,0,0.1,0.0,0.0
7,auc,0,0.15,0.0,0.0
7,accuracy,0,0.05,0.8125,1.0
7,accuracy,0,0.075,0.8125,1.0
7,accuracy,0,0.1,0.75,1.0
7,accuracy,0,0.15,0.75,1.0
7,cross_entropy,0,0.05,0.319529,0.150926
7,cross_entropy,0,0.075,0.395426,0.134013
7,cross_entropy,0,0.1,0.431321,0.127097
7,cross_entropy,0,0.15,0.509798,0.115968
7,auc,1,0.05,0.0,0.0
7,auc,1,0.075,0.0,0.0
7,auc,1,0.1,0.0,0.0
7,auc,1,0.15,0.0,0.0
7,accuracy,1,0.05,1.0,0.8125
7,accuracy,1,0.075,1.0,0.78125
7,accuracy,1,0.1,1.0,0.75
7,accuracy,1,0.15,1.0,0.65625
7,cross_entropy,1,0.05,0.032162,0.408282
7,cross_entropy,1,0.075,0.022696,0.492658
7,cross_entropy,1,0.1,0.020834,0.532138
7,cross_entropy,1,0.15,0.016405,0.64413
8,auc,0,0.05,1.0,0.419355
8,auc,0,0.075,1.0,0.322581
8,auc,0,0.1,1.0,0.322581
8,auc,0,0.15,1.0,0.225806
8,accuracy,0,0.05,0.96875,0.9375
8,accuracy,0,0.075,0.90625,0.90625
8,accuracy,0,0.1,0.90625,0.90625
8,accuracy,0,0.15,0.84375,0.9375
8,cross_entropy,0,0.05,0.230329,0.250909
8,cross_entropy,0,0.075,0.275267,0.254038
8,cross_entropy,0,0.1,0.323598,0.251758
8,cross_entropy,0,0.15,0.390013,0.235997
8,auc,1,0.05,1.0,0.354839
8,auc,1,0.075,1.0,0.354839
8,auc,1,0.1,0.967742,0.354839
8,auc,1,0.15,1.0,0.516129
8,accuracy,1,0.05,0.96875,0.71875
8,accuracy,1,0.075,0.96875,0.6875
8,accuracy,1,0.1,0.96875,0.6875
8,accuracy,1,0.15,0.96875,0.5625
8,cross_entropy,1,0.05,0.063607,0.459497
8,cross_entropy,1,0.075,0.068413,0.504592
8,cross_entropy,1,0.1,0.077816,0.54155
8,cross_entropy,1,0.15,0.081046,0.666212
9,auc,0,0.05,1.0,0.032258
9,auc,0,0.075,1.0,0.032258
9,auc,0,0.1,1.0,0.032258
9,auc,0,0.15,1.0,0.032258
9,accuracy,0,0.05,0.96875,0.9375
9,accuracy,0,0.075,0.96875,0.9375
9,accuracy,0,0.1,0.875,0.9375
9,accuracy,0,0.15,0.84375,0.9375
9,cross_entropy,0,0.05,0.209097,0.279934
9,cross_entropy,0,0.075,0.242422,0.278131
9,cross_entropy,0,0.1,0.293898,0.276773
9,cross_entropy,0,0.15,0.381457,0.26657
9,auc,1,0.05,1.0,0.16129
9,auc,1,0.075,1.0,0.258065
9,auc,1,0.1,1.0,0.096774
9,auc,1,0.15,0.967742,0.83871
9,accuracy,1,0.05,0.96875,0.875
9,accuracy,1,0.075,0.96875,0.75
9,accuracy,1,0.1,0.96875,0.71875
9,accuracy,1,0.15,0.96875,0.71875
9,cross_entropy,1,0.05,0.063387,0.419807
9,cross_entropy,1,0.075,0.064845,0.467538
9,cross_entropy,1,0.1,0.061715,0.540425
9,cross_entropy,1,0.15,0.104382,0.590045
10,auc,0,0.05,1.0,0.903226
10,auc,0,0.075,1.0,0.83871
10,auc,0,0.1,1.0,0.83871
10,auc,0,0.15,1.0,0.83871
10,accuracy,0,0.05,0.9375,0.9375
10,accuracy,0,0.075,0.9375,0.9375
10,accuracy,0,0.1,0.90625,0.9375
10,accuracy,0,0.15,0.84375,0.96875
10,cross_entropy,0,0.05,0.173907,0.193609
10,cross_entropy,0,0.075,0.224727,0.181851
10,cross_entropy,0,0.1,0.282275,0.167785
10,cross_entropy,0,0.15,0.344781,0.151856
10,auc,1,0.05,1.0,0.967742
10,auc,1,0.075,1.0,0.967742
10,auc,1,0.1,1.0,1.0
10,auc,1,0.15,1.0,1.0
10,accuracy,1,0.05,0.96875,0.90625
10,accuracy,1,0.075,0.96875,0.84375
10,accuracy,1,0.1,0.96875,0.8125
10,accuracy,1,0.15,0.96875,0.75
10,cross_entropy,1,0.05,0.043735,0.362986
10,cross_entropy,1,0.075,0.046868,0.397027
10,cross_entropy,1,0.1,0.050975,0.436878
10,cross_entropy,1,0.15,0.062231,0.48836
11,auc,0,0.05,0.935484,0.935484
11,auc,0,0.075,0.935484,0.935484
11,auc,0,0.1,1.0,0.935484
11,auc,0,0.15,0.870968,1.0
11,accuracy,0,0.05,0.875,0.96875
11,accuracy,0,0.075,0.84375,0.96875
11,accuracy,0,0.1,0.84375,0.96875
11,accuracy,0,0.15,0.78125,0.96875
11,cross_entropy,0,0.05,0.253831,0.141116
11,cross_entropy,0,0.075,0.315043,0.131751
11,cross_entropy,0,0.1,0.351104,0.129921
11,cross_entropy,0,0.15,0.442377,0.098973
11,auc,1,0.05,1.0,0.903226
11,auc,1,0.075,1.0,0.935484
11,auc,1,0.1,1.0,0.935484
11,auc,1,0.15,0.967742,0.967742
11,accuracy,1,0.05,0.96875,0.90625
11,accuracy,1,0.075,0.96875,0.84375
11,accuracy,1,0.1,0.96875,0.8125
11,accuracy,1,0.15,0.96875,0.75
11,cross_entropy,1,0.05,0.062924,0.336162
11,cross_entropy,1,0.075,0.061956,0.381228
11,cross_entropy,1,0.1,0.066584,0.400657
11,cross_entropy,1,0.15,0.074087,0.518296
12,auc,0,0.05,1.0,0.216667
12,auc,0,0.075,1.0,0.283333
12,auc,0,0.1,1.0,0.3
12,auc,0,0.15,1.0,0.4
12,accuracy,0,0.05,0.9375,0.9375
12,accuracy,0,0.075,0.84375,0.9375
12,accuracy,0,0.1,0.875,0.9375
12,accuracy,0,0.15,0.75,0.9375
12,cross_entropy,0,0.05,0.232408,0.315246
12,cross_entropy,0,0.075,0.287687,0.302072
12,cross_entropy,0,0.1,0.338281,0.288814
12,cross_entropy,0,0.15,0.431005,0.2706
12,auc,1,0.05,1.0,0.183333
12,auc,1,0.075,1.0,0.233333
12,auc,1,0.1,1.0,0.233333
12,auc,1,0.15,1.0,0.233333
12,accuracy,1,0.05,0.9375,0.78125
12,accuracy,1,0.075,0.9375,0.78125
12,accuracy,1,0.1,0.9375,0.75
12,accuracy,1,0.15,0.9375,0.65625
