batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,1.0,0.580645
0,auc,0,0.075,1.0,0.580645
0,auc,0,0.1,1.0,0.645161
0,auc,0,0.15,1.0,0.645161
0,accuracy,0,0.05,0.5,0.96875
0,accuracy,0,0.075,0.40625,0.96875
0,accuracy,0,0.1,0.34375,0.96875
0,accuracy,0,0.15,0.28125,0.96875
0,cross_entropy,0,0.05,0.780813,0.156034
0,cross_entropy,0,0.075,0.950827,0.159007
0,cross_entropy,0,0.1,1.119287,0.150847
0,cross_entropy,0,0.15,1.308247,0.152797
0,auc,1,0.05,1.0,0.774194
0,auc,1,0.075,1.0,0.83871
0,auc,1,0.1,1.0,0.83871
0,auc,1,0.15,1.0,0.806452
0,accuracy,1,0.05,0.96875,0.59375
0,accuracy,1,0.075,0.96875,0.5
0,accuracy,1,0.1,0.96875,0.4375
0,accuracy,1,0.15,0.96875,0.34375
0,cross_entropy,1,0.05,0.075498,0.600769
0,cross_entropy,1,0.075,0.082282,0.756067
0,cross_entropy,1,0.1,0.092603,0.946153
0,cross_entropy,1,0.15,0.107935,1.250764
1,auc,0,0.05,1.0,0.645161
1,auc,0,0.075,1.0,0.580645
1,auc,0,0.1,1.0,0.580645
1,auc,0,0.15,1.0,0.290323
1,accuracy,0,0.05,0.71875,0.96875
1,accuracy,0,0.075,0.59375,0.96875
1,accuracy,0,0.1,0.375,0.96875
1,accuracy,0,0.15,0.25,0.96875
1,cross_entropy,0,0.05,0.554991,0.154904
1,cross_entropy,0,0.075,0.724889,0.149623
1,cross_entropy,0,0.1,0.886236,0.14462
1,cross_entropy,0,0.15,1.10429,0.164852
1,auc,1,0.05,1.0,1.0
1,auc,1,0.075,1.0,1.0
1,auc,1,0.1,1.0,0.967742
1,auc,1,0.15,1.0,1.0
1,accuracy,1,0.05,0.96875,0.59375
1,accuracy,1,0.075,0.96875,0.375
1,accuracy,1,0.1,0.96875,0.25
1,accuracy,1,0.15,0.96875,0.15625
1,cross_entropy,1,0.05,0.069414,0.729227
1,cross_entropy,1,0.075,0.081117,0.90953
1,cross_entropy,1,0.1,0.085354,1.041974
1,cross_entropy,1,0.15,0.097141,1.303194
2,auc,0,0.05,0.983333,0.616667
2,auc,0,0.075,0.966667,0.616667
2,auc,0,0.1,0.966667,0.6
2,auc,0,0.15,0.983333,0.583333
2,accuracy,0,0.05,0.71875,0.9375
2,accuracy,0,0.075,0.65625,0.9375
2,accuracy,0,0.1,0.5,0.9375
2,accuracy,0,0.15,0.40625,0.9375
2,cross_entropy,0,0.05,0.501734,0.234259
2,cross_entropy,0,0.075,0.652967,0.230161
