batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,0.0,0.0
0,auc,0,0.075,0.0,0.0
0,auc,0,0.1,0.0,0.0
0,auc,0,0.15,0.0,0.0
0,accuracy,0,0.05,1.0,1.0
0,accuracy,0,0.075,1.0,1.0
0,accuracy,0,0.1,1.0,1.0
0,accuracy,0,0.15,1.0,1.0
0,cross_entropy,0,0.05,0.073473,0.111385
0,cross_entropy,0,0.075,0.076193,0.099896
0,cross_entropy,0,0.1,0.089903,0.085651
0,cross_entropy,0,0.15,0.123623,0.054792
0,auc,1,0.05,0.0,0.0
0,auc,1,0.075,0.0,0.0
0,auc,1,0.1,0.0,0.0
0,auc,1,0.15,0.0,0.0
0,accuracy,1,0.05,0.96875,1.0
0,accuracy,1,0.075,0.96875,1.0
0,accuracy,1,0.1,0.96875,1.0
0,accuracy,1,0.15,0.96875,1.0
0,cross_entropy,1,0.05,0.144532,0.069758
0,cross_entropy,1,0.075,0.153235,0.064236
0,cross_entropy,1,0.1,0.152588,0.060518
0,cross_entropy,1,0.15,0.17326,0.039426
1,auc,0,0.05,0.0,0.0
1,auc,0,0.075,0.0,0.0
1,auc,0,0.1,0.0,0.0
1,auc,0,0.15,0.0,0.0
1,accuracy,0,0.05,0.96875,1.0
1,accuracy,0,0.075,0.96875,1.0
1,accuracy,0,0.1,0.96875,1.0
1,accuracy,0,0.15,0.96875,1.0
1,cross_entropy,0,0.05,0.135777,0.103693
1,cross_entropy,0,0.075,0.155279,0.099377
1,cross_entropy,0,0.1,0.1691,0.08974
1,cross_entropy,0,0.15,0.180753,0.067817
1,auc,1,0.05,0.0,0.0
1,auc,1,0.075,0.0,0.0
1,auc,1,0.1,0.0,0.0
1,auc,1,0.15,0.0,0.0
1,accuracy,1,0.05,1.0,1.0
1,accuracy,1,0.075,1.0,1.0
1,accuracy,1,0.1,1.0,1.0
1,accuracy,1,0.15,0.96875,1.0
1,cross_entropy,1,0.05,0.104219,0.120243
1,cross_entropy,1,0.075,0.125365,0.107048
1,cross_entropy,1,0.1,0.14038,0.08559
1,cross_entropy,1,0.15,0.177308,0.077531
2,auc,0,0.05,0.671875,0.255208
2,auc,0,0.075,0.677083,0.296875
2,auc,0,0.1,0.630208,0.338542
2,auc,0,0.15,0.609375,0.338542
2,accuracy,0,0.05,0.78125,0.59375
2,accuracy,0,0.075,0.71875,0.5625
2,accuracy,0,0.1,0.75,0.59375
2,accuracy,0,0.15,0.71875,0.5625
2,cross_entropy,0,0.05,0.530233,0.733639
