batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,0.747126,0.793103
0,auc,0,0.075,0.770115,0.896552
0,auc,0,0.1,0.747126,0.873563
0,auc,0,0.15,0.609195,0.977012
0,accuracy,0,0.05,0.8125,0.59375
0,accuracy,0,0.075,0.8125,0.59375
0,accuracy,0,0.1,0.75,0.46875
0,accuracy,0,0.15,0.625,0.4375
0,cross_entropy,0,0.05,0.624571,0.821517
0,cross_entropy,0,0.075,0.553693,0.847797
0,cross_entropy,0,0.1,0.580671,0.872365
0,cross_entropy,0,0.15,0.790575,0.768438
0,auc,1,0.05,0.873563,0.758621
0,auc,1,0.075,0.735632,0.931034
0,auc,1,0.1,0.712644,0.908046
0,auc,1,0.15,0.655172,0.942529
0,accuracy,1,0.05,0.84375,0.5
0,accuracy,1,0.075,0.875,0.5
0,accuracy,1,0.1,0.71875,0.53125
0,accuracy,1,0.15,0.65625,0.40625
0,cross_entropy,1,0.05,0.439988,0.911737
0,cross_entropy,1,0.075,0.491349,0.896043
0,cross_entropy,1,0.1,0.521999,0.870079
0,cross_entropy,1,0.15,0.652419,0.837242
1,auc,0,0.05,0.8125,0.830357
1,auc,0,0.075,0.857143,0.928571
1,auc,0,0.1,0.8125,0.955357
1,auc,0,0.15,0.830357,0.982143
1,accuracy,0,0.05,0.84375,0.625
1,accuracy,0,0.075,0.8125,0.625
1,accuracy,0,0.1,0.71875,0.59375
1,accuracy,0,0.15,0.6875,0.5625
1,cross_entropy,0,0.05,0.441995,0.694631
1,cross_entropy,0,0.075,0.440705,0.682164
1,cross_entropy,0,0.1,0.547929,0.636853
1,cross_entropy,0,0.15,0.601458,0.606899
1,auc,1,0.05,0.875,0.875
1,auc,1,0.075,0.839286,0.973214
1,auc,1,0.1,0.8125,0.973214
1,auc,1,0.15,0.723214,1.0
1,accuracy,1,0.05,0.90625,0.65625
1,accuracy,1,0.075,0.84375,0.5625
1,accuracy,1,0.1,0.78125,0.53125
1,accuracy,1,0.15,0.65625,0.46875
1,cross_entropy,1,0.05,0.30992,0.714012
1,cross_entropy,1,0.075,0.407554,0.714513
1,cross_entropy,1,0.1,0.454463,0.713656
1,cross_entropy,1,0.15,0.536181,0.720534
2,auc,0,0.05,0.0,0.0
2,auc,0,0.075,0.0,0.0
2,auc,0,0.1,0.0,0.0
2,auc,0,0.15,0.0,0.0
2,accuracy,0,0.05,0.96875,0.5625
2,accuracy,0,0.075,0.96875,0.5625
2,accuracy,0,0.1,0.9375,0.5625
2,accuracy,0,0.15,0.875,0.59375
2,cross_entropy,0,0.05,0.196473,0.863516
2,cross_entropy,0,0.075,0.243347,0.869953
2,cross_entropy,0,0.1,0.284325,0.826261
2,cross_entropy,0,0.15,0.432972,0.710051
2,auc,1,0.05,0.0,0.0
2,auc,1,0.075,0.0,0.0
2,auc,1,0.1,0.0,0.0
2,auc,1,0.15,0.0,0.0
2,accuracy,1,0.05,0.9375,0.5
2,accuracy,1,0.075,0.9375,0.59375
2,accuracy,1,0.1,0.875,0.59375
2,accuracy,1,0.15,0.875,0.5
