batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,0.0,0.0
0,auc,0,0.075,0.0,0.0
0,auc,0,0.1,0.0,0.0
0,auc,0,0.15,0.0,0.0
0,accuracy,0,0.05,0.96875,1.0
0,accuracy,0,0.075,0.96875,1.0
0,accuracy,0,0.1,1.0,0.96875
0,accuracy,0,0.15,1.0,1.0
0,cross_entropy,0,0.05,0.134404,0.131637
0,cross_entropy,0,0.075,0.124492,0.133683
0,cross_entropy,0,0.1,0.130672,0.134624
0,cross_entropy,0,0.15,0.111661,0.141237
0,auc,1,0.05,0.0,0.0
0,auc,1,0.075,0.0,0.0
0,auc,1,0.1,0.0,0.0
0,auc,1,0.15,0.0,0.0
0,accuracy,1,0.05,1.0,1.0
0,accuracy,1,0.075,1.0,0.96875
0,accuracy,1,0.1,1.0,1.0
0,accuracy,1,0.15,1.0,1.0
0,cross_entropy,1,0.05,0.121647,0.122472
0,cross_entropy,1,0.075,0.131699,0.12257
0,cross_entropy,1,0.1,0.125636,0.113085
0,cross_entropy,1,0.15,0.118176,0.11287
1,auc,0,0.05,0.0,0.0
1,auc,0,0.075,0.0,0.0
1,auc,0,0.1,0.0,0.0
1,auc,0,0.15,0.0,0.0
1,accuracy,0,0.05,1.0,1.0
1,accuracy,0,0.075,1.0,1.0
1,accuracy,0,0.1,1.0,0.96875
1,accuracy,0,0.15,1.0,1.0
1,cross_entropy,0,0.05,0.10302,0.175705
1,cross_entropy,0,0.075,0.104322,0.159098
1,cross_entropy,0,0.1,0.111089,0.151629
1,cross_entropy,0,0.15,0.110966,0.144223
1,auc,1,0.05,0.0,0.0
1,auc,1,0.075,0.0,0.0
1,auc,1,0.1,0.0,0.0
1,auc,1,0.15,0.0,0.0
1,accuracy,1,0.05,1.0,1.0
1,accuracy,1,0.075,1.0,1.0
1,accuracy,1,0.1,1.0,0.96875
1,accuracy,1,0.15,1.0,0.9375
1,cross_entropy,1,0.05,0.109774,0.136554
1,cross_entropy,1,0.075,0.107146,0.123939
1,cross_entropy,1,0.1,0.104718,0.138041
1,cross_entropy,1,0.15,0.09732,0.137686
2,auc,0,0.05,1.0,0.683333
2,auc,0,0.075,1.0,0.816667
2,auc,0,0.1,1.0,0.783333
2,auc,0,0.15,0.983333,0.833333
2,accuracy,0,0.05,0.96875,0.9375
2,accuracy,0,0.075,0.96875,0.9375
2,accuracy,0,0.1,0.96875,0.9375
2,accuracy,0,0.15,0.96875,0.9375
2,cross_entropy,0,0.05,0.124817,0.244854
