batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,0.0,0.0
0,auc,0,0.075,0.0,0.0
0,auc,0,0.1,0.0,0.0
0,auc,0,0.15,0.0,0.0
0,accuracy,0,0.05,0.96875,1.0
0,accuracy,0,0.075,0.875,1.0
0,accuracy,0,0.1,0.8125,1.0
0,accuracy,0,0.15,0.75,1.0
0,cross_entropy,0,0.05,0.247313,0.043796
0,cross_entropy,0,0.075,0.32347,0.030972
0,cross_entropy,0,0.1,0.409246,0.020419
0,cross_entropy,0,0.15,0.545373,0.013626
0,auc,1,0.05,0.0,0.0
0,auc,1,0.075,0.0,0.0
0,auc,1,0.1,0.0,0.0
0,auc,1,0.15,0.0,0.0
0,accuracy,1,0.05,1.0,0.9375
0,accuracy,1,0.075,1.0,0.84375
0,accuracy,1,0.1,1.0,0.65625
0,accuracy,1,0.15,1.0,0.625
0,cross_entropy,1,0.05,0.027154,0.329029
0,cross_entropy,1,0.075,0.020134,0.431061
0,cross_entropy,1,0.1,0.015447,0.536852
0,cross_entropy,1,0.15,0.009479,0.708505
1,auc,0,0.05,1.0,0.533333
1,auc,0,0.075,1.0,0.533333
1,auc,0,0.1,1.0,0.516667
1,auc,0,0.15,1.0,0.6
1,accuracy,0,0.05,0.9375,0.9375
1,accuracy,0,0.075,0.90625,0.9375
1,accuracy,0,0.1,0.875,0.9375
1,accuracy,0,0.15,0.78125,0.9375
1,cross_entropy,0,0.05,0.215692,0.2757
1,cross_entropy,0,0.075,0.274257,0.279503
1,cross_entropy,0,0.1,0.325975,0.284225
1,cross_entropy,0,0.15,0.446269,0.282284
1,auc,1,0.05,1.0,0.95
1,auc,1,0.075,1.0,0.983333
1,auc,1,0.1,0.983333,1.0
1,auc,1,0.15,0.983333,0.95
1,accuracy,1,0.05,0.9375,0.65625
1,accuracy,1,0.075,0.9375,0.53125
1,accuracy,1,0.1,0.9375,0.5
1,accuracy,1,0.15,0.9375,0.34375
1,cross_entropy,1,0.05,0.141734,0.579257
1,cross_entropy,1,0.075,0.151547,0.700666
1,cross_entropy,1,0.1,0.186328,0.803961
1,cross_entropy,1,0.15,0.209302,0.980097
2,auc,0,0.05,1.0,0.258065
2,auc,0,0.075,1.0,0.419355
2,auc,0,0.1,1.0,0.645161
2,auc,0,0.15,1.0,0.83871
2,accuracy,0,0.05,0.875,0.96875
2,accuracy,0,0.075,0.84375,0.96875
2,accuracy,0,0.1,0.75,0.96875
2,accuracy,0,0.15,0.625,0.96875
2,cross_entropy,0,0.05,0.313997,0.163329
