batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,0.0,0.0
0,auc,0,0.075,0.0,0.0
0,auc,0,0.1,0.0,0.0
0,auc,0,0.15,0.0,0.0
0,accuracy,0,0.05,0.96875,1.0
0,accuracy,0,0.075,1.0,1.0
0,accuracy,0,0.1,1.0,1.0
0,accuracy,0,0.15,1.0,1.0
0,cross_entropy,0,0.05,0.125496,0.121224
0,cross_entropy,0,0.075,0.126201,0.125085
0,cross_entropy,0,0.1,0.122804,0.117561
0,cross_entropy,0,0.15,0.108935,0.132436
0,auc,1,0.05,0.0,0.0
0,auc,1,0.075,0.0,0.0
0,auc,1,0.1,0.0,0.0
0,auc,1,0.15,0.0,0.0
0,accuracy,1,0.05,1.0,1.0
0,accuracy,1,0.075,0.96875,1.0
0,accuracy,1,0.1,1.0,1.0
0,accuracy,1,0.15,1.0,1.0
0,cross_entropy,1,0.05,0.127802,0.11368
0,cross_entropy,1,0.075,0.12632,0.117006
0,cross_entropy,1,0.1,0.127451,0.118634
0,cross_entropy,1,0.15,0.110614,0.139767
1,auc,0,0.05,0.0,0.0
1,auc,0,0.075,0.0,0.0
1,auc,0,0.1,0.0,0.0
1,auc,0,0.15,0.0,0.0
1,accuracy,0,0.05,1.0,0.96875
1,accuracy,0,0.075,1.0,1.0
1,accuracy,0,0.1,1.0,1.0
1,accuracy,0,0.15,1.0,1.0
1,cross_entropy,0,0.05,0.105463,0.164107
1,cross_entropy,0,0.075,0.101922,0.157635
1,cross_entropy,0,0.1,0.098656,0.148532
1,cross_entropy,0,0.15,0.094019,0.13631
1,auc,1,0.05,0.0,0.0
1,auc,1,0.075,0.0,0.0
1,auc,1,0.1,0.0,0.0
1,auc,1,0.15,0.0,0.0
1,accuracy,1,0.05,1.0,0.9375
1,accuracy,1,0.075,1.0,0.96875
1,accuracy,1,0.1,1.0,0.96875
1,accuracy,1,0.15,1.0,0.96875
1,cross_entropy,1,0.05,0.100272,0.181282
1,cross_entropy,1,0.075,0.098439,0.172746
1,cross_entropy,1,0.1,0.095559,0.180553
1,cross_entropy,1,0.15,0.088958,0.161565
2,auc,0,0.05,1.0,0.85
2,auc,0,0.075,1.0,0.866667
2,auc,0,0.1,1.0,0.866667
2,auc,0,0.15,1.0,0.866667
2,accuracy,0,0.05,1.0,0.9375
2,accuracy,0,0.075,1.0,0.9375
2,accuracy,0,0.1,1.0,0.9375
2,accuracy,0,0.15,0.9375,0.9375
2,cross_entropy,0,0.05,0.118064,0.210916
