batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,0.967742,0.967742
0,auc,0,0.075,0.967742,1.0
0,auc,0,0.1,0.935484,1.0
0,auc,0,0.15,0.967742,1.0
0,accuracy,0,0.05,0.96875,0.96875
0,accuracy,0,0.075,0.96875,0.96875
0,accuracy,0,0.1,0.96875,1.0
0,accuracy,0,0.15,0.96875,1.0
0,cross_entropy,0,0.05,0.121688,0.178625
0,cross_entropy,0,0.075,0.134754,0.174758
0,cross_entropy,0,0.1,0.146177,0.157666
0,cross_entropy,0,0.15,0.146107,0.143607
0,auc,1,0.05,0.967742,1.0
0,auc,1,0.075,0.967742,1.0
0,auc,1,0.1,0.967742,1.0
0,auc,1,0.15,0.967742,1.0
0,accuracy,1,0.05,0.96875,0.96875
0,accuracy,1,0.075,0.96875,1.0
0,accuracy,1,0.1,0.96875,0.96875
0,accuracy,1,0.15,0.9375,1.0
0,cross_entropy,1,0.05,0.122177,0.177551
0,cross_entropy,1,0.075,0.127998,0.168026
0,cross_entropy,1,0.1,0.13041,0.16856
0,cross_entropy,1,0.15,0.149458,0.147904
1,auc,0,0.05,1.0,0.783333
1,auc,0,0.075,0.966667,0.85
1,auc,0,0.1,0.933333,0.9
1,auc,0,0.15,0.966667,0.933333
1,accuracy,0,0.05,0.96875,0.90625
1,accuracy,0,0.075,0.9375,0.90625
1,accuracy,0,0.1,0.90625,0.90625
1,accuracy,0,0.15,0.90625,0.90625
1,cross_entropy,0,0.05,0.171101,0.232935
1,cross_entropy,0,0.075,0.186549,0.211118
1,cross_entropy,0,0.1,0.19537,0.212337
1,cross_entropy,0,0.15,0.205365,0.196216
1,auc,1,0.05,0.95,0.883333
1,auc,1,0.075,0.916667,0.933333
1,auc,1,0.1,0.916667,0.916667
1,auc,1,0.15,0.9,0.916667
1,accuracy,1,0.05,0.9375,0.90625
1,accuracy,1,0.075,0.96875,0.90625
1,accuracy,1,0.1,0.9375,0.9375
1,accuracy,1,0.15,0.90625,0.90625
1,cross_entropy,1,0.05,0.194952,0.191787
1,cross_entropy,1,0.075,0.193174,0.194434
1,cross_entropy,1,0.1,0.195053,0.199726
1,cross_entropy,1,0.15,0.20982,0.206362
2,auc,0,0.05,1.0,0.903226
2,auc,0,0.075,1.0,0.935484
