batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,0.0,0.0
0,auc,0,0.075,0.0,0.0
0,auc,0,0.1,0.0,0.0
0,auc,0,0.15,0.0,0.0
0,accuracy,0,0.05,1.0,0.90625
0,accuracy,0,0.075,1.0,0.90625
0,accuracy,0,0.1,1.0,0.9375
0,accuracy,0,0.15,1.0,0.90625
0,cross_entropy,0,0.05,0.065242,0.263431
0,cross_entropy,0,0.075,0.068103,0.259656
0,cross_entropy,0,0.1,0.070607,0.252473
0,cross_entropy,0,0.15,0.077785,0.226199
0,auc,1,0.05,0.0,0.0
0,auc,1,0.075,0.0,0.0
0,auc,1,0.1,0.0,0.0
0,auc,1,0.15,0.0,0.0
0,accuracy,1,0.05,1.0,0.9375
0,accuracy,1,0.075,1.0,0.90625
0,accuracy,1,0.1,1.0,0.90625
0,accuracy,1,0.15,1.0,0.90625
0,cross_entropy,1,0.05,0.065641,0.263805
0,cross_entropy,1,0.075,0.066502,0.26828
0,cross_entropy,1,0.1,0.0677,0.26373
0,cross_entropy,1,0.15,0.074016,0.23675
1,auc,0,0.05,0.0,0.0
1,auc,0,0.075,0.0,0.0
1,auc,0,0.1,0.0,0.0
1,auc,0,0.15,0.0,0.0
1,accuracy,0,0.05,1.0,1.0
1,accuracy,0,0.075,1.0,1.0
1,accuracy,0,0.1,1.0,1.0
1,accuracy,0,0.15,1.0,1.0
1,cross_entropy,0,0.05,0.050332,0.141728
1,cross_entropy,0,0.075,0.050454,0.140302
1,cross_entropy,0,0.1,0.06194,0.119316
1,cross_entropy,0,0.15,0.053485,0.131355
1,auc,1,0.05,0.0,0.0
1,auc,1,0.075,0.0,0.0
1,auc,1,0.1,0.0,0.0
1,auc,1,0.15,0.0,0.0
1,accuracy,1,0.05,1.0,1.0
1,accuracy,1,0.075,1.0,0.96875
1,accuracy,1,0.1,1.0,0.96875
1,accuracy,1,0.15,1.0,0.96875
1,cross_entropy,1,0.05,0.053571,0.14523
1,cross_entropy,1,0.075,0.050268,0.143195
1,cross_entropy,1,0.1,0.060685,0.144381
1,cross_entropy,1,0.15,0.05035,0.149476
2,auc,0,0.05,1.0,0.290323
2,auc,0,0.075,1.0,0.258065
2,auc,0,0.1,1.0,0.516129
2,auc,0,0.15,1.0,0.516129
2,accuracy,0,0.05,1.0,0.9375
2,accuracy,0,0.075,1.0,0.9375
2,accuracy,0,0.1,0.96875,0.96875
2,accuracy,0,0.15,0.96875,0.9375
2,cross_entropy,0,0.05,0.078839,0.281456
