batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,0.992593,0.762963
0,auc,0,0.075,1.0,0.844444
0,auc,0,0.1,0.977778,0.874074
0,auc,0,0.15,0.977778,0.888889
0,accuracy,0,0.05,0.96875,0.8125
0,accuracy,0,0.075,0.9375,0.8125
0,accuracy,0,0.1,0.9375,0.8125
0,accuracy,0,0.15,0.9375,0.84375
0,cross_entropy,0,0.05,0.166796,0.413287
0,cross_entropy,0,0.075,0.178599,0.380781
0,cross_entropy,0,0.1,0.193878,0.358588
0,cross_entropy,0,0.15,0.203041,0.329764
0,auc,1,0.05,0.985185,0.77037
0,auc,1,0.075,1.0,0.859259
0,auc,1,0.1,0.977778,0.82963
0,auc,1,0.15,0.962963,0.814815
0,accuracy,1,0.05,0.9375,0.8125
0,accuracy,1,0.075,0.9375,0.78125
0,accuracy,1,0.1,0.90625,0.78125
0,accuracy,1,0.15,0.875,0.75
0,cross_entropy,1,0.05,0.19295,0.36136
0,cross_entropy,1,0.075,0.184121,0.372707
0,cross_entropy,1,0.1,0.205143,0.377584
0,cross_entropy,1,0.15,0.21316,0.414091
1,auc,0,0.05,0.870968,0.483871
1,auc,0,0.075,0.741935,0.645161
1,auc,0,0.1,0.645161,0.774194
1,auc,0,0.15,0.645161,0.774194
1,accuracy,0,0.05,0.96875,0.9375
1,accuracy,0,0.075,0.96875,0.9375
1,accuracy,0,0.1,0.96875,0.875
1,accuracy,0,0.15,0.9375,0.90625
1,cross_entropy,0,0.05,0.142603,0.228643
1,cross_entropy,0,0.075,0.163256,0.210016
1,cross_entropy,0,0.1,0.175729,0.214339
1,cross_entropy,0,0.15,0.184438,0.231597
1,auc,1,0.05,0.967742,0.16129
1,auc,1,0.075,0.935484,0.193548
1,auc,1,0.1,0.903226,0.225806
1,auc,1,0.15,0.903226,0.419355
1,accuracy,1,0.05,0.96875,0.9375
1,accuracy,1,0.075,0.9375,0.96875
1,accuracy,1,0.1,0.9375,0.9375
1,accuracy,1,0.15,0.9375,0.9375
1,cross_entropy,1,0.05,0.141291,0.243199
1,cross_entropy,1,0.075,0.156684,0.250393
1,cross_entropy,1,0.1,0.164733,0.257871
1,cross_entropy,1,0.15,0.150643,0.267012
2,auc,0,0.05,0.0,0.0
2,auc,0,0.075,0.0,0.0
2,auc,0,0.1,0.0,0.0
2,auc,0,0.15,0.0,0.0
2,accuracy,0,0.05,1.0,1.0
2,accuracy,0,0.075,1.0,0.96875
2,accuracy,0,0.1,1.0,0.9375
2,accuracy,0,0.15,1.0,0.90625
2,cross_entropy,0,0.05,0.076307,0.193138
2,cross_entropy,0,0.075,0.080546,0.216749
2,cross_entropy,0,0.1,0.075802,0.239409
2,cross_entropy,0,0.15,0.073928,0.266955
2,auc,1,0.05,0.0,0.0
2,auc,1,0.075,0.0,0.0
2,auc,1,0.1,0.0,0.0
2,auc,1,0.15,0.0,0.0
2,accuracy,1,0.05,1.0,0.90625
2,accuracy,1,0.075,1.0,0.9375
2,accuracy,1,0.1,1.0,0.90625
2,accuracy,1,0.15,1.0,0.875
2,cross_entropy,1,0.05,0.079919,0.22087
2,cross_entropy,1,0.075,0.070542,0.241195
2,cross_entropy,1,0.1,0.060974,0.276259
2,cross_entropy,1,0.15,0.060052,0.281993
3,auc,0,0.05,0.0,0.0
3,auc,0,0.075,0.0,0.0
3,auc,0,0.1,0.0,0.0
3,auc,0,0.15,0.0,0.0
3,accuracy,0,0.05,0.96875,0.96875
3,accuracy,0,0.075,0.96875,0.96875
3,accuracy,0,0.1,0.96875,0.96875
3,accuracy,0,0.15,0.96875,0.96875
3,cross_entropy,0,0.05,0.074485,0.136895
3,cross_entropy,0,0.075,0.083592,0.146916
3,cross_entropy,0,0.1,0.106128,0.166529
3,cross_entropy,0,0.15,0.110789,0.174937
3,auc,1,0.05,0.0,0.0
3,auc,1,0.075,0.0,0.0
3,auc,1,0.1,0.0,0.0
3,auc,1,0.15,0.0,0.0
3,accuracy,1,0.05,0.96875,0.96875
3,accuracy,1,0.075,1.0,0.96875
3,accuracy,1,0.1,0.96875,0.9375
3,accuracy,1,0.15,0.9375,0.9375
3,cross_entropy,1,0.05,0.084313,0.173051
3,cross_entropy,1,0.075,0.088025,0.192926
3,cross_entropy,1,0.1,0.082321,0.215565
3,cross_entropy,1,0.15,0.103328,0.21716
4,auc,0,0.05,1.0,0.419355
4,auc,0,0.075,1.0,0.064516
4,auc,0,0.1,1.0,0.064516
4,auc,0,0.15,1.0,0.258065
4,accuracy,0,0.05,1.0,0.90625
4,accuracy,0,0.075,1.0,0.90625
4,accuracy,0,0.1,1.0,0.90625
4,accuracy,0,0.15,1.0,0.90625
4,cross_entropy,0,0.05,0.052838,0.251702
4,cross_entropy,0,0.075,0.04394,0.332147
4,cross_entropy,0,0.1,0.046183,0.360098
4,cross_entropy,0,0.15,0.039721,0.342596
4,auc,1,0.05,1.0,0.580645
4,auc,1,0.075,1.0,0.548387
4,auc,1,0.1,1.0,0.580645
