batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,0.0,0.0
0,auc,0,0.075,0.0,0.0
0,auc,0,0.1,0.0,0.0
0,auc,0,0.15,0.0,0.0
0,accuracy,0,0.05,1.0,0.9375
0,accuracy,0,0.075,1.0,0.9375
0,accuracy,0,0.1,1.0,0.9375
0,accuracy,0,0.15,1.0,0.9375
0,cross_entropy,0,0.05,0.05275,0.193893
0,cross_entropy,0,0.075,0.050887,0.184246
0,cross_entropy,0,0.1,0.055949,0.173348
0,cross_entropy,0,0.15,0.053109,0.15928
0,auc,1,0.05,0.0,0.0
0,auc,1,0.075,0.0,0.0
0,auc,1,0.1,0.0,0.0
0,auc,1,0.15,0.0,0.0
0,accuracy,1,0.05,1.0,0.9375
0,accuracy,1,0.075,1.0,0.9375
0,accuracy,1,0.1,1.0,0.9375
0,accuracy,1,0.15,1.0,0.9375
0,cross_entropy,1,0.05,0.051644,0.200011
0,cross_entropy,1,0.075,0.049653,0.191406
0,cross_entropy,1,0.1,0.054846,0.18857
0,cross_entropy,1,0.15,0.054481,0.165873
1,auc,0,0.05,1.0,0.766667
1,auc,0,0.075,1.0,0.866667
1,auc,0,0.1,1.0,0.966667
1,auc,0,0.15,1.0,1.0
1,accuracy,0,0.05,1.0,0.9375
1,accuracy,0,0.075,0.96875,0.90625
1,accuracy,0,0.1,0.96875,0.9375
1,accuracy,0,0.15,0.96875,1.0
1,cross_entropy,0,0.05,0.078855,0.250928
1,cross_entropy,0,0.075,0.082815,0.231596
1,cross_entropy,0,0.1,0.099835,0.187016
1,cross_entropy,0,0.15,0.104578,0.176807
1,auc,1,0.05,1.0,0.816667
1,auc,1,0.075,1.0,0.816667
1,auc,1,0.1,1.0,0.966667
1,auc,1,0.15,1.0,1.0
1,accuracy,1,0.05,0.96875,0.90625
1,accuracy,1,0.075,0.96875,0.90625
1,accuracy,1,0.1,0.96875,0.96875
1,accuracy,1,0.15,0.96875,1.0
1,cross_entropy,1,0.05,0.074105,0.27119
1,cross_entropy,1,0.075,0.083182,0.250935
1,cross_entropy,1,0.1,0.093833,0.209599
1,cross_entropy,1,0.15,0.101997,0.1762
2,auc,0,0.05,0.967742,1.0
2,auc,0,0.075,1.0,1.0
2,auc,0,0.1,0.967742,1.0
2,auc,0,0.15,1.0,0.967742
2,accuracy,0,0.05,0.96875,0.96875
2,accuracy,0,0.075,0.96875,0.96875
2,accuracy,0,0.1,0.96875,0.96875
2,accuracy,0,0.15,0.96875,0.96875
