batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,0.9,0.883333
0,auc,0,0.075,0.916667,0.9
0,auc,0,0.1,0.833333,0.883333
0,auc,0,0.15,0.633333,0.933333
0,accuracy,0,0.05,0.875,0.96875
0,accuracy,0,0.075,0.90625,0.9375
0,accuracy,0,0.1,0.90625,0.96875
0,accuracy,0,0.15,0.9375,0.96875
0,cross_entropy,0,0.05,0.235043,0.177277
0,cross_entropy,0,0.075,0.238207,0.178374
0,cross_entropy,0,0.1,0.263945,0.175599
0,cross_entropy,0,0.15,0.28401,0.146324
0,auc,1,0.05,0.9,0.883333
0,auc,1,0.075,0.866667,0.966667
0,auc,1,0.1,0.683333,0.916667
0,auc,1,0.15,0.583333,0.95
0,accuracy,1,0.05,0.875,0.96875
0,accuracy,1,0.075,0.9375,0.96875
0,accuracy,1,0.1,0.90625,0.96875
0,accuracy,1,0.15,0.9375,0.96875
0,cross_entropy,1,0.05,0.233208,0.17536
0,cross_entropy,1,0.075,0.226082,0.148137
0,cross_entropy,1,0.1,0.261141,0.158862
0,cross_entropy,1,0.15,0.288406,0.146538
1,auc,0,0.05,1.0,0.967742
1,auc,0,0.075,1.0,0.967742
1,auc,0,0.1,1.0,0.967742
1,auc,0,0.15,1.0,0.935484
1,accuracy,0,0.05,1.0,0.9375
1,accuracy,0,0.075,0.96875,0.9375
1,accuracy,0,0.1,0.96875,0.9375
1,accuracy,0,0.15,0.96875,0.90625
1,cross_entropy,0,0.05,0.171437,0.163334
1,cross_entropy,0,0.075,0.176399,0.162834
1,cross_entropy,0,0.1,0.18228,0.170422
1,cross_entropy,0,0.15,0.174587,0.171383
1,auc,1,0.05,1.0,0.935484
1,auc,1,0.075,1.0,0.967742
1,auc,1,0.1,1.0,0.967742
1,auc,1,0.15,1.0,1.0
1,accuracy,1,0.05,0.9375,0.90625
1,accuracy,1,0.075,0.96875,0.96875
1,accuracy,1,0.1,0.96875,0.96875
1,accuracy,1,0.15,1.0,0.96875
1,cross_entropy,1,0.05,0.180263,0.177964
1,cross_entropy,1,0.075,0.180884,0.1702
1,cross_entropy,1,0.1,0.163912,0.184665
1,cross_entropy,1,0.15,0.170881,0.139564
2,auc,0,0.05,0.0,0.0
2,auc,0,0.075,0.0,0.0
2,auc,0,0.1,0.0,0.0
2,auc,0,0.15,0.0,0.0
2,accuracy,0,0.05,1.0,1.0
2,accuracy,0,0.075,0.96875,1.0
2,accuracy,0,0.1,0.96875,1.0
2,accuracy,0,0.15,0.96875,1.0
2,cross_entropy,0,0.05,0.134721,0.107583
2,cross_entropy,0,0.075,0.155088,0.088555
2,cross_entropy,0,0.1,0.150783,0.087543
2,cross_entropy,0,0.15,0.15527,0.086508
2,auc,1,0.05,0.0,0.0
2,auc,1,0.075,0.0,0.0
2,auc,1,0.1,0.0,0.0
2,auc,1,0.15,0.0,0.0
2,accuracy,1,0.05,1.0,1.0
2,accuracy,1,0.075,0.96875,1.0
2,accuracy,1,0.1,0.96875,1.0
2,accuracy,1,0.15,0.96875,1.0
2,cross_entropy,1,0.05,0.123553,0.097765
2,cross_entropy,1,0.075,0.152958,0.100395
2,cross_entropy,1,0.1,0.147668,0.103074
2,cross_entropy,1,0.15,0.143689,0.091673
3,auc,0,0.05,0.931034,0.954023
3,auc,0,0.075,0.885057,0.988506
3,auc,0,0.1,0.908046,0.988506
3,auc,0,0.15,0.931035,1.0
3,accuracy,0,0.05,0.90625,0.9375
3,accuracy,0,0.075,0.90625,0.9375
3,accuracy,0,0.1,0.90625,0.96875
3,accuracy,0,0.15,0.90625,0.96875
3,cross_entropy,0,0.05,0.203964,0.187583
3,cross_entropy,0,0.075,0.204641,0.147216
3,cross_entropy,0,0.1,0.230772,0.128667
3,cross_entropy,0,0.15,0.217216,0.106942
3,auc,1,0.05,0.942529,0.954023
3,auc,1,0.075,0.931034,0.988506
3,auc,1,0.1,0.942529,1.0
3,auc,1,0.15,0.931034,1.0
3,accuracy,1,0.05,0.9375,0.875
3,accuracy,1,0.075,0.90625,0.9375
3,accuracy,1,0.1,0.90625,0.96875
3,accuracy,1,0.15,0.90625,1.0
3,cross_entropy,1,0.05,0.195429,0.197408
3,cross_entropy,1,0.075,0.207123,0.155524
3,cross_entropy,1,0.1,0.217916,0.127636
3,cross_entropy,1,0.15,0.230128,0.100214
4,auc,0,0.05,0.903226,1.0
4,auc,0,0.075,0.903226,1.0
4,auc,0,0.1,0.774194,1.0
4,auc,0,0.15,0.645161,1.0
4,accuracy,0,0.05,0.96875,0.96875
4,accuracy,0,0.075,0.90625,0.96875
4,accuracy,0,0.1,0.90625,0.96875
4,accuracy,0,0.15,0.90625,1.0
4,cross_entropy,0,0.05,0.189752,0.102687
4,cross_entropy,0,0.075,0.216247,0.082462
4,cross_entropy,0,0.1,0.230904,0.102924
4,cross_entropy,0,0.15,0.244525,0.07272
4,auc,1,0.05,0.935484,1.0
4,auc,1,0.075,0.903226,1.0
4,auc,1,0.1,0.741935,1.0
4,auc,1,0.15,0.548387,1.0
4,accuracy,1,0.05,0.96875,0.96875
4,accuracy,1,0.075,0.9375,0.96875
4,accuracy,1,0.1,0.9375,1.0
4,accuracy,1,0.15,0.9375,1.0
4,cross_entropy,1,0.05,0.170225,0.104489
4,cross_entropy,1,0.075,0.197587,0.08999
4,cross_entropy,1,0.1,0.215039,0.086923
4,cross_entropy,1,0.15,0.233289,0.079624
5,auc,0,0.05,0.95,0.933333
5,auc,0,0.075,0.933333,0.966667
5,auc,0,0.1,0.916667,1.0
5,auc,0,0.15,0.933333,1.0
5,accuracy,0,0.05,0.9375,0.9375
5,accuracy,0,0.075,0.9375,0.9375
5,accuracy,0,0.1,0.9375,0.96875
5,accuracy,0,0.15,0.9375,1.0
5,cross_entropy,0,0.05,0.188906,0.159508
5,cross_entropy,0,0.075,0.207756,0.153454
5,cross_entropy,0,0.1,0.198211,0.137325
5,cross_entropy,0,0.15,0.197316,0.124429
5,auc,1,0.05,0.966667,0.9
5,auc,1,0.075,0.85,1.0
5,auc,1,0.1,0.833333,1.0
5,auc,1,0.15,0.883333,1.0
5,accuracy,1,0.05,0.96875,0.9375
5,accuracy,1,0.075,0.9375,0.96875
5,accuracy,1,0.1,0.9375,1.0
5,accuracy,1,0.15,0.9375,1.0
5,cross_entropy,1,0.05,0.189616,0.175465
5,cross_entropy,1,0.075,0.220574,0.131212
5,cross_entropy,1,0.1,0.20931,0.11999
5,cross_entropy,1,0.15,0.206496,0.112011
6,auc,0,0.05,0.95,0.983333
6,auc,0,0.075,0.966667,0.95
6,auc,0,0.1,0.966667,0.95
6,auc,0,0.15,0.966667,0.983333
6,accuracy,0,0.05,0.96875,0.96875
6,accuracy,0,0.075,0.96875,0.96875
6,accuracy,0,0.1,0.9375,0.96875
6,accuracy,0,0.15,0.9375,0.9375
6,cross_entropy,0,0.05,0.156204,0.16509
6,cross_entropy,0,0.075,0.162901,0.169885
6,cross_entropy,0,0.1,0.173049,0.157934
6,cross_entropy,0,0.15,0.182801,0.137491
6,auc,1,0.05,0.916667,0.95
6,auc,1,0.075,0.966667,0.95
6,auc,1,0.1,0.933333,0.983333
6,auc,1,0.15,0.9,0.983333
6,accuracy,1,0.05,0.96875,0.9375
6,accuracy,1,0.075,0.96875,0.96875
6,accuracy,1,0.1,0.9375,0.96875
6,accuracy,1,0.15,0.96875,0.96875
6,cross_entropy,1,0.05,0.170721,0.173408
6,cross_entropy,1,0.075,0.160674,0.170025
6,cross_entropy,1,0.1,0.184897,0.154824
6,cross_entropy,1,0.15,0.18666,0.131462
7,auc,0,0.05,0.935484,1.0
7,auc,0,0.075,0.935484,1.0
7,auc,0,0.1,1.0,1.0
7,auc,0,0.15,1.0,1.0
7,accuracy,0,0.05,0.9375,0.96875
7,accuracy,0,0.075,0.9375,1.0
7,accuracy,0,0.1,0.96875,0.96875
7,accuracy,0,0.15,1.0,0.96875
7,cross_entropy,0,0.05,0.179772,0.138762
7,cross_entropy,0,0.075,0.193659,0.107439
7,cross_entropy,0,0.1,0.188282,0.117507
7,cross_entropy,0,0.15,0.174608,0.103683
7,auc,1,0.05,0.903226,1.0
7,auc,1,0.075,1.0,1.0
7,auc,1,0.1,0.967742,1.0
7,auc,1,0.15,0.967742,1.0
7,accuracy,1,0.05,0.875,1.0
