batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,0.816667,0.85
0,auc,0,0.075,0.783333,0.85
0,auc,0,0.1,0.766667,0.783333
0,auc,0,0.15,0.566667,0.883333
0,accuracy,0,0.05,0.90625,0.96875
0,accuracy,0,0.075,0.9375,0.96875
0,accuracy,0,0.1,0.9375,0.9375
0,accuracy,0,0.15,0.84375,0.96875
0,cross_entropy,0,0.05,0.25064,0.194354
0,cross_entropy,0,0.075,0.254102,0.194035
0,cross_entropy,0,0.1,0.267784,0.198543
0,cross_entropy,0,0.15,0.34089,0.169665
0,auc,1,0.05,0.833333,0.816667
0,auc,1,0.075,0.833333,0.9
0,auc,1,0.1,0.783333,0.966667
0,auc,1,0.15,0.616667,1.0
0,accuracy,1,0.05,0.90625,0.96875
0,accuracy,1,0.075,0.90625,0.96875
0,accuracy,1,0.1,0.875,0.96875
0,accuracy,1,0.15,0.875,0.96875
0,cross_entropy,1,0.05,0.258814,0.193549
0,cross_entropy,1,0.075,0.270319,0.173536
0,cross_entropy,1,0.1,0.290765,0.143867
0,cross_entropy,1,0.15,0.36648,0.109576
1,auc,0,0.05,1.0,0.967742
1,auc,0,0.075,1.0,0.967742
1,auc,0,0.1,1.0,1.0
1,auc,0,0.15,0.967742,1.0
1,accuracy,0,0.05,0.9375,0.96875
1,accuracy,0,0.075,0.96875,0.96875
1,accuracy,0,0.1,0.96875,0.96875
1,accuracy,0,0.15,0.9375,1.0
1,cross_entropy,0,0.05,0.173704,0.136688
1,cross_entropy,0,0.075,0.211102,0.119176
1,cross_entropy,0,0.1,0.21815,0.120955
1,cross_entropy,0,0.15,0.248908,0.100871
1,auc,1,0.05,1.0,1.0
1,auc,1,0.075,1.0,1.0
1,auc,1,0.1,1.0,1.0
1,auc,1,0.15,0.967742,1.0
1,accuracy,1,0.05,0.9375,0.96875
1,accuracy,1,0.075,0.9375,0.96875
1,accuracy,1,0.1,0.96875,0.96875
1,accuracy,1,0.15,0.9375,1.0
1,cross_entropy,1,0.05,0.200818,0.132832
1,cross_entropy,1,0.075,0.205736,0.126553
1,cross_entropy,1,0.1,0.21509,0.130825
1,cross_entropy,1,0.15,0.264574,0.108518
2,auc,0,0.05,0.0,0.0
2,auc,0,0.075,0.0,0.0
2,auc,0,0.1,0.0,0.0
2,auc,0,0.15,0.0,0.0
2,accuracy,0,0.05,0.96875,1.0
2,accuracy,0,0.075,0.9375,1.0
2,accuracy,0,0.1,0.96875,1.0
2,accuracy,0,0.15,0.96875,1.0
2,cross_entropy,0,0.05,0.128852,0.112631
2,cross_entropy,0,0.075,0.143581,0.120284
2,cross_entropy,0,0.1,0.137516,0.110088
2,cross_entropy,0,0.15,0.160261,0.098973
2,auc,1,0.05,0.0,0.0
2,auc,1,0.075,0.0,0.0
2,auc,1,0.1,0.0,0.0
2,auc,1,0.15,0.0,0.0
2,accuracy,1,0.05,0.9375,1.0
2,accuracy,1,0.075,0.96875,1.0
2,accuracy,1,0.1,0.96875,1.0
2,accuracy,1,0.15,0.96875,1.0
2,cross_entropy,1,0.05,0.125404,0.107486
2,cross_entropy,1,0.075,0.133825,0.110677
2,cross_entropy,1,0.1,0.135949,0.122418
2,cross_entropy,1,0.15,0.141998,0.124571
3,auc,0,0.05,0.0,0.0
3,auc,0,0.075,0.0,0.0
3,auc,0,0.1,0.0,0.0
3,auc,0,0.15,0.0,0.0
3,accuracy,0,0.05,1.0,1.0
3,accuracy,0,0.075,0.96875,1.0
3,accuracy,0,0.1,0.96875,1.0
3,accuracy,0,0.15,0.96875,1.0
3,cross_entropy,0,0.05,0.090024,0.108298
3,cross_entropy,0,0.075,0.104181,0.102787
3,cross_entropy,0,0.1,0.115223,0.106731
3,cross_entropy,0,0.15,0.146108,0.096247
3,auc,1,0.05,0.0,0.0
3,auc,1,0.075,0.0,0.0
3,auc,1,0.1,0.0,0.0
3,auc,1,0.15,0.0,0.0
3,accuracy,1,0.05,1.0,1.0
3,accuracy,1,0.075,0.96875,1.0
3,accuracy,1,0.1,0.9375,1.0
3,accuracy,1,0.15,0.9375,1.0
3,cross_entropy,1,0.05,0.106049,0.094561
3,cross_entropy,1,0.075,0.116438,0.094553
3,cross_entropy,1,0.1,0.122804,0.089347
3,cross_entropy,1,0.15,0.143086,0.081997
4,auc,0,0.05,0.0,0.0
4,auc,0,0.075,0.0,0.0
4,auc,0,0.1,0.0,0.0
4,auc,0,0.15,0.0,0.0
4,accuracy,0,0.05,0.96875,1.0
4,accuracy,0,0.075,0.96875,1.0
4,accuracy,0,0.1,0.9375,1.0
4,accuracy,0,0.15,0.90625,1.0
4,cross_entropy,0,0.05,0.130297,0.089443
4,cross_entropy,0,0.075,0.16387,0.087522
4,cross_entropy,0,0.1,0.186744,0.081884
4,cross_entropy,0,0.15,0.230546,0.079677
4,auc,1,0.05,0.0,0.0
4,auc,1,0.075,0.0,0.0
4,auc,1,0.1,0.0,0.0
4,auc,1,0.15,0.0,0.0
4,accuracy,1,0.05,0.96875,1.0
4,accuracy,1,0.075,0.96875,1.0
4,accuracy,1,0.1,0.90625,1.0
4,accuracy,1,0.15,0.9375,0.96875
4,cross_entropy,1,0.05,0.137878,0.114769
4,cross_entropy,1,0.075,0.150132,0.114741
4,cross_entropy,1,0.1,0.166057,0.105538
4,cross_entropy,1,0.15,0.189077,0.106893
5,auc,0,0.05,1.0,1.0
5,auc,0,0.075,1.0,1.0
5,auc,0,0.1,1.0,1.0
5,auc,0,0.15,0.967742,1.0
5,accuracy,0,0.05,0.96875,1.0
5,accuracy,0,0.075,0.9375,1.0
5,accuracy,0,0.1,0.9375,1.0
5,accuracy,0,0.15,0.96875,1.0
5,cross_entropy,0,0.05,0.164044,0.08243
5,cross_entropy,0,0.075,0.185483,0.085023
5,cross_entropy,0,0.1,0.19042,0.084501
5,cross_entropy,0,0.15,0.203703,0.09116
5,auc,1,0.05,1.0,1.0
5,auc,1,0.075,1.0,1.0
5,auc,1,0.1,1.0,1.0
5,auc,1,0.15,0.967742,1.0
5,accuracy,1,0.05,0.96875,0.96875
5,accuracy,1,0.075,0.9375,1.0
5,accuracy,1,0.1,0.9375,1.0
5,accuracy,1,0.15,0.96875,1.0
5,cross_entropy,1,0.05,0.137242,0.097998
5,cross_entropy,1,0.075,0.171675,0.093633
5,cross_entropy,1,0.1,0.185655,0.095538
5,cross_entropy,1,0.15,0.193454,0.076549
6,auc,0,0.05,0.0,0.0
6,auc,0,0.075,0.0,0.0
6,auc,0,0.1,0.0,0.0
6,auc,0,0.15,0.0,0.0
6,accuracy,0,0.05,0.96875,0.96875
6,accuracy,0,0.075,0.96875,0.96875
6,accuracy,0,0.1,1.0,0.96875
6,accuracy,0,0.15,0.96875,1.0
6,cross_entropy,0,0.05,0.1191,0.131318
6,cross_entropy,0,0.075,0.114135,0.122851
6,cross_entropy,0,0.1,0.11904,0.127111
6,cross_entropy,0,0.15,0.135079,0.099194
6,auc,1,0.05,0.0,0.0
6,auc,1,0.075,0.0,0.0
6,auc,1,0.1,0.0,0.0
6,auc,1,0.15,0.0,0.0
6,accuracy,1,0.05,0.9375,0.96875
6,accuracy,1,0.075,0.96875,0.96875
6,accuracy,1,0.1,0.96875,0.9375
6,accuracy,1,0.15,1.0,0.9375
6,cross_entropy,1,0.05,0.143793,0.128861
6,cross_entropy,1,0.075,0.119621,0.12509
6,cross_entropy,1,0.1,0.122075,0.144488
6,cross_entropy,1,0.15,0.130279,0.116684
7,auc,0,0.05,0.935484,0.709677
7,auc,0,0.075,0.774194,1.0
7,auc,0,0.1,0.548387,1.0
7,auc,0,0.15,0.193548,1.0
7,accuracy,0,0.05,0.96875,0.96875
7,accuracy,0,0.075,0.9375,0.96875
7,accuracy,0,0.1,0.9375,0.96875
