batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,1.0,0.766667
0,auc,0,0.075,0.983333,0.683333
0,auc,0,0.1,0.966667,0.783333
0,auc,0,0.15,1.0,0.783333
0,accuracy,0,0.05,0.90625,0.9375
0,accuracy,0,0.075,0.84375,0.9375
0,accuracy,0,0.1,0.8125,0.9375
0,accuracy,0,0.15,0.6875,0.9375
0,cross_entropy,0,0.05,0.298023,0.25522
0,cross_entropy,0,0.075,0.414038,0.276087
0,cross_entropy,0,0.1,0.507028,0.281416
0,cross_entropy,0,0.15,0.653103,0.301774
0,auc,1,0.05,0.966667,0.983333
0,auc,1,0.075,0.933333,0.95
0,auc,1,0.1,0.833333,0.883333
0,auc,1,0.15,0.883333,0.916667
0,accuracy,1,0.05,0.9375,0.9375
0,accuracy,1,0.075,0.9375,0.78125
0,accuracy,1,0.1,0.9375,0.6875
0,accuracy,1,0.15,0.9375,0.59375
0,cross_entropy,1,0.05,0.176816,0.360042
0,cross_entropy,1,0.075,0.228901,0.455189
0,cross_entropy,1,0.1,0.261339,0.568394
0,cross_entropy,1,0.15,0.275113,0.75309
1,auc,0,0.05,0.0,0.0
1,auc,0,0.075,0.0,0.0
1,auc,0,0.1,0.0,0.0
1,auc,0,0.15,0.0,0.0
1,accuracy,0,0.05,0.84375,1.0
1,accuracy,0,0.075,0.5625,1.0
1,accuracy,0,0.1,0.53125,1.0
1,accuracy,0,0.15,0.375,1.0
1,cross_entropy,0,0.05,0.551848,0.02741
1,cross_entropy,0,0.075,0.816953,0.019893
1,cross_entropy,0,0.1,1.017924,0.014192
1,cross_entropy,0,0.15,1.331828,0.010058
1,auc,1,0.05,0.0,0.0
1,auc,1,0.075,0.0,0.0
1,auc,1,0.1,0.0,0.0
1,auc,1,0.15,0.0,0.0
1,accuracy,1,0.05,1.0,0.78125
1,accuracy,1,0.075,1.0,0.53125
1,accuracy,1,0.1,1.0,0.46875
1,accuracy,1,0.15,1.0,0.3125
1,cross_entropy,1,0.05,0.019789,0.571765
1,cross_entropy,1,0.075,0.014177,0.726807
1,cross_entropy,1,0.1,0.010258,0.890549
1,cross_entropy,1,0.15,0.007256,1.174206
2,auc,0,0.05,0.0,0.0
2,auc,0,0.075,0.0,0.0
2,auc,0,0.1,0.0,0.0
2,auc,0,0.15,0.0,0.0
2,accuracy,0,0.05,0.71875,1.0
2,accuracy,0,0.075,0.59375,1.0
2,accuracy,0,0.1,0.59375,1.0
2,accuracy,0,0.15,0.375,1.0
2,cross_entropy,0,0.05,0.601729,0.025923
2,cross_entropy,0,0.075,0.789482,0.017765
2,cross_entropy,0,0.1,0.925437,0.012901
2,cross_entropy,0,0.15,1.23858,0.007571
2,auc,1,0.05,0.0,0.0
2,auc,1,0.075,0.0,0.0
2,auc,1,0.1,0.0,0.0
2,auc,1,0.15,0.0,0.0
2,accuracy,1,0.05,1.0,0.59375
2,accuracy,1,0.075,1.0,0.4375
2,accuracy,1,0.1,1.0,0.4375
2,accuracy,1,0.15,1.0,0.28125
2,cross_entropy,1,0.05,0.020995,0.708305
2,cross_entropy,1,0.075,0.014773,0.904431
2,cross_entropy,1,0.1,0.010977,1.04056
2,cross_entropy,1,0.15,0.007405,1.340893
3,auc,0,0.05,1.0,0.804598
3,auc,0,0.075,1.0,0.724138
3,auc,0,0.1,1.0,0.689655
3,auc,0,0.15,1.0,0.735632
3,accuracy,0,0.05,0.9375,0.90625
3,accuracy,0,0.075,0.8125,0.90625
3,accuracy,0,0.1,0.71875,0.90625
3,accuracy,0,0.15,0.59375,0.90625
3,cross_entropy,0,0.05,0.262582,0.333154
3,cross_entropy,0,0.075,0.37214,0.365478
3,cross_entropy,0,0.1,0.475922,0.400034
3,cross_entropy,0,0.15,0.633738,0.417952
3,auc,1,0.05,0.977012,0.977012
3,auc,1,0.075,0.954023,1.0
3,auc,1,0.1,0.816092,1.0
3,auc,1,0.15,0.816092,1.0
3,accuracy,1,0.05,0.90625,0.90625
3,accuracy,1,0.075,0.90625,0.75
3,accuracy,1,0.1,0.90625,0.71875
3,accuracy,1,0.15,0.90625,0.53125
3,cross_entropy,1,0.05,0.216526,0.408155
3,cross_entropy,1,0.075,0.270401,0.508705
3,cross_entropy,1,0.1,0.325816,0.597611
3,cross_entropy,1,0.15,0.406779,0.753129
4,auc,0,0.05,0.0,0.0
4,auc,0,0.075,0.0,0.0
4,auc,0,0.1,0.0,0.0
4,auc,0,0.15,0.0,0.0
4,accuracy,0,0.05,0.875,1.0
4,accuracy,0,0.075,0.78125,1.0
4,accuracy,0,0.1,0.59375,1.0
4,accuracy,0,0.15,0.46875,1.0
4,cross_entropy,0,0.05,0.405898,0.031179
4,cross_entropy,0,0.075,0.59576,0.020683
4,cross_entropy,0,0.1,0.784255,0.014855
4,cross_entropy,0,0.15,1.068515,0.009957
4,auc,1,0.05,0.0,0.0
4,auc,1,0.075,0.0,0.0
4,auc,1,0.1,0.0,0.0
4,auc,1,0.15,0.0,0.0
4,accuracy,1,0.05,1.0,0.6875
4,accuracy,1,0.075,1.0,0.65625
4,accuracy,1,0.1,1.0,0.5625
4,accuracy,1,0.15,1.0,0.34375
4,cross_entropy,1,0.05,0.015328,0.518301
4,cross_entropy,1,0.075,0.010666,0.69843
4,cross_entropy,1,0.1,0.007855,0.84655
4,cross_entropy,1,0.15,0.004784,1.149086
5,auc,0,0.05,1.0,0.193548
5,auc,0,0.075,0.967742,0.290323
5,auc,0,0.1,0.967742,0.387097
5,auc,0,0.15,0.967742,0.580645
5,accuracy,0,0.05,0.78125,0.96875
5,accuracy,0,0.075,0.625,0.96875
5,accuracy,0,0.1,0.53125,0.96875
5,accuracy,0,0.15,0.4375,0.96875
5,cross_entropy,0,0.05,0.48852,0.158001
5,cross_entropy,0,0.075,0.668524,0.161601
5,cross_entropy,0,0.1,0.817907,0.159561
5,cross_entropy,0,0.15,1.021296,0.155062
5,auc,1,0.05,1.0,0.774194
5,auc,1,0.075,1.0,0.741935
5,auc,1,0.1,1.0,0.741935
5,auc,1,0.15,0.967742,0.806452
5,accuracy,1,0.05,0.96875,0.71875
5,accuracy,1,0.075,0.96875,0.59375
5,accuracy,1,0.1,0.96875,0.5
5,accuracy,1,0.15,0.96875,0.375
5,cross_entropy,1,0.05,0.08517,0.632916
5,cross_entropy,1,0.075,0.095814,0.808801
