batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,0.983333,0.9
0,auc,0,0.075,0.983333,0.9
0,auc,0,0.1,0.983333,0.9
0,auc,0,0.15,0.983333,0.916667
0,accuracy,0,0.05,0.15625,0.9375
0,accuracy,0,0.075,0.0625,0.9375
0,accuracy,0,0.1,0.0625,0.9375
0,accuracy,0,0.15,0.0625,0.9375
0,cross_entropy,0,0.05,1.48342,0.340341
0,cross_entropy,0,0.075,2.191167,0.390597
0,cross_entropy,0,0.1,2.761945,0.423422
0,cross_entropy,0,0.15,3.54736,0.459505
0,auc,1,0.05,1.0,0.95
0,auc,1,0.075,0.983333,0.95
0,auc,1,0.1,0.983333,0.983333
0,auc,1,0.15,0.983333,0.983333
0,accuracy,1,0.05,0.9375,0.15625
0,accuracy,1,0.075,0.9375,0.0625
0,accuracy,1,0.1,0.9375,0.0625
0,accuracy,1,0.15,0.9375,0.0625
0,cross_entropy,1,0.05,0.251831,1.592044
0,cross_entropy,1,0.075,0.316012,2.283895
0,cross_entropy,1,0.1,0.352745,2.819046
0,cross_entropy,1,0.15,0.409279,3.592612
1,auc,0,0.05,0.0,0.0
1,auc,0,0.075,0.0,0.0
1,auc,0,0.1,0.0,0.0
1,auc,0,0.15,0.0,0.0
1,accuracy,0,0.05,0.09375,1.0
1,accuracy,0,0.075,0.03125,1.0
1,accuracy,0,0.1,0.0,1.0
1,accuracy,0,0.15,0.0,1.0
1,cross_entropy,0,0.05,1.546869,0.002063
1,cross_entropy,0,0.075,2.321519,0.0009
1,cross_entropy,0,0.1,2.846405,0.000515
1,cross_entropy,0,0.15,3.624925,0.000278
1,auc,1,0.05,0.0,0.0
1,auc,1,0.075,0.0,0.0
1,auc,1,0.1,0.0,0.0
1,auc,1,0.15,0.0,0.0
1,accuracy,1,0.05,1.0,0.0625
1,accuracy,1,0.075,1.0,0.0
1,accuracy,1,0.1,1.0,0.0
1,accuracy,1,0.15,1.0,0.0
1,cross_entropy,1,0.05,0.001783,1.733042
1,cross_entropy,1,0.075,0.000767,2.375696
1,cross_entropy,1,0.1,0.000383,2.937809
1,cross_entropy,1,0.15,0.00017,3.670584
2,auc,0,0.05,0.967742,1.0
2,auc,0,0.075,1.0,0.967742
2,auc,0,0.1,0.935484,0.967742
2,auc,0,0.15,0.83871,1.0
2,accuracy,0,0.05,0.03125,0.96875
2,accuracy,0,0.075,0.03125,0.96875
2,accuracy,0,0.1,0.03125,0.96875
2,accuracy,0,0.15,0.03125,0.96875
2,cross_entropy,0,0.05,1.662951,0.132874
2,cross_entropy,0,0.075,2.441147,0.158197
2,cross_entropy,0,0.1,3.026276,0.16756
2,cross_entropy,0,0.15,3.920847,0.179095
2,auc,1,0.05,1.0,0.645161
2,auc,1,0.075,1.0,0.645161
2,auc,1,0.1,1.0,0.451613
2,auc,1,0.15,1.0,0.354839
2,accuracy,1,0.05,0.96875,0.09375
2,accuracy,1,0.075,0.96875,0.03125
2,accuracy,1,0.1,0.96875,0.03125
2,accuracy,1,0.15,0.96875,0.03125
2,cross_entropy,1,0.05,0.121338,2.04743
2,cross_entropy,1,0.075,0.138789,2.703623
2,cross_entropy,1,0.1,0.153188,3.186658
2,cross_entropy,1,0.15,0.176938,3.902343
3,auc,0,0.05,1.0,0.774194
3,auc,0,0.075,1.0,0.806452
3,auc,0,0.1,1.0,0.806452
3,auc,0,0.15,1.0,0.677419
3,accuracy,0,0.05,0.03125,0.96875
3,accuracy,0,0.075,0.03125,0.96875
3,accuracy,0,0.1,0.03125,0.96875
3,accuracy,0,0.15,0.03125,0.96875
3,cross_entropy,0,0.05,1.709269,0.174005
3,cross_entropy,0,0.075,2.408979,0.190235
3,cross_entropy,0,0.1,2.948676,0.208446
3,cross_entropy,0,0.15,3.655517,0.246107
3,auc,1,0.05,0.903226,1.0
3,auc,1,0.075,0.870968,1.0
3,auc,1,0.1,0.83871,1.0
3,auc,1,0.15,0.806452,1.0
3,accuracy,1,0.05,0.96875,0.0625
3,accuracy,1,0.075,0.96875,0.03125
3,accuracy,1,0.1,0.96875,0.03125
3,accuracy,1,0.15,0.96875,0.03125
3,cross_entropy,1,0.05,0.161627,1.708204
3,cross_entropy,1,0.075,0.18663,2.342706
3,cross_entropy,1,0.1,0.213307,2.829955
3,cross_entropy,1,0.15,0.239252,3.677032
4,auc,0,0.05,0.0,0.0
4,auc,0,0.075,0.0,0.0
4,auc,0,0.1,0.0,0.0
4,auc,0,0.15,0.0,0.0
4,accuracy,0,0.05,0.125,1.0
4,accuracy,0,0.075,0.0,1.0
4,accuracy,0,0.1,0.0,1.0
4,accuracy,0,0.15,0.0,1.0
4,cross_entropy,0,0.05,1.636942,0.002421
4,cross_entropy,0,0.075,2.314597,0.001151
4,cross_entropy,0,0.1,2.899743,0.000788
4,cross_entropy,0,0.15,3.744865,0.00027
4,auc,1,0.05,0.0,0.0
4,auc,1,0.075,0.0,0.0
4,auc,1,0.1,0.0,0.0
4,auc,1,0.15,0.0,0.0
4,accuracy,1,0.05,1.0,0.0
4,accuracy,1,0.075,1.0,0.0
4,accuracy,1,0.1,1.0,0.0
4,accuracy,1,0.15,1.0,0.0
4,cross_entropy,1,0.05,0.002388,1.732331
4,cross_entropy,1,0.075,0.00099,2.414057
4,cross_entropy,1,0.1,0.000567,3.007367
4,cross_entropy,1,0.15,0.000242,3.827262
5,auc,0,0.05,0.0,0.0
5,auc,0,0.075,0.0,0.0
5,auc,0,0.1,0.0,0.0
5,auc,0,0.15,0.0,0.0
5,accuracy,0,0.05,0.03125,1.0
5,accuracy,0,0.075,0.0,1.0
5,accuracy,0,0.1,0.0,1.0
5,accuracy,0,0.15,0.0,1.0
5,cross_entropy,0,0.05,1.995501,0.003695
5,cross_entropy,0,0.075,2.816775,0.002083
5,cross_entropy,0,0.1,3.393368,0.001161
5,cross_entropy,0,0.15,4.285302,0.001053
5,auc,1,0.05,0.0,0.0
5,auc,1,0.075,0.0,0.0
5,auc,1,0.1,0.0,0.0
5,auc,1,0.15,0.0,0.0
5,accuracy,1,0.05,1.0,0.0625
5,accuracy,1,0.075,1.0,0.0
5,accuracy,1,0.1,1.0,0.0
5,accuracy,1,0.15,1.0,0.0
5,cross_entropy,1,0.05,0.004182,1.986449
5,cross_entropy,1,0.075,0.00303,2.745705
5,cross_entropy,1,0.1,0.001871,3.312996
5,cross_entropy,1,0.15,0.001006,4.140254
6,auc,0,0.05,0.83908,0.885057
6,auc,0,0.075,0.758621,0.931034
6,auc,0,0.1,0.643678,0.942529
6,auc,0,0.15,0.517241,0.965517
6,accuracy,0,0.05,0.15625,0.90625
6,accuracy,0,0.075,0.09375,0.90625
6,accuracy,0,0.1,0.09375,0.90625
6,accuracy,0,0.15,0.09375,0.90625
6,cross_entropy,0,0.05,1.691329,0.449586
6,cross_entropy,0,0.075,2.430884,0.498608
6,cross_entropy,0,0.1,3.001831,0.550472
6,cross_entropy,0,0.15,3.776211,0.600106
6,auc,1,0.05,0.977012,0.586207
6,auc,1,0.075,0.965517,0.62069
6,auc,1,0.1,0.965517,0.528736
6,auc,1,0.15,0.965517,0.54023
6,accuracy,1,0.05,0.90625,0.15625
6,accuracy,1,0.075,0.90625,0.09375
6,accuracy,1,0.1,0.90625,0.09375
6,accuracy,1,0.15,0.90625,0.09375
6,cross_entropy,1,0.05,0.360511,1.935457
