batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,0.0,0.0
0,auc,0,0.075,0.0,0.0
0,auc,0,0.1,0.0,0.0
0,auc,0,0.15,0.0,0.0
0,accuracy,0,0.05,1.0,0.96875
0,accuracy,0,0.075,1.0,1.0
0,accuracy,0,0.1,1.0,1.0
0,accuracy,0,0.15,0.96875,1.0
0,cross_entropy,0,0.05,0.081154,0.12288
0,cross_entropy,0,0.075,0.097434,0.102686
0,cross_entropy,0,0.1,0.11225,0.097838
0,cross_entropy,0,0.15,0.118577,0.086879
0,auc,1,0.05,0.0,0.0
0,auc,1,0.075,0.0,0.0
0,auc,1,0.1,0.0,0.0
0,auc,1,0.15,0.0,0.0
0,accuracy,1,0.05,1.0,1.0
0,accuracy,1,0.075,1.0,1.0
0,accuracy,1,0.1,1.0,1.0
0,accuracy,1,0.15,0.96875,1.0
0,cross_entropy,1,0.05,0.080741,0.123396
0,cross_entropy,1,0.075,0.097911,0.104169
0,cross_entropy,1,0.1,0.111965,0.096799
0,cross_entropy,1,0.15,0.123982,0.087013
1,auc,0,0.05,0.91342,0.497836
1,auc,0,0.075,0.961039,0.463203
1,auc,0,0.1,0.935065,0.497836
1,auc,0,0.15,0.874459,0.428571
1,accuracy,0,0.05,0.875,0.65625
1,accuracy,0,0.075,0.90625,0.625
1,accuracy,0,0.1,0.90625,0.625
1,accuracy,0,0.15,0.75,0.65625
1,cross_entropy,0,0.05,0.474317,1.083841
1,cross_entropy,0,0.075,0.45646,1.065986
1,cross_entropy,0,0.1,0.453916,0.996453
1,cross_entropy,0,0.15,0.449336,0.959313
1,auc,1,0.05,0.891775,0.484848
1,auc,1,0.075,0.896104,0.484848
1,auc,1,0.1,0.909091,0.437229
1,auc,1,0.15,0.839827,0.441558
1,accuracy,1,0.05,0.84375,0.65625
1,accuracy,1,0.075,0.84375,0.625
1,accuracy,1,0.1,0.8125,0.625
1,accuracy,1,0.15,0.75,0.6875
1,cross_entropy,1,0.05,0.501683,1.06125
1,cross_entropy,1,0.075,0.480304,1.036955
1,cross_entropy,1,0.1,0.462525,1.026802
1,cross_entropy,1,0.15,0.476084,0.961272
2,auc,0,0.05,0.971014,0.657005
2,auc,0,0.075,0.89372,0.483092
2,auc,0,0.1,0.845411,0.434783
2,auc,0,0.15,0.753623,0.478261
2,accuracy,0,0.05,0.875,0.3125
2,accuracy,0,0.075,0.84375,0.3125
2,accuracy,0,0.1,0.8125,0.3125
2,accuracy,0,0.15,0.78125,0.34375
