batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,0.0,0.0
0,auc,0,0.075,0.0,0.0
0,auc,0,0.1,0.0,0.0
0,auc,0,0.15,0.0,0.0
0,accuracy,0,0.05,1.0,1.0
0,accuracy,0,0.075,1.0,1.0
0,accuracy,0,0.1,1.0,1.0
0,accuracy,0,0.15,1.0,1.0
0,cross_entropy,0,0.05,0.057716,0.105064
0,cross_entropy,0,0.075,0.069097,0.08434
0,cross_entropy,0,0.1,0.068617,0.084597
0,cross_entropy,0,0.15,0.083851,0.074604
0,auc,1,0.05,0.0,0.0
0,auc,1,0.075,0.0,0.0
0,auc,1,0.1,0.0,0.0
0,auc,1,0.15,0.0,0.0
0,accuracy,1,0.05,1.0,1.0
0,accuracy,1,0.075,1.0,1.0
0,accuracy,1,0.1,1.0,1.0
0,accuracy,1,0.15,1.0,1.0
0,cross_entropy,1,0.05,0.057716,0.105064
0,cross_entropy,1,0.075,0.069097,0.08434
0,cross_entropy,1,0.1,0.068617,0.084597
0,cross_entropy,1,0.15,0.083851,0.074604
1,auc,0,0.05,0.0,0.0
1,auc,0,0.075,0.0,0.0
1,auc,0,0.1,0.0,0.0
1,auc,0,0.15,0.0,0.0
1,accuracy,0,0.05,1.0,1.0
1,accuracy,0,0.075,1.0,1.0
1,accuracy,0,0.1,1.0,1.0
1,accuracy,0,0.15,1.0,1.0
1,cross_entropy,0,0.05,0.065687,0.102719
1,cross_entropy,0,0.075,0.06675,0.093304
1,cross_entropy,0,0.1,0.068835,0.094522
1,cross_entropy,0,0.15,0.071334,0.093301
1,auc,1,0.05,0.0,0.0
1,auc,1,0.075,0.0,0.0
1,auc,1,0.1,0.0,0.0
1,auc,1,0.15,0.0,0.0
1,accuracy,1,0.05,1.0,1.0
1,accuracy,1,0.075,1.0,1.0
1,accuracy,1,0.1,1.0,1.0
1,accuracy,1,0.15,1.0,1.0
1,cross_entropy,1,0.05,0.065687,0.102719
1,cross_entropy,1,0.075,0.06675,0.093304
1,cross_entropy,1,0.1,0.068835,0.094522
1,cross_entropy,1,0.15,0.071334,0.093301
2,auc,0,0.05,0.677419,0.935484
2,auc,0,0.075,0.548387,0.870968
2,auc,0,0.1,0.419355,0.83871
2,auc,0,0.15,0.548387,0.83871
2,accuracy,0,0.05,0.96875,0.96875
2,accuracy,0,0.075,0.96875,0.96875
2,accuracy,0,0.1,0.96875,0.9375
2,accuracy,0,0.15,0.96875,0.875
2,cross_entropy,0,0.05,0.415362,0.192331
