batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,0.0,0.0
0,auc,0,0.075,0.0,0.0
0,auc,0,0.1,0.0,0.0
0,auc,0,0.15,0.0,0.0
0,accuracy,0,0.05,1.0,1.0
0,accuracy,0,0.075,1.0,1.0
0,accuracy,0,0.1,1.0,1.0
0,accuracy,0,0.15,1.0,1.0
0,cross_entropy,0,0.05,0.083863,0.110451
0,cross_entropy,0,0.075,0.088038,0.104706
0,cross_entropy,0,0.1,0.085628,0.109982
0,cross_entropy,0,0.15,0.082091,0.113143
0,auc,1,0.05,0.0,0.0
0,auc,1,0.075,0.0,0.0
0,auc,1,0.1,0.0,0.0
0,auc,1,0.15,0.0,0.0
0,accuracy,1,0.05,1.0,1.0
0,accuracy,1,0.075,1.0,1.0
0,accuracy,1,0.1,1.0,1.0
0,accuracy,1,0.15,1.0,1.0
0,cross_entropy,1,0.05,0.080402,0.112029
0,cross_entropy,1,0.075,0.08351,0.105543
0,cross_entropy,1,0.1,0.082821,0.106044
0,cross_entropy,1,0.15,0.083786,0.104988
1,auc,0,0.05,1.0,0.95
1,auc,0,0.075,1.0,0.9
1,auc,0,0.1,1.0,0.933333
1,auc,0,0.15,1.0,1.0
1,accuracy,0,0.05,1.0,0.9375
1,accuracy,0,0.075,1.0,0.9375
1,accuracy,0,0.1,0.96875,0.9375
1,accuracy,0,0.15,0.96875,0.96875
1,cross_entropy,0,0.05,0.107743,0.18972
1,cross_entropy,0,0.075,0.116918,0.187148
1,cross_entropy,0,0.1,0.117908,0.18443
1,cross_entropy,0,0.15,0.138548,0.131787
1,auc,1,0.05,1.0,0.933333
1,auc,1,0.075,1.0,0.916667
1,auc,1,0.1,1.0,0.933333
1,auc,1,0.15,1.0,1.0
1,accuracy,1,0.05,0.96875,0.9375
1,accuracy,1,0.075,0.96875,0.9375
1,accuracy,1,0.1,0.96875,0.9375
1,accuracy,1,0.15,0.9375,0.96875
1,cross_entropy,1,0.05,0.114473,0.189059
1,cross_entropy,1,0.075,0.112704,0.202139
1,cross_entropy,1,0.1,0.127537,0.180302
1,cross_entropy,1,0.15,0.137566,0.135262
2,auc,0,0.05,0.0,0.0
2,auc,0,0.075,0.0,0.0
2,auc,0,0.1,0.0,0.0
2,auc,0,0.15,0.0,0.0
2,accuracy,0,0.05,1.0,1.0
2,accuracy,0,0.075,1.0,1.0
2,accuracy,0,0.1,1.0,1.0
2,accuracy,0,0.15,1.0,1.0
2,cross_entropy,0,0.05,0.069188,0.122817
