batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,1.0,1.0
0,auc,0,0.075,1.0,1.0
0,auc,0,0.1,0.967742,1.0
0,auc,0,0.15,0.806452,1.0
0,accuracy,0,0.05,1.0,1.0
0,accuracy,0,0.075,0.96875,1.0
0,accuracy,0,0.1,0.9375,1.0
0,accuracy,0,0.15,0.9375,1.0
0,cross_entropy,0,0.05,0.172516,0.120873
0,cross_entropy,0,0.075,0.174296,0.133838
0,cross_entropy,0,0.1,0.187819,0.133252
0,cross_entropy,0,0.15,0.19245,0.181303
0,auc,1,0.05,0.967742,1.0
0,auc,1,0.075,0.903226,1.0
0,auc,1,0.1,0.83871,1.0
0,auc,1,0.15,0.741935,1.0
0,accuracy,1,0.05,0.96875,1.0
0,accuracy,1,0.075,0.875,0.96875
0,accuracy,1,0.1,0.90625,0.96875
0,accuracy,1,0.15,0.9375,1.0
0,cross_entropy,1,0.05,0.191534,0.117856
0,cross_entropy,1,0.075,0.193848,0.131976
0,cross_entropy,1,0.1,0.215062,0.12649
0,cross_entropy,1,0.15,0.223707,0.141432
1,auc,0,0.05,1.0,0.290323
1,auc,0,0.075,1.0,0.516129
1,auc,0,0.1,1.0,0.548387
1,auc,0,0.15,1.0,0.419355
1,accuracy,0,0.05,0.96875,0.96875
1,accuracy,0,0.075,0.96875,0.96875
1,accuracy,0,0.1,0.96875,0.96875
1,accuracy,0,0.15,1.0,0.96875
1,cross_entropy,0,0.05,0.101202,0.202463
1,cross_entropy,0,0.075,0.115195,0.187527
1,cross_entropy,0,0.1,0.114008,0.192024
1,cross_entropy,0,0.15,0.110158,0.202387
1,auc,1,0.05,1.0,0.225806
1,auc,1,0.075,1.0,0.419355
1,auc,1,0.1,1.0,0.451613
1,auc,1,0.15,0.967742,0.645161
1,accuracy,1,0.05,0.96875,0.96875
1,accuracy,1,0.075,1.0,0.96875
1,accuracy,1,0.1,0.96875,0.96875
1,accuracy,1,0.15,0.96875,0.96875
1,cross_entropy,1,0.05,0.097532,0.210402
1,cross_entropy,1,0.075,0.110827,0.203882
1,cross_entropy,1,0.1,0.126901,0.193535
1,cross_entropy,1,0.15,0.131596,0.166372
2,auc,0,0.05,0.774194,0.967742
2,auc,0,0.075,0.709677,1.0
2,auc,0,0.1,0.612903,1.0
2,auc,0,0.15,0.387097,1.0
2,accuracy,0,0.05,0.96875,0.96875
2,accuracy,0,0.075,0.96875,0.96875
2,accuracy,0,0.1,0.96875,1.0
2,accuracy,0,0.15,0.96875,1.0
2,cross_entropy,0,0.05,0.181515,0.153528
2,cross_entropy,0,0.075,0.192722,0.125456
2,cross_entropy,0,0.1,0.19583,0.1328
2,cross_entropy,0,0.15,0.208995,0.14054
2,auc,1,0.05,0.806452,0.967742
2,auc,1,0.075,0.612903,1.0
2,auc,1,0.1,0.483871,1.0
2,auc,1,0.15,0.483871,1.0
2,accuracy,1,0.05,0.96875,0.96875
2,accuracy,1,0.075,0.96875,1.0
2,accuracy,1,0.1,0.9375,1.0
2,accuracy,1,0.15,0.96875,1.0
2,cross_entropy,1,0.05,0.180703,0.146423
2,cross_entropy,1,0.075,0.200898,0.132178
2,cross_entropy,1,0.1,0.227156,0.129477
2,cross_entropy,1,0.15,0.218099,0.136369
3,auc,0,0.05,1.0,0.967742
3,auc,0,0.075,1.0,1.0
3,auc,0,0.1,1.0,1.0
3,auc,0,0.15,0.935484,1.0
3,accuracy,0,0.05,0.96875,0.9375
3,accuracy,0,0.075,0.96875,0.96875
3,accuracy,0,0.1,0.96875,0.96875
3,accuracy,0,0.15,0.96875,1.0
3,cross_entropy,0,0.05,0.111187,0.165331
3,cross_entropy,0,0.075,0.122112,0.150477
3,cross_entropy,0,0.1,0.119272,0.158183
3,cross_entropy,0,0.15,0.12268,0.16473
3,auc,1,0.05,0.967742,1.0
3,auc,1,0.075,1.0,0.967742
3,auc,1,0.1,1.0,1.0
3,auc,1,0.15,0.967742,0.903226
3,accuracy,1,0.05,0.96875,0.96875
3,accuracy,1,0.075,0.96875,0.96875
3,accuracy,1,0.1,0.96875,0.96875
3,accuracy,1,0.15,0.96875,0.90625
