batch_index,explainer,metric,area,comp,suff
0,feature_ablation,mae,0.01,1.3915979862213135,2.8906092643737793
0,feature_ablation,mse,0.01,0.11953036487102509,0.5383840203285217
0,feature_ablation,mae,0.02,2.695396900177002,3.0699644088745117
0,feature_ablation,mse,0.02,0.4809666872024536,0.6065535545349121
0,feature_ablation,mae,0.05,4.044844627380371,4.121198654174805
0,feature_ablation,mse,0.05,0.9908499717712402,0.8727760314941406
0,feature_ablation,mae,0.95,3.950018882751465,3.8500938415527344
0,feature_ablation,mse,0.95,0.9125887155532837,0.7967679500579834
0,feature_ablation,mae,0.99,2.9198412895202637,1.2248551845550537
0,feature_ablation,mse,0.99,0.6001604199409485,0.08413897454738617
1,feature_ablation,mae,0.01,2.469313383102417,5.687071800231934
1,feature_ablation,mse,0.01,0.3013128936290741,2.000593662261963
1,feature_ablation,mae,0.02,4.988399028778076,6.097609043121338
1,feature_ablation,mse,0.02,1.2512770891189575,2.390806198120117
1,feature_ablation,mae,0.05,7.631875038146973,7.8940324783325195
1,feature_ablation,mse,0.05,2.8386168479919434,3.392214298248291
1,feature_ablation,mae,0.95,8.938566207885742,8.744007110595703
1,feature_ablation,mse,0.95,3.8546056747436523,3.862910270690918
1,feature_ablation,mae,0.99,5.652634620666504,2.5475099086761475
1,feature_ablation,mse,0.99,1.9527151584625244,0.3676018714904785
2,feature_ablation,mae,0.01,1.4825797080993652,2.597627878189087
2,feature_ablation,mse,0.01,0.1346459835767746,0.5950607657432556
2,feature_ablation,mae,0.02,2.9011454582214355,3.283076524734497
2,feature_ablation,mse,0.02,0.5073469877243042,0.790664792060852
2,feature_ablation,mae,0.05,4.182995319366455,4.246252536773682
2,feature_ablation,mse,0.05,1.0011138916015625,1.1297718286514282
2,feature_ablation,mae,0.95,4.167139530181885,4.09909200668335
2,feature_ablation,mse,0.95,1.0001168251037598,1.087022066116333
2,feature_ablation,mae,0.99,2.654905080795288,1.4217455387115479
2,feature_ablation,mse,0.99,0.5370454788208008,0.15678086876869202
