batch_index,explainer,metric,area,comp,suff
0,feature_ablation,mae,0.01,1.2135066986083984,2.718268871307373
0,feature_ablation,mse,0.01,0.10618169605731964,0.48608285188674927
0,feature_ablation,mae,0.02,2.082874298095703,2.613485097885132
0,feature_ablation,mse,0.02,0.34862643480300903,0.45554834604263306
0,feature_ablation,mae,0.05,2.778907060623169,2.1264543533325195
0,feature_ablation,mse,0.05,0.6031920909881592,0.2846519649028778
0,feature_ablation,mae,0.95,3.3479533195495605,0.0435650572180748
0,feature_ablation,mse,0.95,0.7232025265693665,0.0033717199694365263
0,feature_ablation,mae,0.99,3.3479533195495605,0.0
0,feature_ablation,mse,0.99,0.7232025265693665,0.0
1,feature_ablation,mae,0.01,3.0880210399627686,4.50877046585083
1,feature_ablation,mse,0.01,0.48209095001220703,1.3373112678527832
1,feature_ablation,mae,0.02,5.542035102844238,3.9039785861968994
1,feature_ablation,mse,0.02,1.675170660018921,1.1694738864898682
1,feature_ablation,mae,0.05,5.878834247589111,2.7659294605255127
1,feature_ablation,mse,0.05,2.099229335784912,0.5302836894989014
1,feature_ablation,mae,0.95,6.138045310974121,0.010956265032291412
1,feature_ablation,mse,0.95,2.1092190742492676,0.00010754665709100664
1,feature_ablation,mae,0.99,6.134485721588135,0.0
1,feature_ablation,mse,0.99,2.106367588043213,0.0
2,feature_ablation,mae,0.01,1.1189020872116089,2.521045207977295
2,feature_ablation,mse,0.01,0.13450424373149872,0.49146753549575806
2,feature_ablation,mae,0.02,2.16326904296875,3.046283006668091
2,feature_ablation,mse,0.02,0.4660682678222656,0.6252333521842957
2,feature_ablation,mae,0.05,2.0919220447540283,2.0299370288848877
2,feature_ablation,mse,0.05,0.5328829288482666,0.35655975341796875
2,feature_ablation,mae,0.95,2.6709980964660645,0.031906578689813614
2,feature_ablation,mse,0.95,0.6961725354194641,0.0005086605669930577
2,feature_ablation,mae,0.99,2.6709980964660645,0.0
2,feature_ablation,mse,0.99,0.6961725354194641,0.0
