batch_index,explainer,metric,area,comp,suff
0,feature_ablation,mae,0.01,0.22809559106826782,2.1949896812438965
0,feature_ablation,mse,0.01,0.0023865564726293087,0.26060280203819275
0,feature_ablation,mae,0.02,0.4796755909919739,2.1622862815856934
0,feature_ablation,mse,0.02,0.010461538098752499,0.2471994161605835
0,feature_ablation,mae,0.05,1.0444707870483398,2.0030393600463867
0,feature_ablation,mse,0.05,0.04975762963294983,0.20477549731731415
0,feature_ablation,mae,0.95,2.586672782897949,0.8160743117332458
0,feature_ablation,mse,0.95,0.40522515773773193,0.03371907398104668
0,feature_ablation,mae,0.99,2.341038465499878,0.20988117158412933
0,feature_ablation,mse,0.99,0.31108778715133667,0.0027827280573546886
1,feature_ablation,mae,0.01,0.49104052782058716,1.8925018310546875
1,feature_ablation,mse,0.01,0.010755907744169235,0.3015497922897339
1,feature_ablation,mae,0.02,1.0203169584274292,1.738156795501709
1,feature_ablation,mse,0.02,0.048919279128313065,0.25611162185668945
1,feature_ablation,mae,0.05,1.9253120422363281,1.6345300674438477
1,feature_ablation,mse,0.05,0.17586582899093628,0.19519449770450592
1,feature_ablation,mae,0.95,3.0799384117126465,1.1142230033874512
1,feature_ablation,mse,0.95,0.5550522208213806,0.05617525428533554
1,feature_ablation,mae,0.99,2.3637309074401855,0.46891528367996216
1,feature_ablation,mse,0.99,0.38732361793518066,0.014703123830258846
2,feature_ablation,mae,0.01,0.3043409287929535,0.815801739692688
2,feature_ablation,mse,0.01,0.004732050932943821,0.04446939751505852
2,feature_ablation,mae,0.02,0.6093569397926331,0.7569359540939331
2,feature_ablation,mse,0.02,0.019281553104519844,0.04295870289206505
2,feature_ablation,mae,0.05,0.9437821507453918,0.7774327397346497
2,feature_ablation,mse,0.05,0.04571674391627312,0.0491720475256443
2,feature_ablation,mae,0.95,0.9382643103599548,0.7630723118782043
2,feature_ablation,mse,0.95,0.06364710628986359,0.02662973664700985
2,feature_ablation,mae,0.99,0.8488481640815735,0.2755477726459503
2,feature_ablation,mse,0.99,0.04398173838853836,0.003659979673102498
