explainer,metric,area,comp,suff
feature_ablation,mae,0.01,0.739,15.6214
feature_ablation,mae,0.02,1.7176,15.1724
feature_ablation,mae,0.05,3.7103,14.7256
feature_ablation,mae,0.95,14.8159,3.9431
feature_ablation,mae,0.99,15.9081,0.8789
feature_ablation,mse,0.01,0.0263,13.0144
feature_ablation,mse,0.02,0.1391,13.041
feature_ablation,mse,0.05,0.6383,13.8887
feature_ablation,mse,0.95,10.9228,0.8297
feature_ablation,mse,0.99,12.3952,0.0438
gradient_shap,mae,0.01,0.7192,15.6423
gradient_shap,mae,0.02,1.6745,15.2164
gradient_shap,mae,0.05,3.6856,14.8318
gradient_shap,mae,0.95,14.7643,3.7737
gradient_shap,mae,0.99,15.8345,0.8295
gradient_shap,mse,0.01,0.0254,13.0896
gradient_shap,mse,0.02,0.1344,13.2135
gradient_shap,mse,0.05,0.6348,14.148
gradient_shap,mse,0.95,10.9611,0.7582
gradient_shap,mse,0.99,12.259,0.04
