dataset,model,iteration,name,timestamp,duration,settings
traffic,DLinear,1,feature_ablation,2024-07-26 00:28:04.747253,0:01:13.289547,
electricity,DLinear,1,feature_ablation,2024-07-26 00:28:09.959615,0:01:49.416156,
mimic_iii,DLinear,1,feature_ablation,2024-07-26 00:29:14.800882,0:01:51.229460,
traffic,DLinear,1,occlusion,2024-07-26 00:29:21.365292,0:01:16.421697,
electricity,DLinear,1,occlusion,2024-07-26 00:30:04.016427,0:01:53.830400,
traffic,DLinear,1,augmented_occlusion,2024-07-26 00:30:40.489516,0:01:18.929189,
mimic_iii,DLinear,1,occlusion,2024-07-26 00:31:19.989534,0:02:05.031042,
traffic,DLinear,1,feature_permutation,2024-07-26 00:31:56.838322,0:01:16.156718,
electricity,DLinear,1,augmented_occlusion,2024-07-26 00:32:01.384144,0:01:57.147398,
traffic,DLinear,1,integrated_gradients,2024-07-26 00:33:31.449850,0:01:34.417216,
mimic_iii,DLinear,1,augmented_occlusion,2024-07-26 00:33:33.449208,0:02:13.303368,
electricity,DLinear,1,feature_permutation,2024-07-26 00:33:54.990071,0:01:53.384071,
traffic,DLinear,1,gradient_shap,2024-07-26 00:34:30.375277,0:00:58.722687,
traffic,DLinear,1,dyna_mask,2024-07-26 00:35:27.433726,0:00:56.867730,
mimic_iii,DLinear,1,feature_permutation,2024-07-26 00:35:36.297536,0:02:02.697526,
mimic_iii,DLinear,1,integrated_gradients,2024-07-26 00:35:58.603085,0:00:22.153730,
electricity,DLinear,1,integrated_gradients,2024-07-26 00:36:11.855328,0:02:16.650495,
mimic_iii,DLinear,1,gradient_shap,2024-07-26 00:36:16.896259,0:00:18.140687,
mimic_iii,DLinear,1,dyna_mask,2024-07-26 00:36:47.763489,0:00:30.681499,
traffic,DLinear,1,winIT,2024-07-26 00:37:14.491197,0:01:46.854047,
electricity,DLinear,1,gradient_shap,2024-07-26 00:37:40.445017,0:01:28.356078,
traffic,DLinear,1,wtsr,2024-07-26 00:38:29.723105,0:01:15.033684,
electricity,DLinear,1,dyna_mask,2024-07-26 00:39:07.786076,0:01:27.118727,
electricity,DLinear,1,winIT,2024-07-26 00:41:53.238601,0:02:45.233011,
mimic_iii,DLinear,1,winIT,2024-07-26 00:43:38.392189,0:06:50.459359,
electricity,DLinear,1,wtsr,2024-07-26 00:43:46.606324,0:01:53.147524,
mimic_iii,DLinear,1,wtsr,2024-07-26 00:48:01.956399,0:04:23.407942,
traffic,DLinear,2,feature_ablation,2024-07-26 00:57:05.548364,0:01:13.459303,
mimic_iii,DLinear,2,feature_ablation,2024-07-26 00:57:58.729147,0:01:51.585282,
traffic,DLinear,2,occlusion,2024-07-26 00:58:22.864125,0:01:17.113824,
traffic,DLinear,2,augmented_occlusion,2024-07-26 00:59:42.772187,0:01:19.643236,
mimic_iii,DLinear,2,occlusion,2024-07-26 01:00:04.839356,0:02:05.952695,
traffic,DLinear,2,feature_permutation,2024-07-26 01:00:59.678210,0:01:16.702544,
mimic_iii,DLinear,2,augmented_occlusion,2024-07-26 01:02:19.595378,0:02:14.590525,
traffic,DLinear,2,integrated_gradients,2024-07-26 01:02:34.395343,0:01:34.517119,
traffic,DLinear,2,gradient_shap,2024-07-26 01:03:33.910862,0:00:59.310674,
mimic_iii,DLinear,2,feature_permutation,2024-07-26 01:04:23.494285,0:02:03.740427,
traffic,DLinear,2,dyna_mask,2024-07-26 01:04:31.183815,0:00:57.073788,
mimic_iii,DLinear,2,integrated_gradients,2024-07-26 01:04:46.020345,0:00:22.371419,
mimic_iii,DLinear,2,gradient_shap,2024-07-26 01:05:04.411740,0:00:18.236553,
mimic_iii,DLinear,2,dyna_mask,2024-07-26 01:05:28.957530,0:00:24.394403,
traffic,DLinear,2,winIT,2024-07-26 01:06:18.372466,0:01:46.987969,
traffic,DLinear,2,wtsr,2024-07-26 01:07:33.636625,0:01:15.071377,
electricity,DLinear,2,feature_ablation,2024-07-26 01:11:30.430947,0:01:50.398929,
mimic_iii,DLinear,2,winIT,2024-07-26 01:12:19.412943,0:06:50.295835,
electricity,DLinear,2,occlusion,2024-07-26 01:13:27.319446,0:01:56.671497,
electricity,DLinear,2,augmented_occlusion,2024-07-26 01:15:26.806234,0:01:59.269019,
mimic_iii,DLinear,2,wtsr,2024-07-26 01:16:42.583474,0:04:23.016470,
electricity,DLinear,2,feature_permutation,2024-07-26 01:17:22.733244,0:01:55.696003,
electricity,DLinear,2,integrated_gradients,2024-07-26 01:19:42.056419,0:02:19.042451,
electricity,DLinear,2,gradient_shap,2024-07-26 01:21:12.444191,0:01:30.170931,
electricity,DLinear,2,dyna_mask,2024-07-26 01:22:39.407338,0:01:26.745884,
electricity,DLinear,2,winIT,2024-07-26 01:25:25.338078,0:02:45.714448,
traffic,DLinear,3,feature_ablation,2024-07-26 01:26:08.958378,0:01:13.700232,
mimic_iii,DLinear,3,feature_ablation,2024-07-26 01:26:38.104416,0:01:51.220847,
electricity,DLinear,2,wtsr,2024-07-26 01:27:18.860863,0:01:53.306883,
traffic,DLinear,3,occlusion,2024-07-26 01:27:26.586609,0:01:17.429888,
mimic_iii,DLinear,3,occlusion,2024-07-26 01:28:43.677554,0:02:05.415211,
traffic,DLinear,3,augmented_occlusion,2024-07-26 01:28:46.177578,0:01:19.394712,
traffic,DLinear,3,feature_permutation,2024-07-26 01:30:02.969254,0:01:16.595034,
mimic_iii,DLinear,3,augmented_occlusion,2024-07-26 01:30:58.839500,0:02:14.985554,
traffic,DLinear,3,integrated_gradients,2024-07-26 01:31:37.770338,0:01:34.604985,
traffic,DLinear,3,gradient_shap,2024-07-26 01:32:37.609733,0:00:59.639733,
mimic_iii,DLinear,3,feature_permutation,2024-07-26 01:33:03.365446,0:02:04.373123,
mimic_iii,DLinear,3,integrated_gradients,2024-07-26 01:33:25.514994,0:00:21.991523,
traffic,DLinear,3,dyna_mask,2024-07-26 01:33:34.604268,0:00:56.769816,
mimic_iii,DLinear,3,gradient_shap,2024-07-26 01:33:44.314283,0:00:18.643501,
mimic_iii,DLinear,3,dyna_mask,2024-07-26 01:34:13.995787,0:00:29.528887,
traffic,DLinear,3,winIT,2024-07-26 01:35:21.880406,0:01:47.073287,
traffic,DLinear,3,wtsr,2024-07-26 01:36:37.484004,0:01:15.403670,
mimic_iii,DLinear,3,winIT,2024-07-26 01:41:04.937209,0:06:50.768180,
mimic_iii,DLinear,3,wtsr,2024-07-26 01:45:27.182862,0:04:22.092440,
electricity,DLinear,3,feature_ablation,2024-07-26 01:55:04.541767,0:01:50.853362,
electricity,DLinear,3,occlusion,2024-07-26 01:57:02.104504,0:01:57.343239,
traffic,MICN,1,feature_ablation,2024-07-26 01:58:37.138737,0:04:19.126906,
electricity,DLinear,3,augmented_occlusion,2024-07-26 01:59:02.172972,0:01:59.853010,
mimic_iii,MICN,1,feature_ablation,2024-07-26 02:00:36.964230,0:06:48.421421,
electricity,DLinear,3,feature_permutation,2024-07-26 02:00:58.410981,0:01:56.015089,
traffic,MICN,1,occlusion,2024-07-26 02:02:57.573863,0:04:20.234796,
electricity,DLinear,3,integrated_gradients,2024-07-26 02:03:16.987690,0:02:18.360216,
electricity,DLinear,3,gradient_shap,2024-07-26 02:04:47.149566,0:01:29.939520,
electricity,DLinear,3,dyna_mask,2024-07-26 02:06:14.108626,0:01:26.704491,
traffic,MICN,1,augmented_occlusion,2024-07-26 02:07:19.663981,0:04:21.894964,
mimic_iii,MICN,1,occlusion,2024-07-26 02:07:38.307749,0:07:01.178155,
electricity,DLinear,3,winIT,2024-07-26 02:09:00.318435,0:02:45.961304,
electricity,DLinear,3,wtsr,2024-07-26 02:10:54.408595,0:01:53.839890,
traffic,MICN,1,feature_permutation,2024-07-26 02:11:39.491324,0:04:19.560285,
mimic_iii,MICN,1,augmented_occlusion,2024-07-26 02:14:46.445801,0:07:07.984052,
