batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,1.421885,28.096684
0,mae,0,0.075,1.957852,27.236877
0,mae,0,0.1,2.198919,26.284376
0,mae,0,0.15,2.65857,24.426495
0,mse,0,0.05,0.195927,44.453041
0,mse,0,0.075,0.3353,42.08828
0,mse,0,0.1,0.432338,39.467274
0,mse,0,0.15,0.533134,34.499928
0,mae,1,0.05,2.736259,27.276529
0,mae,1,0.075,3.071648,26.35618
0,mae,1,0.1,3.201097,25.763361
0,mae,1,0.15,4.258756,23.604824
0,mse,1,0.05,0.824079,41.736172
0,mse,1,0.075,0.876868,39.240173
0,mse,1,0.1,0.92917,37.5868
0,mse,1,0.15,1.384677,32.371544
0,mae,2,0.05,2.373399,27.136784
0,mae,2,0.075,3.118857,26.086143
0,mae,2,0.1,3.925417,25.026791
0,mae,2,0.15,5.174128,23.077942
0,mse,2,0.05,0.527193,41.59211
0,mse,2,0.075,0.798372,38.570873
0,mse,2,0.1,1.345141,35.738342
0,mse,2,0.15,2.243298,31.212662
0,mae,3,0.05,2.489748,26.993778
0,mae,3,0.075,3.335408,25.468548
0,mae,3,0.1,3.820621,24.885075
0,mae,3,0.15,4.830799,23.20499
0,mse,3,0.05,0.680748,40.930717
0,mse,3,0.075,0.960975,37.009937
0,mse,3,0.1,1.226995,35.354912
0,mse,3,0.15,1.925621,31.255898
0,mae,4,0.05,2.04844,27.344109
0,mae,4,0.075,2.902964,25.775505
0,mae,4,0.1,3.611691,24.740849
0,mae,4,0.15,4.730296,22.731777
0,mse,4,0.05,0.455533,41.919708
0,mse,4,0.075,0.75041,37.627289
0,mse,4,0.1,1.163909,35.038521
0,mse,4,0.15,1.765464,30.158428
0,mae,5,0.05,1.270226,28.179388
0,mae,5,0.075,2.305081,27.391167
0,mae,5,0.1,3.191256,26.328579
0,mae,5,0.15,4.713454,24.56045
0,mse,5,0.05,0.182716,45.121399
0,mse,5,0.075,0.456521,43.304337
0,mse,5,0.1,0.864164,39.867023
0,mse,5,0.15,1.734109,35.077648
0,mae,6,0.05,1.711915,27.679073
0,mae,6,0.075,2.867065,26.86499
0,mae,6,0.1,3.168155,26.399902
0,mae,6,0.15,3.714079,24.891933
0,mse,6,0.05,0.354029,43.220741
0,mse,6,0.075,0.831497,41.002098
0,mse,6,0.1,0.981283,39.739632
0,mse,6,0.15,1.132346,35.87587
0,mae,7,0.05,1.107402,28.238073
0,mae,7,0.075,1.716491,27.491739
0,mae,7,0.1,2.139813,26.966255
0,mae,7,0.15,3.392361,25.601297
0,mse,7,0.05,0.125762,44.939445
0,mse,7,0.075,0.250596,42.842712
0,mse,7,0.1,0.417736,41.3004
0,mse,7,0.15,0.941184,38.081207
0,mae,8,0.05,1.414442,28.185642
0,mae,8,0.075,1.756684,27.541809
0,mae,8,0.1,2.179402,26.912601
0,mae,8,0.15,3.00461,25.047806
0,mse,8,0.05,0.181405,44.98922
0,mse,8,0.075,0.267553,42.917336
0,mse,8,0.1,0.429754,41.158497
0,mse,8,0.15,0.750972,36.444889
0,mae,9,0.05,2.825924,27.34409
0,mae,9,0.075,3.273516,26.620514
0,mae,9,0.1,3.23064,25.878437
0,mae,9,0.15,4.17732,23.426023
0,mse,9,0.05,0.934959,43.12075
0,mse,9,0.075,1.095276,41.184258
0,mse,9,0.1,1.003393,39.208843
0,mse,9,0.15,1.482217,33.210365
0,mae,10,0.05,2.288714,27.927654
0,mae,10,0.075,2.766733,27.001602
0,mae,10,0.1,3.704237,26.167437
0,mae,10,0.15,5.490616,23.841623
0,mse,10,0.05,0.438456,43.717499
0,mse,10,0.075,0.593232,40.978909
0,mse,10,0.1,1.216307,39.270912
0,mse,10,0.15,2.537238,33.810799
0,mae,11,0.05,2.893648,26.917978
0,mae,11,0.075,3.751694,25.164858
0,mae,11,0.1,4.501356,24.687248
0,mae,11,0.15,5.383395,22.937756
0,mse,11,0.05,0.934418,41.151016
0,mse,11,0.075,1.255225,36.910625
0,mse,11,0.1,1.951267,35.632099
0,mse,11,0.15,2.609386,30.759832
0,mae,12,0.05,1.848994,26.981798
0,mae,12,0.075,3.415826,25.117167
0,mae,12,0.1,4.559537,24.446646
0,mae,12,0.15,5.191545,22.055141
0,mse,12,0.05,0.325692,41.686848
0,mse,12,0.075,1.071502,36.68
0,mse,12,0.1,1.708188,35.061447
0,mse,12,0.15,2.140413,29.066216
0,mae,13,0.05,1.683241,27.750273
0,mae,13,0.075,2.624713,26.762434
0,mae,13,0.1,3.546286,25.515541
0,mae,13,0.15,5.099765,23.252941
0,mse,13,0.05,0.394578,43.51783
0,mse,13,0.075,0.669485,40.628777
0,mse,13,0.1,1.123007,37.097614
0,mse,13,0.15,2.089758,31.710747
0,mae,14,0.05,1.790596,27.588631
0,mae,14,0.075,3.106268,26.800158
0,mae,14,0.1,3.407254,26.258263
0,mae,14,0.15,4.051721,24.213419
0,mse,14,0.05,0.35918,42.997047
0,mse,14,0.075,1.038242,40.817886
0,mse,14,0.1,1.047,39.309521
0,mse,14,0.15,1.374638,34.054802
0,mae,15,0.05,1.104181,27.879465
0,mae,15,0.075,1.919448,27.200069
0,mae,15,0.1,2.275101,26.698593
0,mae,15,0.15,3.302379,25.120596
0,mse,15,0.05,0.122325,44.001175
0,mse,15,0.075,0.330006,42.068768
0,mse,15,0.1,0.427026,40.736946
0,mse,15,0.15,0.82856,36.277664
0,mae,16,0.05,1.40894,27.524115
0,mae,16,0.075,1.751709,26.650921
0,mae,16,0.1,2.101035,26.000385
0,mae,16,0.15,3.059617,24.503632
0,mse,16,0.05,0.198761,42.846725
0,mse,16,0.075,0.288218,40.120399
0,mse,16,0.1,0.428635,38.091614
0,mse,16,0.15,0.732898,34.262131
0,mae,17,0.05,2.308231,27.413309
0,mae,17,0.075,2.378854,26.425331
0,mae,17,0.1,2.524517,25.357128
0,mae,17,0.15,3.327093,23.671295
0,mse,17,0.05,0.563348,42.230972
0,mse,17,0.075,0.508735,39.336941
0,mse,17,0.1,0.518844,36.258236
0,mse,17,0.15,0.881415,32.143604
0,mae,18,0.05,2.795573,26.741756
0,mae,18,0.075,3.303054,25.785635
0,mae,18,0.1,4.166634,25.237495
0,mae,18,0.15,5.524676,22.925259
0,mse,18,0.05,0.79061,40.618706
0,mse,18,0.075,0.947521,38.062485
0,mse,18,0.1,1.559242,36.608025
0,mse,18,0.15,2.603762,30.615387
0,mae,19,0.05,2.627,27.427343
0,mae,19,0.075,3.277632,25.933453
0,mae,19,0.1,4.094704,25.297909
0,mae,19,0.15,4.688456,23.278908
0,mse,19,0.05,0.647868,42.635307
0,mse,19,0.075,0.869512,38.482773
0,mse,19,0.1,1.410872,36.856373
0,mse,19,0.15,1.790449,31.436916
0,mae,20,0.05,2.411481,27.279894
0,mae,20,0.075,3.510942,25.493008
0,mae,20,0.1,4.23912,24.821018
0,mae,20,0.15,5.388806,22.199787
0,mse,20,0.05,0.644864,42.246384
0,mse,20,0.075,1.028144,37.220135
0,mse,20,0.1,1.477973,35.397701
0,mse,20,0.15,2.398397,28.552797
0,mae,21,0.05,1.334414,27.999222
0,mae,21,0.075,2.061982,27.205593
0,mae,21,0.1,3.361121,25.739725
0,mae,21,0.15,4.931712,23.983662
0,mse,21,0.05,0.174629,44.383045
0,mse,21,0.075,0.358637,42.307438
0,mse,21,0.1,1.079911,38.37825
0,mse,21,0.15,1.994704,34.103577
0,mae,22,0.05,1.576334,27.838951
0,mae,22,0.075,2.413616,26.455126
0,mae,22,0.1,2.760028,25.940952
0,mae,22,0.15,3.507656,24.553055
0,mse,22,0.05,0.279783,44.072159
0,mse,22,0.075,0.541551,40.26548
0,mse,22,0.1,0.664478,38.820026
0,mse,22,0.15,1.01291,35.099606
0,mae,23,0.05,0.977237,27.931213
0,mae,23,0.075,1.842109,27.095219
0,mae,23,0.1,2.220796,26.770782
0,mae,23,0.15,3.690901,24.994545
0,mse,23,0.05,0.083309,43.837517
0,mse,23,0.075,0.294607,41.612297
0,mse,23,0.1,0.46673,40.647774
0,mse,23,0.15,1.053062,35.883419
1,mae,0,0.05,2.949982,25.658115
1,mae,0,0.075,3.629357,24.706112
1,mae,0,0.1,3.98789,24.016705
1,mae,0,0.15,4.943828,21.560284
1,mse,0,0.05,1.160007,38.519417
1,mse,0,0.075,1.299724,36.186523
