batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,6.874353,25.265701
0,mae,0,0.075,8.496391,23.123121
0,mae,0,0.1,8.987004,22.225494
0,mae,0,0.15,10.374599,19.122849
0,mse,0,0.05,4.039428,36.607655
0,mse,0,0.075,5.682891,30.907154
0,mse,0,0.1,6.219909,28.823801
0,mse,0,0.15,7.890671,22.12418
0,mae,1,0.05,6.153962,25.5187
0,mae,1,0.075,7.878407,23.106464
0,mae,1,0.1,9.095996,21.510857
0,mae,1,0.15,11.048735,18.359394
0,mse,1,0.05,3.30014,37.007545
0,mse,1,0.075,4.903674,31.037567
0,mse,1,0.1,6.163885,27.257099
0,mse,1,0.15,8.610848,20.475153
0,mae,2,0.05,6.619292,24.32552
0,mae,2,0.075,8.847486,21.706091
0,mae,2,0.1,9.999142,20.388081
0,mae,2,0.15,11.944819,17.975437
0,mse,2,0.05,3.450681,33.457466
0,mse,2,0.075,5.731498,27.354881
0,mse,2,0.1,7.074291,24.753147
0,mse,2,0.15,10.083588,19.789051
0,mae,3,0.05,6.878509,25.391209
0,mae,3,0.075,9.180072,22.56506
0,mae,3,0.1,9.786417,21.473778
0,mae,3,0.15,11.31905,18.531061
0,mse,3,0.05,3.959824,36.417641
0,mse,3,0.075,6.317047,28.993153
0,mse,3,0.1,7.178228,26.921034
0,mse,3,0.15,9.506163,20.597145
0,mae,4,0.05,5.953528,26.096058
0,mae,4,0.075,9.464331,23.62599
0,mae,4,0.1,10.120859,22.427731
0,mae,4,0.15,11.60977,20.307251
0,mse,4,0.05,3.345481,38.808903
0,mse,4,0.075,7.140436,32.641521
0,mse,4,0.1,7.975661,29.836903
0,mse,4,0.15,10.340197,24.883213
0,mae,5,0.05,7.320308,24.588669
0,mae,5,0.075,9.266909,21.909767
0,mae,5,0.1,9.929102,20.570278
0,mae,5,0.15,11.594325,18.93037
0,mse,5,0.05,4.267819,34.390385
0,mse,5,0.075,6.350542,28.065178
0,mse,5,0.1,6.94803,25.230169
0,mse,5,0.15,9.491557,21.776201
0,mae,6,0.05,6.673384,26.357124
0,mae,6,0.075,9.099033,23.426144
0,mae,6,0.1,9.796847,21.988237
0,mae,6,0.15,11.64147,19.742548
0,mse,6,0.05,3.675899,39.190304
0,mse,6,0.075,6.2837,31.916006
0,mse,6,0.1,7.147686,28.861158
0,mse,6,0.15,9.755744,24.14484
0,mae,7,0.05,6.993407,24.590572
0,mae,7,0.075,9.797835,22.081718
0,mae,7,0.1,10.99357,20.758224
0,mae,7,0.15,12.008839,18.324533
0,mse,7,0.05,3.551063,34.565407
0,mse,7,0.075,6.522183,28.502813
0,mse,7,0.1,8.141645,25.269716
0,mse,7,0.15,9.94063,20.096657
0,mae,8,0.05,6.859841,25.177299
