batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,7.561167,23.960789
0,mae,0,0.075,8.70895,21.271873
0,mae,0,0.1,9.392504,19.254423
0,mae,0,0.15,10.338669,15.818705
0,mse,0,0.05,4.586818,34.237888
0,mse,0,0.075,5.606623,27.755547
0,mse,0,0.1,6.350154,23.505512
0,mse,0,0.15,7.320237,16.614298
0,mae,1,0.05,7.371227,23.254803
0,mae,1,0.075,8.457673,20.481117
0,mae,1,0.1,9.210018,18.642105
0,mae,1,0.15,10.581194,15.166963
0,mse,1,0.05,4.511961,32.145203
0,mse,1,0.075,5.522861,25.292408
0,mse,1,0.1,6.339836,21.12767
0,mse,1,0.15,7.945336,14.812083
0,mae,2,0.05,7.660396,23.89777
0,mae,2,0.075,8.982162,21.424271
0,mae,2,0.1,9.343962,20.083858
0,mae,2,0.15,10.510599,16.939837
0,mse,2,0.05,4.630261,33.252205
0,mse,2,0.075,6.250502,27.377045
0,mse,2,0.1,6.374721,24.690496
0,mse,2,0.15,7.762801,18.460125
0,mae,3,0.05,7.569903,25.043472
0,mae,3,0.075,9.286008,22.242134
0,mae,3,0.1,10.036333,19.954582
0,mae,3,0.15,10.924851,17.385609
0,mse,3,0.05,4.642374,36.990639
0,mse,3,0.075,6.337037,30.331333
0,mse,3,0.1,7.251872,24.774742
0,mse,3,0.15,8.213997,19.562889
0,mae,4,0.05,6.711766,24.761543
0,mae,4,0.075,8.907825,21.888453
0,mae,4,0.1,9.180676,20.621843
0,mae,4,0.15,10.435886,15.938276
0,mse,4,0.05,3.948039,36.357677
0,mse,4,0.075,6.156169,29.600853
0,mse,4,0.1,6.329824,26.894541
0,mse,4,0.15,7.458794,16.740131
0,mae,5,0.05,6.894335,23.923595
0,mae,5,0.075,8.483317,20.924862
0,mae,5,0.1,9.153427,18.840652
0,mae,5,0.15,10.590564,15.768663
0,mse,5,0.05,4.042528,34.395641
0,mse,5,0.075,5.515777,27.238586
0,mse,5,0.1,6.135282,22.748674
0,mse,5,0.15,7.785904,16.507339
0,mae,6,0.05,7.124095,24.28299
0,mae,6,0.075,8.528638,20.701128
0,mae,6,0.1,9.255299,18.889072
0,mae,6,0.15,10.546024,15.146935
0,mse,6,0.05,4.145862,34.74152
0,mse,6,0.075,5.376317,26.322361
0,mse,6,0.1,6.265235,22.535164
