batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,8.0721,23.727339
0,mae,0,0.075,9.335574,21.222773
0,mae,0,0.1,9.884848,20.06111
0,mae,0,0.15,11.083355,16.894514
0,mse,0,0.05,5.048811,33.018848
0,mse,0,0.075,6.346714,27.486773
0,mse,0,0.1,7.193207,25.765171
0,mse,0,0.15,8.390806,19.148497
0,mae,1,0.05,7.748119,23.503643
0,mae,1,0.075,10.108606,20.629318
0,mae,1,0.1,10.598882,17.703716
0,mae,1,0.15,11.863546,15.04432
0,mse,1,0.05,4.759408,32.211449
0,mse,1,0.075,7.478412,26.073002
0,mse,1,0.1,8.103352,19.781727
0,mse,1,0.15,10.027288,14.997108
0,mae,2,0.05,7.808812,22.849358
0,mae,2,0.075,9.697121,19.845711
0,mae,2,0.1,10.563696,18.165976
0,mae,2,0.15,12.288877,15.181911
0,mse,2,0.05,4.801678,30.489441
0,mse,2,0.075,7.128196,23.47525
0,mse,2,0.1,8.124698,19.868965
0,mse,2,0.15,10.187632,14.475911
0,mae,3,0.05,7.712988,23.907734
0,mae,3,0.075,9.591068,20.918665
0,mae,3,0.1,10.266766,18.816139
0,mae,3,0.15,12.334165,15.504684
0,mse,3,0.05,4.655708,33.398949
0,mse,3,0.075,6.751091,26.464865
0,mse,3,0.1,7.479004,21.903633
0,mse,3,0.15,10.128813,15.623028
0,mae,4,0.05,7.357827,24.071972
0,mae,4,0.075,8.919395,21.164143
0,mae,4,0.1,9.701256,19.872408
0,mae,4,0.15,11.676716,16.221603
0,mse,4,0.05,4.373538,33.195213
0,mse,4,0.075,6.294232,27.114532
0,mse,4,0.1,7.079733,24.370163
0,mse,4,0.15,9.310368,16.744335
0,mae,5,0.05,7.777779,24.456593
0,mae,5,0.075,9.258472,21.234697
0,mae,5,0.1,10.072886,19.228096
0,mae,5,0.15,11.355847,16.908802
0,mse,5,0.05,4.658257,35.433228
0,mse,5,0.075,6.419824,27.392326
0,mse,5,0.1,7.26623,22.78157
0,mse,5,0.15,8.727037,18.198807
0,mae,6,0.05,8.411047,24.383484
0,mae,6,0.075,9.667231,22.275251
0,mae,6,0.1,10.583457,19.958988
0,mae,6,0.15,11.872873,16.608921
0,mse,6,0.05,5.272836,34.324451
0,mse,6,0.075,6.552592,29.629992
0,mse,6,0.1,7.750161,23.779518
0,mse,6,0.15,9.247317,17.230309
0,mae,7,0.05,7.784454,24.106237
0,mae,7,0.075,9.817589,20.953566
0,mae,7,0.1,10.608587,19.411276
0,mae,7,0.15,12.18198,15.441148
0,mse,7,0.05,4.660602,33.424618
0,mse,7,0.075,6.718576,25.853508
0,mse,7,0.1,7.531745,22.83754
0,mse,7,0.15,9.817893,14.794447
0,mae,8,0.05,8.405941,23.508709
0,mae,8,0.075,9.755699,20.45849
0,mae,8,0.1,10.995642,18.642052
0,mae,8,0.15,12.739301,15.15619
0,mse,8,0.05,5.171993,32.066948
0,mse,8,0.075,6.590394,24.921871
0,mse,8,0.1,7.972636,21.036209
0,mse,8,0.15,10.435195,14.981198
0,mae,9,0.05,8.143903,22.92448
0,mae,9,0.075,9.663509,19.74712
0,mae,9,0.1,10.628861,17.977547
0,mae,9,0.15,12.670424,15.716955
0,mse,9,0.05,5.126561,30.432117
0,mse,9,0.075,6.776478,23.237377
0,mse,9,0.1,7.738852,19.437252
0,mse,9,0.15,10.678195,15.476615
0,mae,10,0.05,8.121363,22.825277
0,mae,10,0.075,10.251337,20.133804
0,mae,10,0.1,11.252654,18.636997
0,mae,10,0.15,13.676952,15.354263
0,mse,10,0.05,5.09687,30.242826
0,mse,10,0.075,7.562678,23.929522
0,mse,10,0.1,8.885063,20.922064
0,mse,10,0.15,12.736042,15.164353
0,mae,11,0.05,8.744425,22.889683
0,mae,11,0.075,10.54605,20.062569
0,mae,11,0.1,11.663402,18.191158
0,mae,11,0.15,13.223322,14.716003
0,mse,11,0.05,5.797169,29.441307
0,mse,11,0.075,7.951795,23.622564
0,mse,11,0.1,9.496248,19.994797
0,mse,11,0.15,12.028687,14.015746
0,mae,12,0.05,10.038907,22.584833
0,mae,12,0.075,11.560384,19.853758
0,mae,12,0.1,11.778497,18.351744
0,mae,12,0.15,12.045283,15.752241
0,mse,12,0.05,6.949724,29.474653
0,mse,12,0.075,8.6138,23.208189
0,mse,12,0.1,9.128182,20.670959
0,mse,12,0.15,9.688898,16.265364
0,mae,13,0.05,9.919294,22.513042
0,mae,13,0.075,11.657569,19.56978
0,mae,13,0.1,11.8109,18.350594
0,mae,13,0.15,12.116007,14.738476
0,mse,13,0.05,6.918766,30.288113
0,mse,13,0.075,8.922212,23.357685
0,mse,13,0.1,9.155344,20.918583
0,mse,13,0.15,9.842718,14.396593
0,mae,14,0.05,8.465678,22.65427
0,mae,14,0.075,10.99098,19.372803
0,mae,14,0.1,11.126635,17.81123
0,mae,14,0.15,11.962549,14.509699
0,mse,14,0.05,5.460058,29.640949
0,mse,14,0.075,8.561243,22.257816
0,mse,14,0.1,8.488583,19.510715
0,mse,14,0.15,9.832512,13.148891
0,mae,15,0.05,8.464734,23.223162
0,mae,15,0.075,10.868992,19.667564
0,mae,15,0.1,11.232256,18.82663
0,mae,15,0.15,11.893318,16.124107
0,mse,15,0.05,5.50231,31.325914
0,mse,15,0.075,8.275043,23.228456
0,mse,15,0.1,8.537118,21.732738
0,mse,15,0.15,9.556344,16.402475
0,mae,16,0.05,7.943597,23.941124
0,mae,16,0.075,9.497802,21.19408
0,mae,16,0.1,9.608923,19.668827
0,mae,16,0.15,10.689782,16.364521
0,mse,16,0.05,5.084478,33.214104
0,mse,16,0.075,6.518543,26.716393
0,mse,16,0.1,6.663905,23.740379
0,mse,16,0.15,7.920181,16.7556
