batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,6.913104,23.325346
0,mae,0,0.075,7.865891,20.440554
0,mae,0,0.1,8.223314,19.092278
0,mae,0,0.15,9.854223,15.229309
0,mse,0,0.05,4.026429,32.289391
0,mse,0,0.075,4.985949,25.313892
0,mse,0,0.1,5.36517,22.167353
0,mse,0,0.15,7.215162,14.500415
0,mae,1,0.05,7.521857,23.720211
0,mae,1,0.075,9.034119,19.937737
0,mae,1,0.1,9.234422,18.463387
0,mae,1,0.15,9.776808,14.234665
0,mse,1,0.05,4.671921,33.471169
0,mse,1,0.075,6.501784,23.837849
0,mse,1,0.1,6.802945,20.730129
0,mse,1,0.15,7.467841,12.719
0,mae,2,0.05,7.376955,23.501057
0,mae,2,0.075,8.237698,20.717764
0,mae,2,0.1,8.529446,18.625746
0,mae,2,0.15,9.127946,14.518341
0,mse,2,0.05,4.50376,32.302536
0,mse,2,0.075,5.739771,25.7174
0,mse,2,0.1,5.938463,21.07387
0,mse,2,0.15,6.438021,13.51523
0,mae,3,0.05,7.097002,23.809483
0,mae,3,0.075,8.249702,20.567966
0,mae,3,0.1,8.318729,18.121014
0,mae,3,0.15,9.240019,14.726961
0,mse,3,0.05,4.217893,32.966709
0,mse,3,0.075,5.426861,25.904955
0,mse,3,0.1,5.512561,20.239777
0,mse,3,0.15,6.583334,13.99938
0,mae,4,0.05,7.289794,21.986641
0,mae,4,0.075,8.847221,19.531841
0,mae,4,0.1,9.349158,17.925909
0,mae,4,0.15,9.65522,13.801371
0,mse,4,0.05,4.570475,28.476032
0,mse,4,0.075,6.011716,22.862001
0,mse,4,0.1,6.651985,19.558025
0,mse,4,0.15,6.836764,11.994511
0,mae,5,0.05,7.742001,22.219778
0,mae,5,0.075,8.973928,19.134529
0,mae,5,0.1,9.736977,16.955948
0,mae,5,0.15,10.724772,13.921083
0,mse,5,0.05,4.93111,28.795023
0,mse,5,0.075,6.041949,21.479885
0,mse,5,0.1,7.015939,17.304352
0,mse,5,0.15,8.17819,11.875402
0,mae,6,0.05,7.989219,22.566807
0,mae,6,0.075,9.001085,19.148987
0,mae,6,0.1,9.393551,17.357426
0,mae,6,0.15,9.848433,13.628637
0,mse,6,0.05,4.812821,29.922249
0,mse,6,0.075,5.864213,21.775579
0,mse,6,0.1,6.488507,17.812561
0,mse,6,0.15,7.04793,11.640207
0,mae,7,0.05,7.404741,22.386169
0,mae,7,0.075,7.892954,19.797091
0,mae,7,0.1,8.922722,17.83222
0,mae,7,0.15,10.407168,14.497347
0,mse,7,0.05,4.488132,29.501169
0,mse,7,0.075,4.817525,23.653702
0,mse,7,0.1,6.044401,19.366535
0,mse,7,0.15,7.718826,13.323248
0,mae,8,0.05,7.577497,22.467476
0,mae,8,0.075,9.046118,19.918425
0,mae,8,0.1,9.225239,17.916945
0,mae,8,0.15,9.81311,13.41029
0,mse,8,0.05,4.575639,29.157473
0,mse,8,0.075,5.967385,23.430264
0,mse,8,0.1,6.102806,19.133667
0,mse,8,0.15,6.849754,11.194143
0,mae,9,0.05,7.642944,22.837229
0,mae,9,0.075,8.025068,19.279533
0,mae,9,0.1,8.748557,17.550406
0,mae,9,0.15,9.35428,14.588593
0,mse,9,0.05,4.854071,30.057198
0,mse,9,0.075,5.035255,21.957436
0,mse,9,0.1,5.650236,18.309719
0,mse,9,0.15,6.375704,13.079634
0,mae,10,0.05,8.177864,22.060688
0,mae,10,0.075,8.412114,19.164845
0,mae,10,0.1,9.241394,17.1112
0,mae,10,0.15,9.472233,14.071463
0,mse,10,0.05,5.267839,28.145605
0,mse,10,0.075,5.293465,21.86442
0,mse,10,0.1,6.390311,17.67012
0,mse,10,0.15,6.536604,12.472054
0,mae,11,0.05,9.282784,21.249483
0,mae,11,0.075,9.749804,18.036667
0,mae,11,0.1,9.689444,17.064857
0,mae,11,0.15,9.985327,13.435379
0,mse,11,0.05,6.170321,25.707602
0,mse,11,0.075,6.80266,19.174759
0,mse,11,0.1,6.754536,17.519684
0,mse,11,0.15,6.900941,11.855719
0,mae,12,0.05,8.22546,22.487812
0,mae,12,0.075,8.971951,18.86199
0,mae,12,0.1,9.284711,17.897533
0,mae,12,0.15,9.386404,14.24464
0,mse,12,0.05,5.171357,29.217396
0,mse,12,0.075,5.737499,21.696972
0,mse,12,0.1,6.172452,19.735897
0,mse,12,0.15,6.126596,13.179584
0,mae,13,0.05,8.829607,22.29208
0,mae,13,0.075,9.283765,19.368008
0,mae,13,0.1,10.274738,17.912014
0,mae,13,0.15,9.418158,14.1614
0,mse,13,0.05,5.877205,29.698502
0,mse,13,0.075,6.227452,23.127075
0,mse,13,0.1,7.354758,20.076733
0,mse,13,0.15,6.363859,13.368616
0,mae,14,0.05,8.927203,22.893234
0,mae,14,0.075,9.608786,19.119801
0,mae,14,0.1,9.91778,17.770317
0,mae,14,0.15,9.725969,14.145737
0,mse,14,0.05,6.112954,30.562366
0,mse,14,0.075,6.560123,22.683708
0,mse,14,0.1,7.1901,19.954653
0,mse,14,0.15,6.859748,13.517338
0,mae,15,0.05,9.824352,22.109737
0,mae,15,0.075,9.919615,18.831553
0,mae,15,0.1,9.929442,16.617544
0,mae,15,0.15,9.632557,13.531584
0,mse,15,0.05,7.161804,28.674896
0,mse,15,0.075,7.074797,21.080406
0,mse,15,0.1,7.131523,16.875635
0,mse,15,0.15,6.646029,11.833422
0,mae,16,0.05,8.925335,22.761669
0,mae,16,0.075,9.565893,20.065323
0,mae,16,0.1,9.774281,18.324572
0,mae,16,0.15,9.695604,14.738472
0,mse,16,0.05,6.012311,30.549742
0,mse,16,0.075,6.814834,23.950813
0,mse,16,0.1,6.928621,20.531784
0,mse,16,0.15,6.993074,14.543047
0,mae,17,0.05,8.917652,22.806156
0,mae,17,0.075,9.794344,20.391392
0,mae,17,0.1,9.428103,18.312023
0,mae,17,0.15,9.729602,14.438349
0,mse,17,0.05,5.877256,30.248295
0,mse,17,0.075,6.929408,24.105343
0,mse,17,0.1,6.515908,19.903076
0,mse,17,0.15,6.868164,13.273064
0,mae,18,0.05,9.010017,22.799343
0,mae,18,0.075,10.18102,19.492313
0,mae,18,0.1,10.193519,18.404884
0,mae,18,0.15,9.7486,15.089317
0,mse,18,0.05,6.212353,30.291542
0,mse,18,0.075,7.36485,23.092896
0,mse,18,0.1,7.321647,20.605787
0,mse,18,0.15,6.788467,14.636788
0,mae,19,0.05,9.402343,22.866058
0,mae,19,0.075,9.91734,19.902037
0,mae,19,0.1,10.146814,18.267048
0,mae,19,0.15,9.986068,14.747102
0,mse,19,0.05,6.360805,30.385015
0,mse,19,0.075,6.835233,23.296656
0,mse,19,0.1,7.07868,20.260023
0,mse,19,0.15,6.905064,13.547088
0,mae,20,0.05,9.494714,22.564362
0,mae,20,0.075,9.938506,19.014252
0,mae,20,0.1,9.546295,16.897568
0,mae,20,0.15,9.51753,13.424655
0,mse,20,0.05,6.515815,29.721777
0,mse,20,0.075,6.979592,22.041664
0,mse,20,0.1,6.547638,17.64455
0,mse,20,0.15,6.327784,11.692231
0,mae,21,0.05,9.686948,22.557228
0,mae,21,0.075,9.470512,18.922802
0,mae,21,0.1,9.820047,17.728037
0,mae,21,0.15,8.615694,14.499254
0,mse,21,0.05,6.848154,29.624859
0,mse,21,0.075,6.58066,21.845064
0,mse,21,0.1,7.118678,19.328856
0,mse,21,0.15,5.599491,13.668687
0,mae,22,0.05,8.45318,22.947765
0,mae,22,0.075,8.91852,20.607834
0,mae,22,0.1,8.642579,18.530455
0,mae,22,0.15,9.096745,15.152097
0,mse,22,0.05,5.731641,30.901222
0,mse,22,0.075,5.738324,25.765503
0,mse,22,0.1,5.585969,20.91753
0,mse,22,0.15,6.121291,14.714693
0,mae,23,0.05,8.936252,24.127279
0,mae,23,0.075,8.188484,19.896368
0,mae,23,0.1,8.762926,18.818876
0,mae,23,0.15,9.178623,15.085615
0,mse,23,0.05,6.164384,34.162361
0,mse,23,0.075,5.29844,24.171074
0,mse,23,0.1,5.757013,21.763906
0,mse,23,0.15,6.477001,14.302458
1,mae,0,0.05,5.929272,21.701822
1,mae,0,0.075,6.73655,19.434616
1,mae,0,0.1,6.786847,17.859127
1,mae,0,0.15,7.24213,14.783659
1,mse,0,0.05,2.908693,28.908848
1,mse,0,0.075,3.642995,23.482769
1,mse,0,0.1,3.827283,20.284153
1,mse,0,0.15,3.954086,13.837285
1,mae,1,0.05,5.952494,21.509079
1,mae,1,0.075,6.111224,18.69384
1,mae,1,0.1,6.498602,17.77375
1,mae,1,0.15,6.835191,14.932984
1,mse,1,0.05,3.024091,28.21475
1,mse,1,0.075,3.239192,22.128891
1,mse,1,0.1,3.47385,20.484713
1,mse,1,0.15,3.57738,14.893171
1,mae,2,0.05,5.381735,21.839302
1,mae,2,0.075,6.188913,19.16581
1,mae,2,0.1,6.598043,17.707197
1,mae,2,0.15,7.060239,14.409188
1,mse,2,0.05,2.670041,29.315054
1,mse,2,0.075,3.169272,23.663239
1,mse,2,0.1,3.555021,20.545984
1,mse,2,0.15,3.755768,13.714266
1,mae,3,0.05,5.700384,21.99189
1,mae,3,0.075,6.120005,18.038635
1,mae,3,0.1,6.428147,16.822781
1,mae,3,0.15,7.175772,12.875888
1,mse,3,0.05,2.842113,29.551443
1,mse,3,0.075,3.200448,20.926363
1,mse,3,0.1,3.521855,18.473465
1,mse,3,0.15,4.095197,11.29366
1,mae,4,0.05,5.674891,21.006222
1,mae,4,0.075,6.053642,18.108673
1,mae,4,0.1,6.118656,15.551499
1,mae,4,0.15,6.99988,11.61745
1,mse,4,0.05,2.739389,26.583111
1,mse,4,0.075,2.999189,20.378578
1,mse,4,0.1,3.115482,15.753841
1,mse,4,0.15,3.946266,8.964442
1,mae,5,0.05,5.649997,21.249472
1,mae,5,0.075,6.162333,18.164534
1,mae,5,0.1,6.333387,15.919874
1,mae,5,0.15,7.521332,12.487598
1,mse,5,0.05,2.780787,27.099014
1,mse,5,0.075,3.105033,19.853983
1,mse,5,0.1,3.13428,15.3216
1,mse,5,0.15,4.37721,9.852905
1,mae,6,0.05,5.707887,21.692478
1,mae,6,0.075,6.262913,18.013763
1,mae,6,0.1,6.725812,16.336029
1,mae,6,0.15,7.379235,12.213176
1,mse,6,0.05,2.641137,28.770327
1,mse,6,0.075,3.364141,19.551373
1,mse,6,0.1,3.637548,16.333342
1,mse,6,0.15,4.188064,9.446678
1,mae,7,0.05,5.720003,22.030497
1,mae,7,0.075,6.179858,18.67886
1,mae,7,0.1,6.200955,16.998932
1,mae,7,0.15,7.008555,12.730766
1,mse,7,0.05,2.841279,29.00915
1,mse,7,0.075,3.336587,21.106247
1,mse,7,0.1,3.180765,17.898867
1,mse,7,0.15,3.989579,10.480844
1,mae,8,0.05,5.432026,21.747953
1,mae,8,0.075,6.182748,18.82958
1,mae,8,0.1,6.539896,17.518154
1,mae,8,0.15,7.093808,14.761676
1,mse,8,0.05,2.309879,28.948687
1,mse,8,0.075,3.181759,22.41157
1,mse,8,0.1,3.572977,19.2812
1,mse,8,0.15,3.9859,14.742787
1,mae,9,0.05,5.649084,21.511606
1,mae,9,0.075,6.143157,18.368952
1,mae,9,0.1,6.389991,17.655331
1,mae,9,0.15,7.142112,13.595385
1,mse,9,0.05,2.611122,27.379332
1,mse,9,0.075,3.1332,20.839622
1,mse,9,0.1,3.376503,19.315496
1,mse,9,0.15,4.16746,12.059062
1,mae,10,0.05,5.816522,21.90274
1,mae,10,0.075,6.219018,18.452213
1,mae,10,0.1,6.80804,17.315784
1,mae,10,0.15,7.20536,13.501764
1,mse,10,0.05,2.666173,28.677593
1,mse,10,0.075,3.101729,20.506409
1,mse,10,0.1,3.685631,18.418011
1,mse,10,0.15,3.933474,11.503799
1,mae,11,0.05,5.991314,21.06435
1,mae,11,0.075,5.801866,19.575653
1,mae,11,0.1,6.395263,17.488293
1,mae,11,0.15,7.091083,13.348269
1,mse,11,0.05,2.754808,26.828976
1,mse,11,0.075,2.68047,23.511822
1,mse,11,0.1,3.270714,19.092531
1,mse,11,0.15,3.862673,11.425814
1,mae,12,0.05,5.337627,21.335409
1,mae,12,0.075,5.479898,18.658138
1,mae,12,0.1,5.639218,16.678293
1,mae,12,0.15,6.469105,12.961679
1,mse,12,0.05,2.23686,27.29355
1,mse,12,0.075,2.332269,21.504829
1,mse,12,0.1,2.515965,17.119469
1,mse,12,0.15,3.289081,11.181345
1,mae,13,0.05,5.75261,22.277061
1,mae,13,0.075,5.855344,18.681675
1,mae,13,0.1,5.980227,16.994678
1,mae,13,0.15,7.071306,12.835672
1,mse,13,0.05,2.561858,29.650166
1,mse,13,0.075,2.696644,21.340565
1,mse,13,0.1,2.829502,18.116058
1,mse,13,0.15,3.85323,10.799648
1,mae,14,0.05,5.263133,22.078876
1,mae,14,0.075,5.832876,18.554573
1,mae,14,0.1,6.190383,16.302801
1,mae,14,0.15,6.929681,13.343927
1,mse,14,0.05,2.195507,29.790426
1,mse,14,0.075,2.584162,21.387356
1,mse,14,0.1,2.919099,17.400694
1,mse,14,0.15,3.776922,11.636709
1,mae,15,0.05,5.370434,21.030333
1,mae,15,0.075,5.794946,17.870491
1,mae,15,0.1,6.321781,15.986186
1,mae,15,0.15,6.670865,12.28877
1,mse,15,0.05,2.194752,26.625484
1,mse,15,0.075,2.619287,19.759674
1,mse,15,0.1,2.977099,15.891939
1,mse,15,0.15,3.524135,9.990593
1,mae,16,0.05,5.297331,21.782713
1,mae,16,0.075,5.673542,18.773533
1,mae,16,0.1,6.136605,16.490625
1,mae,16,0.15,6.864345,13.184267
1,mse,16,0.05,2.269705,28.881882
1,mse,16,0.075,2.697743,22.684208
1,mse,16,0.1,2.856903,17.996881
1,mse,16,0.15,3.425052,11.764902
1,mae,17,0.05,5.71128,20.615788
1,mae,17,0.075,5.874847,18.031338
1,mae,17,0.1,6.286034,16.675755
1,mae,17,0.15,7.122101,13.160547
1,mse,17,0.05,2.599816,27.159124
1,mse,17,0.075,2.763446,21.246197
1,mse,17,0.1,3.050381,18.81979
1,mse,17,0.15,3.730362,11.97312
1,mae,18,0.05,5.70098,20.809795
1,mae,18,0.075,6.146281,18.386267
1,mae,18,0.1,6.669653,15.638445
1,mae,18,0.15,7.670556,12.023735
1,mse,18,0.05,2.822309,27.088791
1,mse,18,0.075,3.154101,21.947847
1,mse,18,0.1,3.443765,16.188641
1,mse,18,0.15,4.376275,10.159898
1,mae,19,0.05,5.600381,21.111126
1,mae,19,0.075,6.387533,17.584976
1,mae,19,0.1,6.593554,15.857501
1,mae,19,0.15,7.489019,12.418095
1,mse,19,0.05,2.790158,28.106998
1,mse,19,0.075,3.257127,19.717657
1,mse,19,0.1,3.442627,16.806351
1,mse,19,0.15,4.325529,10.542318
1,mae,20,0.05,5.176505,20.829704
1,mae,20,0.075,5.840285,18.145521
1,mae,20,0.1,6.388844,16.511028
1,mae,20,0.15,6.976147,12.244722
1,mse,20,0.05,2.251573,27.106186
1,mse,20,0.075,2.83714,20.572163
1,mse,20,0.1,3.292769,17.317192
1,mse,20,0.15,3.874025,10.289325
1,mae,21,0.05,5.388987,21.189526
1,mae,21,0.075,5.886374,17.907417
1,mae,21,0.1,5.921219,15.988585
1,mae,21,0.15,6.534474,13.124969
1,mse,21,0.05,2.387851,27.345917
1,mse,21,0.075,2.646317,20.541138
1,mse,21,0.1,2.753662,16.5158
1,mse,21,0.15,3.15446,11.070648
1,mae,22,0.05,5.521671,21.801506
1,mae,22,0.075,6.364785,18.897079
1,mae,22,0.1,6.392859,16.966364
1,mae,22,0.15,7.010976,13.491169
1,mse,22,0.05,2.381435,29.097904
1,mse,22,0.075,3.05643,22.695629
1,mse,22,0.1,3.15859,18.244694
1,mse,22,0.15,3.626245,11.72608
1,mae,23,0.05,5.598769,21.32766
1,mae,23,0.075,6.054644,17.735855
1,mae,23,0.1,6.454302,16.329771
1,mae,23,0.15,7.172174,12.660402
1,mse,23,0.05,2.400851,27.646103
1,mse,23,0.075,2.849243,20.412731
1,mse,23,0.1,3.281569,17.265799
1,mse,23,0.15,3.736351,11.350998
2,mae,0,0.05,6.844046,17.013582
2,mae,0,0.075,6.840024,15.586185
2,mae,0,0.1,7.021956,14.383793
2,mae,0,0.15,8.162695,12.151648
2,mse,0,0.05,3.806041,17.154297
2,mse,0,0.075,3.72707,14.680199
2,mse,0,0.1,3.865673,12.916059
2,mse,0,0.15,4.831822,9.537761
2,mae,1,0.05,6.569612,17.642544
2,mae,1,0.075,6.987235,15.152395
2,mae,1,0.1,7.203204,14.126012
2,mae,1,0.15,8.44058,12.061142
2,mse,1,0.05,3.545289,18.182549
2,mse,1,0.075,3.905896,13.867311
2,mse,1,0.1,4.095826,12.178364
2,mse,1,0.15,5.149171,9.09307
2,mae,2,0.05,6.944303,17.282764
2,mae,2,0.075,7.310486,14.688734
2,mae,2,0.1,7.573083,14.014832
2,mae,2,0.15,8.617803,11.715269
2,mse,2,0.05,3.835905,17.829601
2,mse,2,0.075,4.247237,13.245412
2,mse,2,0.1,4.451059,12.154741
2,mse,2,0.15,5.389102,8.662952
2,mae,3,0.05,7.648663,17.693756
2,mae,3,0.075,7.50949,15.452679
2,mae,3,0.1,7.427377,14.349249
2,mae,3,0.15,8.226704,11.574347
2,mse,3,0.05,4.520089,18.569511
2,mse,3,0.075,4.326602,14.319445
2,mse,3,0.1,4.181893,12.807017
2,mse,3,0.15,4.924444,8.595692
2,mae,4,0.05,7.041564,17.2651
2,mae,4,0.075,6.77221,15.061179
2,mae,4,0.1,6.892196,13.37924
2,mae,4,0.15,7.356158,11.164722
2,mse,4,0.05,4.111097,18.330063
2,mse,4,0.075,3.715602,14.537872
2,mse,4,0.1,3.802085,11.664579
2,mse,4,0.15,4.184225,8.189186
2,mae,5,0.05,7.159613,16.86628
2,mae,5,0.075,7.722519,14.838343
2,mae,5,0.1,7.440254,13.474014
2,mae,5,0.15,7.432382,11.164388
2,mse,5,0.05,4.016558,17.690666
2,mse,5,0.075,4.657112,13.956697
2,mse,5,0.1,4.347928,11.740986
2,mse,5,0.15,4.325727,8.376598
2,mae,6,0.05,7.047444,15.709555
2,mae,6,0.075,7.614957,13.847668
2,mae,6,0.1,7.60815,12.658215
2,mae,6,0.15,7.987806,10.23231
2,mse,6,0.05,4.039415,15.420735
2,mse,6,0.075,4.432917,12.026163
2,mse,6,0.1,4.480624,10.024679
2,mse,6,0.15,4.997653,6.878696
2,mae,7,0.05,7.790779,16.236536
2,mae,7,0.075,8.035997,13.772139
2,mae,7,0.1,8.17857,12.266985
2,mae,7,0.15,8.49832,9.655061
2,mse,7,0.05,4.62912,15.912027
2,mse,7,0.075,4.81004,11.729626
2,mse,7,0.1,4.772881,9.597926
2,mse,7,0.15,5.1193,6.190013
2,mae,8,0.05,8.044886,15.85833
2,mae,8,0.075,8.287733,13.197985
2,mae,8,0.1,8.352639,11.424371
2,mae,8,0.15,7.947613,9.318651
2,mse,8,0.05,4.704232,15.09641
2,mse,8,0.075,5.310328,10.815861
2,mse,8,0.1,5.243412,8.035596
2,mse,8,0.15,4.701493,5.664666
2,mae,9,0.05,8.181009,15.654432
2,mae,9,0.075,7.981606,12.901393
