batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,8.127827,21.451572
0,mae,0,0.075,9.433043,19.020245
0,mae,0,0.1,10.365741,18.167725
0,mae,0,0.15,11.727789,16.403053
0,mse,0,0.05,5.098792,27.113791
0,mse,0,0.075,6.512737,22.293066
0,mse,0,0.1,7.718409,20.740337
0,mse,0,0.15,9.415552,17.674046
0,mae,1,0.05,7.897758,20.717176
0,mae,1,0.075,9.145397,18.941916
0,mae,1,0.1,10.001703,17.857998
0,mae,1,0.15,11.119818,15.97679
0,mse,1,0.05,4.788402,25.917639
0,mse,1,0.075,6.45802,22.592993
0,mse,1,0.1,7.443485,20.309214
0,mse,1,0.15,9.186577,16.103588
0,mae,2,0.05,7.459347,22.305447
0,mae,2,0.075,9.179557,19.31884
0,mae,2,0.1,10.057331,18.293036
0,mae,2,0.15,11.463018,16.100201
0,mse,2,0.05,4.495292,29.709747
0,mse,2,0.075,6.236298,23.761179
0,mse,2,0.1,7.364751,21.791908
0,mse,2,0.15,9.669861,17.142729
0,mae,3,0.05,7.241113,21.91151
0,mae,3,0.075,9.007471,19.605719
0,mae,3,0.1,9.415278,19.035706
0,mae,3,0.15,10.503165,16.951077
0,mse,3,0.05,4.339328,29.160187
0,mse,3,0.075,6.187076,23.864571
0,mse,3,0.1,6.719049,22.999901
0,mse,3,0.15,8.252491,18.729584
0,mae,4,0.05,6.705408,23.025322
0,mae,4,0.075,7.900762,20.147383
0,mae,4,0.1,8.591754,19.113056
0,mae,4,0.15,10.48038,16.657625
0,mse,4,0.05,3.924625,31.358887
0,mse,4,0.075,5.033168,25.020466
0,mse,4,0.1,5.668046,22.874516
0,mse,4,0.15,8.195981,18.266197
0,mae,5,0.05,7.156074,22.553951
0,mae,5,0.075,8.478942,20.260487
0,mae,5,0.1,9.31535,18.761986
0,mae,5,0.15,11.025932,16.612148
0,mse,5,0.05,4.177236,30.442755
0,mse,5,0.075,5.249142,25.112061
0,mse,5,0.1,6.207383,22.156105
0,mse,5,0.15,8.349983,18.624981
0,mae,6,0.05,7.095334,22.399727
0,mae,6,0.075,8.899984,19.834454
0,mae,6,0.1,9.960808,18.490377
0,mae,6,0.15,11.748472,15.66778
0,mse,6,0.05,3.968741,29.472538
0,mse,6,0.075,5.73982,24.110455
0,mse,6,0.1,6.9287,21.807158
0,mse,6,0.15,9.383376,16.589399
0,mae,7,0.05,7.069305,21.693645
0,mae,7,0.075,9.076906,19.608013
0,mae,7,0.1,9.978773,18.158672
0,mae,7,0.15,11.390899,15.932031
0,mse,7,0.05,4.210855,28.378511
0,mse,7,0.075,5.973431,23.786264
0,mse,7,0.1,7.000108,21.002037
0,mse,7,0.15,9.026072,16.977726
0,mae,8,0.05,7.14615,22.483789
0,mae,8,0.075,8.895299,19.550877
0,mae,8,0.1,9.935489,18.430571
0,mae,8,0.15,11.161942,16.357227
0,mse,8,0.05,4.282761,30.330282
0,mse,8,0.075,5.847305,24.192535
0,mse,8,0.1,7.107543,21.85284
0,mse,8,0.15,8.835475,17.436909
0,mae,9,0.05,6.931817,22.540764
0,mae,9,0.075,9.518131,19.758694
0,mae,9,0.1,10.707165,18.504967
0,mae,9,0.15,12.195763,16.576077
0,mse,9,0.05,3.988214,30.256845
0,mse,9,0.075,6.669553,24.190165
0,mse,9,0.1,8.026794,21.739826
0,mse,9,0.15,10.194135,17.881956
0,mae,10,0.05,6.993141,21.817566
0,mae,10,0.075,9.727827,19.326376
0,mae,10,0.1,10.598042,18.384787
0,mae,10,0.15,12.363428,16.552038
0,mse,10,0.05,3.949599,28.652313
0,mse,10,0.075,6.727999,23.227137
0,mse,10,0.1,7.746868,21.563339
0,mse,10,0.15,10.606205,18.220062
0,mae,11,0.05,6.028387,22.89529
0,mae,11,0.075,8.903893,19.397367
0,mae,11,0.1,10.264462,18.671606
0,mae,11,0.15,12.147675,15.600136
0,mse,11,0.05,3.178185,31.385469
0,mse,11,0.075,6.09466,24.14053
0,mse,11,0.1,7.778385,22.746416
0,mse,11,0.15,10.395386,16.556524
0,mae,12,0.05,7.075982,21.654137
0,mae,12,0.075,8.630033,19.335484
0,mae,12,0.1,9.49633,18.037586
0,mae,12,0.15,11.011213,15.389267
0,mse,12,0.05,4.194788,28.252956
0,mse,12,0.075,5.472816,23.578722
0,mse,12,0.1,6.582855,21.251984
0,mse,12,0.15,8.441088,15.913493
0,mae,13,0.05,7.497734,21.037203
0,mae,13,0.075,9.307424,18.456451
0,mae,13,0.1,9.721165,16.897614
0,mae,13,0.15,10.804566,15.254666
0,mse,13,0.05,4.648818,26.457558
0,mse,13,0.075,6.207891,21.197336
0,mse,13,0.1,6.728952,18.474184
0,mse,13,0.15,8.005289,15.588612
0,mae,14,0.05,7.367923,21.252426
0,mae,14,0.075,9.279114,19.218254
0,mae,14,0.1,9.660749,18.086161
0,mae,14,0.15,11.135399,16.065117
0,mse,14,0.05,4.374765,26.861622
0,mse,14,0.075,6.012893,22.975101
0,mse,14,0.1,6.437025,20.813427
0,mse,14,0.15,8.477768,17.123693
0,mae,15,0.05,7.422158,22.498692
0,mae,15,0.075,8.797304,20.039547
0,mae,15,0.1,9.522007,19.027447
0,mae,15,0.15,11.077967,17.076122
0,mse,15,0.05,4.164971,29.647972
0,mse,15,0.075,5.451708,24.391127
0,mse,15,0.1,6.26712,22.539139
0,mse,15,0.15,8.474512,18.610577
0,mae,16,0.05,7.065989,22.986916
0,mae,16,0.075,9.009547,20.931116
0,mae,16,0.1,8.829037,19.641993
0,mae,16,0.15,10.43134,17.400667
0,mse,16,0.05,3.9502,30.914488
0,mse,16,0.075,5.788542,26.491108
0,mse,16,0.1,5.599695,23.809036
0,mse,16,0.15,7.726429,19.195446
