batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,6.204899,23.505527
0,mae,0,0.075,7.281734,20.495636
0,mae,0,0.1,8.138825,18.773296
0,mae,0,0.15,9.481413,15.085123
0,mse,0,0.05,3.041411,33.774635
0,mse,0,0.075,3.958298,25.78756
0,mse,0,0.1,4.964259,22.086164
0,mse,0,0.15,6.670011,14.780554
0,mae,1,0.05,7.264345,22.678055
0,mae,1,0.075,7.396616,19.845629
0,mae,1,0.1,7.885361,18.155069
0,mae,1,0.15,9.002951,14.321718
0,mse,1,0.05,3.978066,31.553438
0,mse,1,0.075,4.351161,24.561621
0,mse,1,0.1,4.876185,20.7943
0,mse,1,0.15,6.478868,13.481611
0,mae,2,0.05,6.584084,23.03425
0,mae,2,0.075,7.798883,20.208969
0,mae,2,0.1,8.273707,19.018059
0,mae,2,0.15,9.173276,14.612965
0,mse,2,0.05,3.583944,32.066055
0,mse,2,0.075,5.022239,25.831554
0,mse,2,0.1,5.593993,23.828327
0,mse,2,0.15,6.601005,14.353214
0,mae,3,0.05,6.837929,23.103527
0,mae,3,0.075,7.137218,19.508148
0,mae,3,0.1,7.902862,17.925594
0,mae,3,0.15,8.532573,13.84071
0,mse,3,0.05,3.681778,32.041485
0,mse,3,0.075,4.358768,24.65929
0,mse,3,0.1,5.18966,21.564274
0,mse,3,0.15,5.687577,13.15674
0,mae,4,0.05,6.673192,22.309589
0,mae,4,0.075,7.49392,18.705845
0,mae,4,0.1,7.661453,16.814852
0,mae,4,0.15,8.623148,13.008099
0,mse,4,0.05,3.545585,30.184145
0,mse,4,0.075,4.638343,22.673559
0,mse,4,0.1,4.719491,18.984739
0,mse,4,0.15,5.555846,11.724527
0,mae,5,0.05,6.816922,21.215567
0,mae,5,0.075,7.613697,18.229658
0,mae,5,0.1,8.791048,16.225021
0,mae,5,0.15,9.175318,12.459711
0,mse,5,0.05,3.566059,27.212078
0,mse,5,0.075,4.296499,20.220097
0,mse,5,0.1,5.688354,16.47851
0,mse,5,0.15,6.145734,9.870549
0,mae,6,0.05,7.2041,21.792606
0,mae,6,0.075,7.716967,18.385147
0,mae,6,0.1,7.994143,16.121071
0,mae,6,0.15,9.48743,11.881344
0,mse,6,0.05,3.922322,28.292976
0,mse,6,0.075,4.296745,20.473398
0,mse,6,0.1,4.737118,15.922516
0,mse,6,0.15,6.596317,9.019786
0,mae,7,0.05,7.297781,21.823421
0,mae,7,0.075,7.816933,18.35294
0,mae,7,0.1,8.089607,16.234015
0,mae,7,0.15,9.240284,12.916385
0,mse,7,0.05,4.270367,28.728243
0,mse,7,0.075,4.631017,20.810242
0,mse,7,0.1,5.037689,16.93409
0,mse,7,0.15,6.266146,10.86104
0,mae,8,0.05,7.506169,21.416687
0,mae,8,0.075,8.75952,19.116999
0,mae,8,0.1,8.88707,17.491028
0,mae,8,0.15,9.586848,13.89156
0,mse,8,0.05,4.432114,27.45437
0,mse,8,0.075,5.544623,22.116062
0,mse,8,0.1,5.758714,18.69203
0,mse,8,0.15,6.41189,12.199059
0,mae,9,0.05,7.23803,21.864065
0,mae,9,0.075,7.959921,18.710663
0,mae,9,0.1,8.806259,16.968014
0,mae,9,0.15,9.475055,13.494613
0,mse,9,0.05,4.28053,28.670502
0,mse,9,0.075,4.770103,21.56209
0,mse,9,0.1,5.768133,17.868771
0,mse,9,0.15,6.380245,11.186073
0,mae,10,0.05,7.33575,22.046949
0,mae,10,0.075,8.903358,18.558601
0,mae,10,0.1,9.62532,16.484886
0,mae,10,0.15,9.770821,13.659393
0,mse,10,0.05,4.199312,28.658588
0,mse,10,0.075,5.957501,20.572443
0,mse,10,0.1,6.65752,16.57654
0,mse,10,0.15,6.95663,12.077343
0,mae,11,0.05,7.658715,21.455929
0,mae,11,0.075,8.647477,17.763542
0,mae,11,0.1,9.261324,15.925059
0,mae,11,0.15,9.555906,12.67101
0,mse,11,0.05,4.552597,27.619095
0,mse,11,0.075,5.689686,18.852879
0,mse,11,0.1,6.363453,15.598568
0,mse,11,0.15,6.695634,10.540791
0,mae,12,0.05,7.383744,22.320488
0,mae,12,0.075,8.764014,18.674047
0,mae,12,0.1,8.75423,17.084297
0,mae,12,0.15,9.100783,14.103701
0,mse,12,0.05,4.118122,30.263924
0,mse,12,0.075,5.433905,21.48452
0,mse,12,0.1,5.377982,18.684193
0,mse,12,0.15,6.293526,13.097812
0,mae,13,0.05,7.999512,21.995392
0,mae,13,0.075,9.340689,18.70475
0,mae,13,0.1,9.2141,16.747049
0,mae,13,0.15,8.504577,13.875519
0,mse,13,0.05,4.717741,28.73119
0,mse,13,0.075,6.034665,21.839689
0,mse,13,0.1,6.001079,17.566502
0,mse,13,0.15,5.445073,13.227489
0,mae,14,0.05,8.587164,21.994356
0,mae,14,0.075,9.003051,18.210609
0,mae,14,0.1,9.077818,17.115101
0,mae,14,0.15,9.308427,13.757977
0,mse,14,0.05,5.602809,28.542381
0,mse,14,0.075,5.928457,20.893063
0,mse,14,0.1,6.047103,18.97707
0,mse,14,0.15,6.7796,12.653829
0,mae,15,0.05,8.049194,22.335432
0,mae,15,0.075,7.997725,18.994926
0,mae,15,0.1,8.205073,17.099667
0,mae,15,0.15,8.782402,13.484343
0,mse,15,0.05,5.263895,29.745625
0,mse,15,0.075,5.224692,22.563728
0,mse,15,0.1,5.305729,18.630505
0,mse,15,0.15,5.692575,11.864013
0,mae,16,0.05,8.43576,22.497223
0,mae,16,0.075,8.751987,19.61908
0,mae,16,0.1,8.418399,17.453905
0,mae,16,0.15,8.508572,14.627131
0,mse,16,0.05,5.52702,30.079132
0,mse,16,0.075,5.687727,23.976929
0,mse,16,0.1,5.14992,18.972504
0,mse,16,0.15,5.428894,13.842735
0,mae,17,0.05,8.00209,22.604462
0,mae,17,0.075,8.378395,19.301451
0,mae,17,0.1,8.513456,18.112926
0,mae,17,0.15,8.892981,15.127976
0,mse,17,0.05,4.813212,30.003761
0,mse,17,0.075,5.373137,22.779402
0,mse,17,0.1,5.359223,20.222404
0,mse,17,0.15,5.722009,14.630668
0,mae,18,0.05,7.744151,22.728746
0,mae,18,0.075,8.721117,20.29208
0,mae,18,0.1,8.77562,18.673805
0,mae,18,0.15,8.829188,15.355856
0,mse,18,0.05,4.538548,30.557819
0,mse,18,0.075,5.449047,25.188805
0,mse,18,0.1,5.538375,21.385643
0,mse,18,0.15,5.514917,15.006844
0,mae,19,0.05,8.279095,23.809011
0,mae,19,0.075,8.927881,20.717194
0,mae,19,0.1,8.847673,19.23185
0,mae,19,0.15,8.938428,15.970164
0,mse,19,0.05,4.910667,32.749405
0,mse,19,0.075,5.261849,25.198509
0,mse,19,0.1,5.39165,22.648256
0,mse,19,0.15,5.676052,15.790689
0,mae,20,0.05,8.720266,22.352758
0,mae,20,0.075,8.496814,18.807961
0,mae,20,0.1,8.614915,17.373726
0,mae,20,0.15,9.064777,14.342279
0,mse,20,0.05,5.296958,29.482161
0,mse,20,0.075,5.223774,21.554665
0,mse,20,0.1,5.306154,18.39595
0,mse,20,0.15,5.944248,13.718577
0,mae,21,0.05,8.137922,22.865231
0,mae,21,0.075,8.004373,19.765591
0,mae,21,0.1,7.977787,18.203522
0,mae,21,0.15,8.822993,14.569823
0,mse,21,0.05,4.9693,31.041986
0,mse,21,0.075,4.870153,24.086479
0,mse,21,0.1,4.649335,20.500036
0,mse,21,0.15,5.747884,14.082764
0,mae,22,0.05,7.668339,23.611542
0,mae,22,0.075,8.129415,20.81443
0,mae,22,0.1,7.829982,18.852962
0,mae,22,0.15,8.527193,14.912245
0,mse,22,0.05,4.655935,32.722477
0,mse,22,0.075,4.926802,26.447536
0,mse,22,0.1,4.701759,22.01552
0,mse,22,0.15,5.402959,14.457664
0,mae,23,0.05,7.485812,23.527824
0,mae,23,0.075,7.937905,21.140493
0,mae,23,0.1,8.492028,19.370653
0,mae,23,0.15,9.484501,14.500868
0,mse,23,0.05,4.355393,32.898075
0,mse,23,0.075,4.895184,27.194544
0,mse,23,0.1,5.680799,23.371349
0,mse,23,0.15,6.768677,13.634043
1,mae,0,0.05,6.881689,20.474808
1,mae,0,0.075,7.358027,17.975605
1,mae,0,0.1,7.882676,16.180706
1,mae,0,0.15,8.608186,13.342161
1,mse,0,0.05,3.626008,25.970119
1,mse,0,0.075,4.072569,20.080671
1,mse,0,0.1,4.642832,16.586821
1,mse,0,0.15,5.368949,11.229431
1,mae,1,0.05,7.018397,20.122986
1,mae,1,0.075,7.407621,18.302834
1,mae,1,0.1,7.400303,17.213017
1,mae,1,0.15,8.21938,13.79299
1,mse,1,0.05,3.904007,24.816687
1,mse,1,0.075,4.153727,21.2425
1,mse,1,0.1,3.996257,19.229584
1,mse,1,0.15,5.001158,12.276403
1,mae,2,0.05,6.763525,20.300095
1,mae,2,0.075,6.7966,18.628675
1,mae,2,0.1,7.049214,16.893791
1,mae,2,0.15,8.061258,13.198275
1,mse,2,0.05,3.853996,25.378437
1,mse,2,0.075,3.743323,21.861464
1,mse,2,0.1,3.942379,17.812832
1,mse,2,0.15,4.693675,11.335417
1,mae,3,0.05,6.514884,19.896631
1,mae,3,0.075,6.485641,18.191128
1,mae,3,0.1,6.920276,16.196503
1,mae,3,0.15,8.035018,13.122678
1,mse,3,0.05,3.656722,24.510788
1,mse,3,0.075,3.598799,20.895144
1,mse,3,0.1,4.023106,16.642683
1,mse,3,0.15,4.871129,11.259779
1,mae,4,0.05,6.161091,20.404427
1,mae,4,0.075,7.0537,17.163237
1,mae,4,0.1,7.287634,15.925906
1,mae,4,0.15,7.935794,13.058136
1,mse,4,0.05,3.104442,24.955593
1,mse,4,0.075,3.906856,18.388775
1,mse,4,0.1,4.232653,16.418022
1,mse,4,0.15,5.040757,10.859238
1,mae,5,0.05,6.906999,20.036505
1,mae,5,0.075,7.609058,17.433657
1,mae,5,0.1,7.903473,16.022182
1,mae,5,0.15,9.022499,11.855274
1,mse,5,0.05,3.697734,24.393892
1,mse,5,0.075,4.637767,18.555
1,mse,5,0.1,4.839825,15.894583
1,mse,5,0.15,6.032809,8.80546
1,mae,6,0.05,7.517829,21.039642
1,mae,6,0.075,8.028027,16.80475
1,mae,6,0.1,8.652524,15.086569
1,mae,6,0.15,9.04126,11.89613
1,mse,6,0.05,4.678283,26.381409
1,mse,6,0.075,5.200426,17.744347
1,mse,6,0.1,5.697331,14.617928
1,mse,6,0.15,6.286556,9.643588
1,mae,7,0.05,7.420976,19.814726
1,mae,7,0.075,8.172239,16.657494
1,mae,7,0.1,8.176725,15.329735
1,mae,7,0.15,9.281729,12.751633
1,mse,7,0.05,4.488875,23.38625
1,mse,7,0.075,5.558235,16.727684
1,mse,7,0.1,5.571038,14.587292
1,mse,7,0.15,6.838093,10.573469
1,mae,8,0.05,7.391273,20.608364
1,mae,8,0.075,8.011551,17.050497
1,mae,8,0.1,8.682334,15.949631
1,mae,8,0.15,9.2069,13.250231
1,mse,8,0.05,4.282836,25.139736
1,mse,8,0.075,5.258489,17.851475
1,mse,8,0.1,6.089455,16.100466
1,mse,8,0.15,6.623952,11.676967
1,mae,9,0.05,7.630585,20.558598
1,mae,9,0.075,8.502337,17.770847
1,mae,9,0.1,8.544562,16.037838
1,mae,9,0.15,9.056839,12.630794
1,mse,9,0.05,4.522236,25.355881
1,mse,9,0.075,5.381401,18.950226
1,mse,9,0.1,5.622825,16.102745
1,mse,9,0.15,6.251582,10.933493
1,mae,10,0.05,8.178442,19.893803
1,mae,10,0.075,8.313145,17.177923
1,mae,10,0.1,8.174101,15.853722
1,mae,10,0.15,8.668398,11.941656
1,mse,10,0.05,4.904607,23.538713
1,mse,10,0.075,5.252661,18.06152
1,mse,10,0.1,5.060377,15.678524
1,mse,10,0.15,5.831369,9.401928
1,mae,11,0.05,7.266835,19.732548
1,mae,11,0.075,7.959672,17.520445
1,mae,11,0.1,7.928308,15.775009
1,mae,11,0.15,8.510319,12.467701
1,mse,11,0.05,4.192677,22.977856
1,mse,11,0.075,4.752768,18.554829
1,mse,11,0.1,4.72927,15.467476
1,mse,11,0.15,5.504066,10.387057
1,mae,12,0.05,7.864596,19.869041
1,mae,12,0.075,7.862179,17.247162
1,mae,12,0.1,7.931246,15.725302
1,mae,12,0.15,8.310816,12.224769
1,mse,12,0.05,4.520528,23.007309
1,mse,12,0.075,4.666877,17.979996
1,mse,12,0.1,4.664495,15.668102
1,mse,12,0.15,5.108923,9.81632
1,mae,13,0.05,7.562881,19.996092
1,mae,13,0.075,7.495263,17.504108
1,mae,13,0.1,8.22568,15.579741
1,mae,13,0.15,8.759335,12.621218
1,mse,13,0.05,4.283474,24.136503
1,mse,13,0.075,4.382366,19.194096
1,mse,13,0.1,4.981062,15.74863
1,mse,13,0.15,5.534025,10.898935
1,mae,14,0.05,6.598501,19.824886
1,mae,14,0.075,7.529663,17.527117
1,mae,14,0.1,7.594953,15.390797
1,mae,14,0.15,8.378459,12.994783
1,mse,14,0.05,3.385117,23.861698
1,mse,14,0.075,4.164216,19.214191
1,mse,14,0.1,4.293893,15.104544
1,mse,14,0.15,5.108229,11.478842
1,mae,15,0.05,6.893357,18.535473
