batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,5.848683,26.304569
0,mae,0,0.075,6.877708,24.006981
0,mae,0,0.1,7.140514,22.362549
0,mae,0,0.15,8.111753,20.269432
0,mse,0,0.05,2.933171,40.427517
0,mse,0,0.075,3.743416,34.306248
0,mse,0,0.1,4.063847,30.054703
0,mse,0,0.15,4.878265,25.69351
0,mae,1,0.05,5.051489,26.460018
0,mae,1,0.075,7.020998,24.424244
0,mae,1,0.1,6.756299,22.943998
0,mae,1,0.15,8.264747,20.355282
0,mse,1,0.05,2.4189,40.49617
0,mse,1,0.075,4.010195,35.112854
0,mse,1,0.1,3.746269,31.366135
0,mse,1,0.15,5.210642,25.30999
0,mae,2,0.05,5.365093,26.15666
0,mae,2,0.075,6.343575,23.827551
0,mae,2,0.1,6.383342,23.248531
0,mae,2,0.15,7.558217,21.091465
0,mse,2,0.05,2.681961,39.482067
0,mse,2,0.075,3.496435,33.12571
0,mse,2,0.1,3.601479,31.628675
0,mse,2,0.15,4.384326,26.296877
0,mae,3,0.05,5.059312,25.888218
0,mae,3,0.075,6.21043,24.164446
0,mae,3,0.1,7.358342,23.363247
0,mae,3,0.15,8.266745,21.0103
0,mse,3,0.05,2.549219,39.280155
0,mse,3,0.075,3.342797,34.292442
0,mse,3,0.1,4.405757,32.406406
0,mse,3,0.15,5.342877,26.338219
0,mae,4,0.05,4.69129,26.552109
0,mae,4,0.075,5.434368,24.317118
0,mae,4,0.1,6.608099,23.070927
0,mae,4,0.15,8.340991,20.030865
0,mse,4,0.05,1.992421,41.087372
0,mse,4,0.075,2.640332,35.384647
0,mse,4,0.1,3.53303,31.858356
0,mse,4,0.15,5.260557,24.716499
0,mae,5,0.05,5.063452,26.94964
0,mae,5,0.075,6.816896,25.391777
0,mae,5,0.1,7.468234,23.57909
0,mae,5,0.15,8.158613,20.505283
0,mse,5,0.05,2.243919,41.771534
0,mse,5,0.075,3.561668,37.65498
0,mse,5,0.1,4.209999,32.939548
0,mse,5,0.15,4.819246,25.250214
0,mae,6,0.05,5.289436,27.011013
0,mae,6,0.075,6.764386,25.0079
0,mae,6,0.1,7.630348,23.784044
0,mae,6,0.15,8.504108,20.566389
0,mse,6,0.05,2.403107,41.548141
0,mse,6,0.075,3.568369,36.173225
0,mse,6,0.1,4.304729,33.018574
0,mse,6,0.15,5.137535,25.482128
0,mae,7,0.05,5.882834,26.258993
0,mae,7,0.075,6.680625,23.98457
0,mae,7,0.1,7.684216,22.876829
0,mae,7,0.15,9.174181,20.568066
0,mse,7,0.05,2.943509,39.428051
0,mse,7,0.075,3.475274,33.589844
0,mse,7,0.1,4.382313,30.662649
0,mse,7,0.15,5.96487,25.852123
0,mae,8,0.05,4.961957,26.430691
0,mae,8,0.075,6.776267,23.702793
0,mae,8,0.1,7.914024,22.418655
0,mae,8,0.15,8.69397,19.83333
0,mse,8,0.05,2.232328,40.070107
0,mse,8,0.075,3.5651,32.864624
0,mse,8,0.1,4.765144,30.482368
0,mse,8,0.15,5.565932,25.165304
0,mae,9,0.05,4.789773,26.302132
0,mae,9,0.075,6.470628,23.465485
0,mae,9,0.1,7.286327,22.005733
0,mae,9,0.15,8.668621,19.340254
0,mse,9,0.05,2.086335,39.165794
0,mse,9,0.075,3.407282,32.426903
0,mse,9,0.1,4.197001,29.102791
0,mse,9,0.15,5.577147,23.513714
0,mae,10,0.05,5.041158,26.155392
0,mae,10,0.075,6.386154,24.056072
0,mae,10,0.1,7.134222,23.280987
0,mae,10,0.15,7.996192,19.955614
0,mse,10,0.05,2.176973,39.540543
0,mse,10,0.075,3.026297,33.424416
0,mse,10,0.1,3.657726,31.50894
0,mse,10,0.15,4.426037,24.145435
0,mae,11,0.05,5.47304,26.6367
0,mae,11,0.075,6.191225,24.70985
0,mae,11,0.1,7.15594,23.311548
0,mae,11,0.15,8.476606,20.086828
0,mse,11,0.05,2.610173,40.460808
0,mse,11,0.075,2.888349,34.928886
0,mse,11,0.1,3.866245,31.445925
0,mse,11,0.15,4.939805,24.428345
0,mae,12,0.05,5.507265,25.905174
0,mae,12,0.075,6.888735,23.727051
0,mae,12,0.1,7.832885,21.840288
0,mae,12,0.15,8.845809,19.348438
0,mse,12,0.05,2.475732,38.668663
0,mse,12,0.075,3.359189,33.041328
0,mse,12,0.1,4.300698,28.790154
0,mse,12,0.15,5.300026,23.491781
0,mae,13,0.05,5.384835,26.540316
0,mae,13,0.075,6.461266,24.17816
0,mae,13,0.1,7.118647,23.108547
0,mae,13,0.15,8.338127,19.710171
0,mse,13,0.05,2.461111,40.77277
0,mse,13,0.075,3.155548,34.269981
0,mse,13,0.1,3.743099,31.506695
0,mse,13,0.15,4.848791,23.517885
0,mae,14,0.05,5.685418,26.730543
0,mae,14,0.075,6.660646,25.624214
0,mae,14,0.1,7.418012,23.71336
0,mae,14,0.15,8.040898,21.040619
0,mse,14,0.05,2.74463,40.934006
0,mse,14,0.075,3.566954,38.553017
0,mse,14,0.1,4.078714,33.905457
0,mse,14,0.15,4.703849,27.182213
0,mae,15,0.05,6.217381,27.021999
0,mae,15,0.075,7.565524,24.750505
0,mae,15,0.1,7.997579,23.767174
0,mae,15,0.15,9.20919,21.23753
0,mse,15,0.05,3.223499,42.049171
0,mse,15,0.075,4.414916,36.27013
0,mse,15,0.1,4.814447,33.856266
0,mse,15,0.15,5.962143,27.571583
0,mae,16,0.05,6.226491,26.054321
0,mae,16,0.075,7.047365,24.535189
0,mae,16,0.1,7.530473,23.229944
0,mae,16,0.15,8.607727,20.13538
0,mse,16,0.05,3.06349,39.636684
0,mse,16,0.075,3.846105,35.328537
0,mse,16,0.1,4.489709,32.126831
0,mse,16,0.15,5.551897,24.782169
0,mae,17,0.05,5.844846,26.790638
0,mae,17,0.075,6.66579,24.413477
0,mae,17,0.1,7.567187,23.521271
0,mae,17,0.15,8.159085,21.486317
0,mse,17,0.05,2.896986,41.588203
0,mse,17,0.075,3.374163,35.068863
0,mse,17,0.1,4.54436,33.075043
0,mse,17,0.15,5.093323,27.947466
0,mae,18,0.05,6.02951,27.168842
0,mae,18,0.075,6.791296,25.043863
0,mae,18,0.1,7.243049,23.73103
0,mae,18,0.15,7.732049,21.755896
0,mse,18,0.05,3.172784,42.332893
