batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,5.595377,26.717094
0,mae,0,0.075,6.508945,24.385532
0,mae,0,0.1,7.813735,23.360542
0,mae,0,0.15,8.672411,20.87056
0,mse,0,0.05,2.967191,41.738312
0,mse,0,0.075,3.516464,35.681805
0,mse,0,0.1,4.748476,33.093658
0,mse,0,0.15,5.701732,27.030201
0,mae,1,0.05,5.217171,27.074692
0,mae,1,0.075,6.680099,24.269432
0,mae,1,0.1,7.636407,23.260742
0,mae,1,0.15,8.027596,21.057716
0,mse,1,0.05,2.545896,42.916058
0,mse,1,0.075,3.616885,35.089436
0,mse,1,0.1,4.596343,32.627094
0,mse,1,0.15,4.994067,27.26347
0,mae,2,0.05,5.011932,26.661722
0,mae,2,0.075,6.580711,24.859571
0,mae,2,0.1,7.135766,23.704033
0,mae,2,0.15,7.92204,21.278214
0,mse,2,0.05,2.377986,41.442421
0,mse,2,0.075,3.678819,36.586502
0,mse,2,0.1,4.117856,33.613064
0,mse,2,0.15,4.768131,27.260666
0,mae,3,0.05,4.629084,26.703461
0,mae,3,0.075,5.639143,24.640589
0,mae,3,0.1,6.67014,23.284203
0,mae,3,0.15,7.72854,21.962761
0,mse,3,0.05,2.143107,41.441883
0,mse,3,0.075,2.744305,35.777451
0,mse,3,0.1,3.595618,31.986319
0,mse,3,0.15,4.480819,28.934496
0,mae,4,0.05,4.597517,26.483892
0,mae,4,0.075,5.764743,24.423744
0,mae,4,0.1,6.409306,23.802855
0,mae,4,0.15,7.363053,20.400034
0,mse,4,0.05,2.04105,41.298576
0,mse,4,0.075,2.674251,35.83844
0,mse,4,0.1,3.204103,34.212013
0,mse,4,0.15,3.95866,25.767242
0,mae,5,0.05,4.004184,26.352308
0,mae,5,0.075,5.773196,23.521679
0,mae,5,0.1,6.886248,22.378277
0,mae,5,0.15,8.544971,19.883137
0,mse,5,0.05,1.304104,40.515152
0,mse,5,0.075,2.476096,32.483601
0,mse,5,0.1,3.248502,29.506695
0,mse,5,0.15,4.968168,24.163933
0,mae,6,0.05,4.271062,26.76733
0,mae,6,0.075,6.18547,24.31818
0,mae,6,0.1,7.208722,22.886078
0,mae,6,0.15,8.940453,20.083733
0,mse,6,0.05,1.448256,41.810791
0,mse,6,0.075,2.699911,35.159721
0,mse,6,0.1,3.550919,31.589924
0,mse,6,0.15,5.12696,24.373337
