batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,3.379,27.528721
0,mae,0,0.075,4.28161,26.21817
0,mae,0,0.1,4.888715,25.263378
0,mae,0,0.15,5.885264,22.153679
0,mse,0,0.05,1.259936,43.757996
0,mse,0,0.075,1.913775,40.050507
0,mse,0,0.1,2.156748,37.386196
0,mse,0,0.15,2.625462,29.301886
0,mae,1,0.05,3.559347,27.249584
0,mae,1,0.075,4.371095,26.175882
0,mae,1,0.1,4.729667,25.130692
0,mae,1,0.15,5.056797,22.056656
0,mse,1,0.05,1.44122,42.692116
0,mse,1,0.075,1.79635,39.888813
0,mse,1,0.1,1.861469,37.047966
0,mse,1,0.15,1.987484,29.032543
0,mae,2,0.05,3.008125,27.398872
0,mae,2,0.075,3.870469,25.982262
0,mae,2,0.1,4.154424,24.950731
0,mae,2,0.15,4.972582,22.52832
0,mse,2,0.05,0.990153,43.110565
0,mse,2,0.075,1.507083,39.242302
0,mse,2,0.1,1.589713,36.306152
0,mse,2,0.15,2.013945,30.661917
0,mae,3,0.05,3.063835,28.030792
0,mae,3,0.075,4.364707,26.461987
0,mae,3,0.1,4.571045,25.480656
0,mae,3,0.15,4.943674,23.267525
0,mse,3,0.05,1.188231,45.355751
0,mse,3,0.075,1.912763,40.40567
0,mse,3,0.1,1.843652,37.898865
0,mse,3,0.15,2.062485,32.40963
0,mae,4,0.05,3.133855,27.527552
0,mae,4,0.075,3.966128,26.628918
0,mae,4,0.1,4.604574,25.315044
0,mae,4,0.15,5.166478,22.703812
0,mse,4,0.05,1.245959,43.992554
0,mse,4,0.075,1.880837,41.623116
0,mse,4,0.1,2.148141,38.04277
0,mse,4,0.15,2.193208,30.694191
0,mae,5,0.05,3.553087,27.813698
0,mae,5,0.075,4.17271,26.35709
0,mae,5,0.1,4.486504,25.162872
0,mae,5,0.15,6.033742,22.18951
0,mse,5,0.05,1.560702,44.934013
0,mse,5,0.075,1.836457,40.702499
0,mse,5,0.1,2.042415,37.405029
0,mse,5,0.15,2.966445,29.282986
0,mae,6,0.05,3.571203,27.79493
0,mae,6,0.075,3.996768,26.235125
0,mae,6,0.1,5.022487,25.121164
0,mae,6,0.15,5.773891,22.494839
0,mse,6,0.05,1.464528,44.776314
0,mse,6,0.075,1.667648,39.897625
0,mse,6,0.1,2.376503,37.135376
0,mse,6,0.15,2.795468,30.201374
0,mae,7,0.05,3.664867,27.372776
0,mae,7,0.075,4.208622,25.480131
0,mae,7,0.1,4.634393,24.696815
0,mae,7,0.15,5.424605,22.463503
0,mse,7,0.05,1.602524,43.429264
0,mse,7,0.075,1.925045,38.525463
0,mse,7,0.1,1.950539,36.31757
0,mse,7,0.15,2.483617,30.589466
0,mae,8,0.05,2.918733,27.797894
0,mae,8,0.075,3.384995,26.166344
0,mae,8,0.1,3.875157,24.983929
0,mae,8,0.15,4.810648,22.612455
0,mse,8,0.05,1.030933,44.926487
0,mse,8,0.075,1.327811,40.306419
0,mse,8,0.1,1.442089,37.042408
0,mse,8,0.15,1.981601,31.099291
0,mae,9,0.05,3.812722,27.410137
0,mae,9,0.075,4.214265,25.665174
0,mae,9,0.1,4.308779,24.709126
0,mae,9,0.15,5.48545,22.624115
0,mse,9,0.05,1.514583,43.882885
0,mse,9,0.075,1.820142,38.675034
0,mse,9,0.1,1.852518,35.937035
0,mse,9,0.15,2.568773,30.710783
0,mae,10,0.05,3.884923,27.305077
0,mae,10,0.075,4.144949,25.815701
0,mae,10,0.1,4.703949,24.479969
0,mae,10,0.15,5.98392,21.495159
0,mse,10,0.05,1.680024,43.600502
0,mse,10,0.075,1.782999,39.251308
0,mse,10,0.1,2.200497,35.436119
0,mse,10,0.15,3.056971,27.814098
0,mae,11,0.05,3.992478,26.869934
0,mae,11,0.075,4.63811,25.725199
0,mae,11,0.1,5.064991,24.268209
0,mae,11,0.15,6.123538,21.141983
0,mse,11,0.05,1.739318,42.037193
0,mse,11,0.075,2.169543,38.955627
0,mse,11,0.1,2.371748,34.912628
0,mse,11,0.15,3.169796,26.985861
0,mae,12,0.05,4.146763,27.173904
0,mae,12,0.075,5.340274,25.134912
0,mae,12,0.1,5.723577,24.633385
0,mae,12,0.15,6.317748,22.211262
0,mse,12,0.05,2.109666,43.053608
0,mse,12,0.075,2.741148,37.750145
0,mse,12,0.1,2.847365,36.752251
0,mse,12,0.15,3.091365,30.084059
0,mae,13,0.05,3.879179,27.089539
0,mae,13,0.075,4.695867,25.448814
0,mae,13,0.1,4.914393,24.339434
0,mae,13,0.15,5.848254,21.571552
0,mse,13,0.05,1.750345,42.71257
0,mse,13,0.075,2.187239,38.324837
0,mse,13,0.1,2.321625,35.35796
0,mse,13,0.15,2.768055,28.224054
0,mae,14,0.05,3.909051,27.122393
0,mae,14,0.075,4.142469,25.465584
0,mae,14,0.1,4.207808,24.733185
0,mae,14,0.15,5.03568,22.651218
0,mse,14,0.05,1.849738,42.747833
0,mse,14,0.075,1.786362,38.020721
0,mse,14,0.1,1.71782,36.104469
0,mse,14,0.15,2.102441,31.087391
0,mae,15,0.05,3.452485,27.268538
0,mae,15,0.075,4.067557,25.861368
0,mae,15,0.1,4.33956,25.03125
0,mae,15,0.15,5.352851,22.718998
0,mse,15,0.05,1.5393,43.270859
0,mse,15,0.075,1.77775,39.007462
0,mse,15,0.1,1.757497,36.890347
0,mse,15,0.15,2.396238,31.028
0,mae,16,0.05,3.784823,27.401346
0,mae,16,0.075,4.375419,26.12542
0,mae,16,0.1,4.338683,25.045895
0,mae,16,0.15,5.922667,22.49885
0,mse,16,0.05,1.745911,43.909828
0,mse,16,0.075,1.839718,39.837521
0,mse,16,0.1,1.753854,36.787804
0,mse,16,0.15,2.898911,30.65024
0,mae,17,0.05,3.787175,27.205025
0,mae,17,0.075,4.722058,25.70821
0,mae,17,0.1,4.940297,25.039398
0,mae,17,0.15,5.762573,23.237617
0,mse,17,0.05,1.686178,43.606308
0,mse,17,0.075,2.137565,39.15929
0,mse,17,0.1,2.147311,37.032898
0,mse,17,0.15,2.802766,32.761261
0,mae,18,0.05,3.994043,27.511227
