batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,2.469696,26.178175
0,mae,0,0.075,4.333897,25.512798
0,mae,0,0.1,5.153828,24.972971
0,mae,0,0.15,6.460044,24.145916
0,mse,0,0.05,0.612528,39.121868
0,mse,0,0.075,1.806223,37.528908
0,mse,0,0.1,2.271709,36.44236
0,mse,0,0.15,3.327707,34.737015
0,mae,1,0.05,2.161087,26.404747
0,mae,1,0.075,3.919401,25.25456
0,mae,1,0.1,4.893216,24.931253
0,mae,1,0.15,6.706896,24.064388
0,mse,1,0.05,0.420587,39.38723
0,mse,1,0.075,1.393554,36.837009
0,mse,1,0.1,2.073026,36.113487
0,mse,1,0.15,3.895078,34.629242
0,mae,2,0.05,1.909392,26.722916
0,mae,2,0.075,3.035267,25.974997
0,mae,2,0.1,4.046679,25.354113
0,mae,2,0.15,5.884166,24.218159
0,mse,2,0.05,0.297458,40.241852
0,mse,2,0.075,0.677684,38.357651
0,mse,2,0.1,1.284409,36.82135
0,mse,2,0.15,2.742249,34.055267
0,mae,3,0.05,2.237267,26.19309
0,mae,3,0.075,3.798835,25.297808
0,mae,3,0.1,5.488248,24.808121
0,mae,3,0.15,7.391572,23.507576
0,mse,3,0.05,0.471702,38.618923
0,mse,3,0.075,1.18809,36.649902
0,mse,3,0.1,2.937361,35.520119
0,mse,3,0.15,4.483279,32.390381
0,mae,4,0.05,3.561589,25.778801
0,mae,4,0.075,4.625116,24.863934
0,mae,4,0.1,5.76541,24.63658
0,mae,4,0.15,7.452271,23.516899
0,mse,4,0.05,1.280503,37.300041
0,mse,4,0.075,1.93469,35.556961
0,mse,4,0.1,2.966663,35.09491
0,mse,4,0.15,4.544931,32.783241
0,mae,5,0.05,3.339681,25.668118
0,mae,5,0.075,4.653195,24.97806
0,mae,5,0.1,5.397192,24.683384
0,mae,5,0.15,7.25592,23.156158
0,mse,5,0.05,1.129261,37.077072
0,mse,5,0.075,1.908026,35.582916
0,mse,5,0.1,2.691449,34.854813
0,mse,5,0.15,4.254379,31.772457
0,mae,6,0.05,2.484803,26.268475
0,mae,6,0.075,3.774548,25.588886
0,mae,6,0.1,4.802549,24.799664
0,mae,6,0.15,6.380286,23.65242
0,mse,6,0.05,0.472836,38.308746
0,mse,6,0.075,1.170853,36.773788
0,mse,6,0.1,1.825776,34.682056
0,mse,6,0.15,3.144095,32.066883
0,mae,7,0.05,2.436581,26.32288
0,mae,7,0.075,4.044906,25.612251
0,mae,7,0.1,4.914898,24.908455
0,mae,7,0.15,7.388561,23.84779
0,mse,7,0.05,0.52597,38.478062
0,mse,7,0.075,1.354575,36.590267
0,mse,7,0.1,2.084099,34.913582
0,mse,7,0.15,4.660584,32.86084
0,mae,8,0.05,3.045979,26.123608
0,mae,8,0.075,4.653341,25.570297
0,mae,8,0.1,5.265596,25.239433
0,mae,8,0.15,6.279818,24.407692
0,mse,8,0.05,1.104691,38.556808
0,mse,8,0.075,2.600978,37.49617
0,mse,8,0.1,2.947877,36.784569
0,mse,8,0.15,3.719398,34.799728
0,mae,9,0.05,2.150191,26.117443
0,mae,9,0.075,3.933526,25.089787
0,mae,9,0.1,4.693642,24.706532
0,mae,9,0.15,6.260143,24.049961
0,mse,9,0.05,0.435028,38.164616
0,mse,9,0.075,1.439364,35.866554
0,mse,9,0.1,2.188112,35.149162
0,mse,9,0.15,3.799747,34.233978
0,mae,10,0.05,1.810509,26.702862
