batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,9.511541,23.917171
0,mae,0,0.075,10.598552,22.209618
0,mae,0,0.1,10.986254,21.000023
0,mae,0,0.15,12.389758,18.85294
0,mse,0,0.05,10.087937,32.63625
0,mse,0,0.075,11.308262,28.176554
0,mse,0,0.1,11.845711,24.913177
0,mse,0,0.15,13.250784,20.368757
0,mae,1,0.05,8.946578,23.799616
0,mae,1,0.075,10.497353,21.741312
0,mae,1,0.1,11.069532,20.82686
0,mae,1,0.15,12.998356,18.583496
0,mse,1,0.05,9.650319,32.237881
0,mse,1,0.075,11.439943,26.731815
0,mse,1,0.1,12.253282,24.586025
0,mse,1,0.15,14.849651,20.092337
0,mae,2,0.05,9.568354,23.311472
0,mae,2,0.075,11.528121,21.170258
0,mae,2,0.1,12.454807,20.021416
0,mae,2,0.15,14.312618,17.704817
0,mse,2,0.05,9.766319,30.885578
0,mse,2,0.075,12.725982,25.614487
0,mse,2,0.1,14.276697,22.943806
0,mse,2,0.15,17.101543,18.50618
0,mae,3,0.05,10.107455,22.660374
0,mae,3,0.075,12.02055,20.654716
0,mae,3,0.1,12.869719,19.640644
0,mae,3,0.15,14.926179,17.386826
0,mse,3,0.05,10.238214,29.404926
0,mse,3,0.075,13.110327,24.465004
0,mse,3,0.1,14.487385,22.117004
0,mse,3,0.15,17.78606,17.281027
0,mae,4,0.05,9.967197,22.529613
0,mae,4,0.075,12.487893,20.341591
0,mae,4,0.1,13.631782,19.103907
0,mae,4,0.15,15.376875,16.955269
0,mse,4,0.05,9.888182,28.415218
0,mse,4,0.075,13.499552,23.14901
0,mse,4,0.1,15.376985,20.551846
0,mse,4,0.15,18.248959,16.345108
0,mae,5,0.05,9.839026,22.664745
0,mae,5,0.075,12.104698,20.763939
0,mae,5,0.1,13.783085,19.767187
0,mae,5,0.15,15.311095,16.677217
0,mse,5,0.05,9.365702,28.44079
0,mse,5,0.075,12.751266,23.580086
0,mse,5,0.1,15.027845,21.776749
0,mse,5,0.15,17.737049,15.985712
0,mae,6,0.05,9.509653,22.685551
0,mae,6,0.075,11.640452,20.618212
0,mae,6,0.1,12.776279,19.416336
0,mae,6,0.15,15.758362,16.810202
0,mse,6,0.05,8.575089,28.434769
0,mse,6,0.075,11.643223,23.691168
0,mse,6,0.1,13.514937,21.121208
0,mse,6,0.15,18.239368,16.025013
0,mae,7,0.05,9.413839,22.73036
0,mae,7,0.075,12.480797,20.845947
0,mae,7,0.1,13.763813,19.600969
0,mae,7,0.15,15.797192,16.643906
0,mse,7,0.05,8.389032,28.782997
0,mse,7,0.075,12.78294,24.101318
0,mse,7,0.1,14.64674,21.4757
0,mse,7,0.15,17.749233,15.658329
0,mae,8,0.05,9.56087,22.941021
0,mae,8,0.075,12.171763,20.773771
0,mae,8,0.1,13.010916,19.613556
0,mae,8,0.15,15.238613,17.037674
0,mse,8,0.05,8.745592,29.154522
0,mse,8,0.075,12.109693,23.931067
0,mse,8,0.1,13.40098,21.389698
0,mse,8,0.15,17.159355,16.442268
0,mae,9,0.05,9.43634,22.992958
0,mae,9,0.075,11.569136,20.965891
0,mae,9,0.1,12.993643,19.693636
0,mae,9,0.15,15.348843,16.9739
0,mse,9,0.05,8.62846,29.212006
0,mse,9,0.075,11.380768,24.274292
0,mse,9,0.1,13.370903,21.636436
0,mse,9,0.15,16.980732,16.291531
0,mae,10,0.05,9.209627,23.159533
0,mae,10,0.075,11.395737,21.297861
0,mae,10,0.1,12.209952,19.936447
0,mae,10,0.15,14.501863,17.607265
0,mse,10,0.05,8.238239,29.60574
0,mse,10,0.075,11.269957,25.352806
0,mse,10,0.1,12.490472,22.429808
0,mse,10,0.15,15.789293,17.848633
0,mae,11,0.05,9.164284,23.655085
0,mae,11,0.075,10.919499,21.850063
0,mae,11,0.1,11.988634,20.764429
0,mae,11,0.15,13.827051,18.438936
0,mse,11,0.05,8.009778,30.922785
0,mse,11,0.075,10.292934,26.581186
0,mse,11,0.1,11.97298,24.134056
0,mse,11,0.15,14.600721,19.817337
0,mae,12,0.05,9.210637,23.73921
0,mae,12,0.075,11.243899,21.69684
0,mae,12,0.1,12.310469,20.740534
0,mae,12,0.15,13.832624,18.620819
0,mse,12,0.05,7.659525,30.903473
0,mse,12,0.075,10.613212,26.433491
0,mse,12,0.1,12.143476,24.445404
0,mse,12,0.15,14.558548,20.591715
0,mae,13,0.05,9.664452,24.048075
0,mae,13,0.075,11.823614,22.407692
0,mae,13,0.1,12.913694,21.359673
0,mae,13,0.15,14.599724,19.144871
0,mse,13,0.05,7.955421,31.818964
0,mse,13,0.075,10.731115,28.140118
0,mse,13,0.1,12.320926,25.923923
0,mse,13,0.15,15.185905,21.441784
0,mae,14,0.05,10.244828,24.242367
0,mae,14,0.075,12.476454,22.5993
0,mae,14,0.1,13.471096,21.606403
0,mae,14,0.15,14.949629,19.509083
0,mse,14,0.05,8.988012,32.924698
0,mse,14,0.075,11.839615,29.232887
0,mse,14,0.1,13.532696,27.158783
0,mse,14,0.15,15.827754,23.138702
0,mae,15,0.05,9.846147,23.920614
0,mae,15,0.075,11.687414,22.564068
0,mae,15,0.1,12.803698,21.606838
