batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,3.809632,25.910725
0,mae,0,0.075,5.294705,24.497395
0,mae,0,0.1,6.301758,23.095303
0,mae,0,0.15,10.365938,20.636028
0,mse,0,0.05,1.773229,38.264034
0,mse,0,0.075,3.06484,34.844402
0,mse,0,0.1,3.761035,31.328201
0,mse,0,0.15,9.902302,25.530659
0,mae,1,0.05,3.463186,26.445202
0,mae,1,0.075,5.064583,24.851143
0,mae,1,0.1,6.218939,23.918886
0,mae,1,0.15,11.451994,21.927555
0,mse,1,0.05,1.654418,39.968685
0,mse,1,0.075,2.803413,35.772572
0,mse,1,0.1,3.87593,33.467705
0,mse,1,0.15,11.886718,29.084469
0,mae,2,0.05,4.048616,26.241888
0,mae,2,0.075,5.888239,24.558758
0,mae,2,0.1,6.624719,23.66703
0,mae,2,0.15,10.936781,21.965401
0,mse,2,0.05,1.881681,39.051056
0,mse,2,0.075,3.190312,35.217476
0,mse,2,0.1,3.834224,33.013481
0,mse,2,0.15,10.234204,28.957687
0,mae,3,0.05,3.579315,25.437096
0,mae,3,0.075,5.292613,24.323238
0,mae,3,0.1,6.003604,23.661602
0,mae,3,0.15,9.36809,22.317387
0,mse,3,0.05,1.735015,37.117542
0,mse,3,0.075,3.111005,34.561668
0,mse,3,0.1,3.574805,32.946243
0,mse,3,0.15,7.829087,29.588799
0,mae,4,0.05,4.099533,26.032465
0,mae,4,0.075,5.796576,24.448906
0,mae,4,0.1,6.498959,23.385019
0,mae,4,0.15,9.922515,21.882442
0,mse,4,0.05,1.643563,37.818497
0,mse,4,0.075,3.048503,34.034416
0,mse,4,0.1,3.717595,31.68626
0,mse,4,0.15,7.268888,28.139706
0,mae,5,0.05,4.158848,26.199234
0,mae,5,0.075,6.403382,24.671045
0,mae,5,0.1,7.273561,23.48925
0,mae,5,0.15,10.331864,21.837326
0,mse,5,0.05,1.642548,38.294807
0,mse,5,0.075,3.735417,34.27153
0,mse,5,0.1,4.662067,31.527252
0,mse,5,0.15,7.335191,27.93577
0,mae,6,0.05,2.921948,26.348507
0,mae,6,0.075,5.110583,24.49044
0,mae,6,0.1,6.05383,23.801788
0,mae,6,0.15,9.62757,22.106678
0,mse,6,0.05,1.001958,39.03009
0,mse,6,0.075,2.424181,34.097309
0,mse,6,0.1,3.125727,32.63089
0,mse,6,0.15,6.783478,29.015478
0,mae,7,0.05,2.733565,26.464058
0,mae,7,0.075,4.65837,24.318783
0,mae,7,0.1,5.810961,23.535631
0,mae,7,0.15,8.730113,21.950907
0,mse,7,0.05,0.842087,38.867653
0,mse,7,0.075,2.003929,33.537956
0,mse,7,0.1,3.044065,31.941975
0,mse,7,0.15,5.771984,28.616934
0,mae,8,0.05,3.286251,26.321945
0,mae,8,0.075,5.036452,25.104399
0,mae,8,0.1,5.803499,23.838163
0,mae,8,0.15,9.365,21.989573
0,mse,8,0.05,1.442474,39.602146
0,mse,8,0.075,2.914702,36.774658
0,mse,8,0.1,3.367576,33.477837
0,mse,8,0.15,8.142579,28.546747
0,mae,9,0.05,3.578409,26.506998
0,mae,9,0.075,5.011077,24.998671
0,mae,9,0.1,5.961128,23.983852
0,mae,9,0.15,10.470112,21.783436
0,mse,9,0.05,1.746023,40.386082
0,mse,9,0.075,2.586586,36.39888
0,mse,9,0.1,3.427281,34.022575
0,mse,9,0.15,9.629499,29.495499
0,mae,10,0.05,4.33638,25.967522
0,mae,10,0.075,6.254499,24.785837
0,mae,10,0.1,7.115801,23.549717
0,mae,10,0.15,10.470597,21.933762
0,mse,10,0.05,2.240761,38.769608
0,mse,10,0.075,3.623209,35.815544
0,mse,10,0.1,4.237061,33.210831
0,mse,10,0.15,8.655187,29.89629
0,mae,11,0.05,4.172616,24.639889
0,mae,11,0.075,6.306125,23.349236
0,mae,11,0.1,6.984038,22.70615
0,mae,11,0.15,10.427124,20.994732
0,mse,11,0.05,2.219541,35.401169
0,mse,11,0.075,4.060122,32.787613
0,mse,11,0.1,4.521027,31.313545
0,mse,11,0.15,8.521688,27.558971
0,mae,12,0.05,4.386398,26.030821
0,mae,12,0.075,6.407546,24.259808
0,mae,12,0.1,7.142964,23.087696
0,mae,12,0.15,10.302807,21.158985
0,mse,12,0.05,1.839614,38.069969
0,mse,12,0.075,3.541112,33.623734
0,mse,12,0.1,4.208545,30.842449
0,mse,12,0.15,7.540909,26.744514
0,mae,13,0.05,4.245921,26.214222
