batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,8.492458,23.039642
0,mae,0,0.075,9.947817,21.565525
0,mae,0,0.1,10.702307,20.572067
0,mae,0,0.15,12.43787,17.984306
0,mse,0,0.05,7.69503,30.418396
0,mse,0,0.075,9.31406,26.550825
0,mse,0,0.1,10.027809,24.538036
0,mse,0,0.15,12.351065,19.018707
0,mae,1,0.05,8.829265,23.046371
0,mae,1,0.075,9.800737,21.318192
0,mae,1,0.1,10.666167,20.403976
0,mae,1,0.15,12.461906,18.10236
0,mse,1,0.05,8.470577,31.218456
0,mse,1,0.075,9.531148,26.764383
0,mse,1,0.1,10.200506,24.363174
0,mse,1,0.15,12.468027,19.146152
0,mae,2,0.05,8.976974,23.171154
0,mae,2,0.075,10.994592,21.258434
0,mae,2,0.1,11.876783,20.198841
0,mae,2,0.15,13.680397,17.638691
0,mse,2,0.05,8.65889,31.151104
0,mse,2,0.075,11.066239,26.34441
0,mse,2,0.1,12.099411,23.579739
0,mse,2,0.15,14.753736,18.736023
0,mae,3,0.05,9.638657,22.784534
0,mae,3,0.075,11.851912,20.776119
0,mae,3,0.1,12.980382,19.530022
0,mae,3,0.15,14.534238,17.241814
0,mse,3,0.05,8.938766,30.330036
0,mse,3,0.075,12.099999,25.077148
0,mse,3,0.1,13.802011,22.014763
0,mse,3,0.15,15.776119,17.160866
0,mae,4,0.05,9.584332,22.456081
0,mae,4,0.075,11.476053,20.430889
0,mae,4,0.1,12.581976,19.256413
0,mae,4,0.15,14.920714,16.953934
0,mse,4,0.05,8.995422,29.35062
0,mse,4,0.075,11.583829,23.92326
0,mse,4,0.1,13.369175,21.155912
0,mse,4,0.15,16.778316,16.674681
0,mae,5,0.05,9.690624,22.376255
0,mae,5,0.075,11.285939,20.236645
0,mae,5,0.1,12.461452,19.047096
0,mae,5,0.15,14.356771,16.32336
0,mse,5,0.05,9.035706,28.307983
0,mse,5,0.075,11.144927,23.223755
0,mse,5,0.1,13.173027,20.617802
0,mse,5,0.15,15.794594,15.409929
0,mae,6,0.05,9.464886,22.350494
0,mae,6,0.075,11.35961,20.469692
0,mae,6,0.1,12.638511,19.348377
0,mae,6,0.15,14.450693,16.707594
0,mse,6,0.05,8.269164,27.676008
0,mse,6,0.075,11.027534,23.226963
0,mse,6,0.1,13.13456,20.697197
0,mse,6,0.15,15.250729,15.861118
0,mae,7,0.05,9.493198,22.579958
0,mae,7,0.075,11.579599,20.661699
0,mae,7,0.1,12.584432,19.679268
0,mae,7,0.15,15.106024,16.709471
0,mse,7,0.05,8.262017,28.339912
0,mse,7,0.075,11.460821,23.512812
0,mse,7,0.1,13.047537,21.340334
0,mse,7,0.15,16.585054,15.715553
0,mae,8,0.05,9.426641,22.790762
0,mae,8,0.075,11.767702,20.724503
0,mae,8,0.1,12.875349,19.355249
